Date,Open,High,Low,Close,Volume,Change
2011-01-03,2108,2130,2075,2104,215893,0.006217120994739256
2011-01-04,2121,2206,2091,2149,723523,0.021387832699619747
2011-01-05,2152,2170,2078,2119,295282,-0.013959981386691522
2011-01-06,2123,2136,2041,2070,374252,-0.023124115148654978
2011-01-07,2075,2112,2032,2112,233704,0.020289855072463725
2011-01-10,2112,2219,2093,2195,687295,0.03929924242424243
2011-01-11,2219,2262,2133,2149,661570,-0.0209567198177677
2011-01-12,2158,2213,2133,2159,345688,0.0046533271288971
2011-01-13,2152,2154,2091,2104,295930,-0.02547475683186662
2011-01-14,2087,2154,2071,2125,245438,0.009980988593155882
2011-01-17,2127,2182,2084,2085,287865,-0.018823529411764683
2011-01-18,2075,2075,1971,2005,808070,-0.0383693045563549
2011-01-19,2013,2050,1986,2039,366382,0.01695760598503737
2011-01-20,2053,2056,2001,2012,244114,-0.013241785188818023
2011-01-21,1998,2019,1973,1993,275169,-0.009443339960238606
2011-01-24,1992,2023,1971,2012,135270,0.009533366783743169
2011-01-25,2019,2032,1988,1993,195822,-0.009443339960238606
2011-01-26,1992,2023,1961,1962,197822,-0.015554440541896586
2011-01-27,1983,2019,1961,1993,202033,0.015800203873598262
2011-01-28,1983,2048,1973,2039,373140,0.023080782739588468
2011-01-31,1998,2050,1956,1969,344461,-0.034330554193231944
2011-02-01,1977,2008,1936,1960,208993,-0.004570848146267181
2011-02-07,1977,1998,1956,1965,194285,0.0025510204081633514
2011-02-08,1965,2023,1946,2002,360782,0.018829516539440094
2011-02-09,2017,2017,1918,2008,267601,0.0029970029970030065
2011-02-10,2001,2041,1967,1987,232622,-0.010458167330677282
2011-02-11,1967,2017,1838,1880,524308,-0.05385002516356319
2011-02-14,1875,1925,1851,1877,169814,-0.0015957446808511078
2011-02-15,1861,1894,1845,1849,138221,-0.014917421417155019
2011-02-16,1853,1869,1830,1840,140685,-0.004867495943753353
2011-02-17,1838,1869,1666,1825,576782,-0.008152173913043459
2011-02-18,1814,1832,1749,1809,121423,-0.008767123287671263
2011-02-21,1786,1805,1726,1790,159105,-0.010503040353786575
2011-02-22,1778,1838,1734,1778,160976,-0.006703910614525133
2011-02-23,1781,1796,1670,1785,75870,0.003937007874015741
2011-02-24,1790,1838,1747,1797,123034,0.006722689075630228
2011-02-25,1799,1857,1722,1828,481829,0.017250973845297723
2011-02-28,1808,1830,1747,1757,87785,-0.03884026258205686
2011-03-02,1738,1771,1710,1735,60838,-0.012521343198634072
2011-03-03,1734,1765,1716,1733,119335,-0.0011527377521614035
2011-03-04,1731,1747,1722,1730,83957,-0.0017311021350259193
2011-03-07,1738,1808,1738,1757,87401,0.015606936416185047
2011-03-08,1778,1783,1734,1735,119220,-0.012521343198634072
2011-03-09,1771,1796,1747,1766,104722,0.017867435158501532
2011-03-10,1778,1808,1747,1778,136310,0.006795016987542368
2011-03-11,1768,1826,1741,1828,165600,0.028121484814398245
2011-03-14,1799,1836,1726,1760,105880,-0.03719912472647702
2011-03-15,1747,1801,1618,1705,293452,-0.03125
2011-03-16,1676,1728,1673,1711,70488,0.0035190615835776207
2011-03-17,1686,1686,1651,1668,124186,-0.02513150204558734
2011-03-18,1666,1734,1666,1717,84095,0.029376498800959272
2011-03-21,1759,1765,1726,1748,103402,0.0180547466511356
2011-03-22,1749,1771,1747,1754,55812,0.003432494279176135
2011-03-23,1741,1771,1734,1757,118890,0.0017103762827821445
2011-03-24,1774,1851,1762,1797,245585,0.02276607854297108
2011-03-25,1830,1838,1790,1809,134201,0.006677796327211993
2011-03-28,1832,1832,1778,1800,121823,-0.00497512437810943
2011-03-29,1801,1805,1765,1778,204559,-0.012222222222222245
2011-03-30,1778,1869,1778,1858,200845,0.044994375703037104
2011-03-31,1869,1869,1821,1834,220166,-0.012917115177610294
2011-04-01,1863,1873,1832,1865,205955,0.01690294438386042
2011-04-04,1894,1894,1838,1846,121225,-0.010187667560321745
2011-04-05,1851,1913,1830,1846,490561,0.0
2011-04-06,1891,1903,1853,1861,225518,0.008125677139761756
2011-04-07,1884,1888,1838,1852,158240,-0.004836109618484685
2011-04-08,1851,1857,1823,1837,161647,-0.008099352051835873
2011-04-11,1861,1863,1811,1813,105713,-0.013064779531845372
2011-04-12,1793,1838,1759,1769,141695,-0.02426916712631
2011-04-13,1747,1799,1716,1782,62177,0.007348784624081395
2011-04-14,1768,1801,1738,1766,108089,-0.008978675645342271
2011-04-15,1796,1821,1753,1757,110553,-0.005096262740656887
2011-04-18,1756,1762,1716,1723,112453,-0.019351166761525374
2011-04-19,1701,1734,1695,1705,130277,-0.010446894950667418
2011-04-20,1734,1753,1703,1723,89650,0.010557184750733084
2011-04-21,1749,1756,1691,1699,159950,-0.013929193267556594
2011-04-22,1701,1713,1646,1674,229810,-0.014714537963507968
2011-04-25,1646,1707,1646,1693,107849,0.011350059737156526
2011-04-26,1682,1691,1646,1662,100600,-0.018310691080921426
2011-04-27,1710,1743,1651,1708,197750,0.02767749699157651
2011-04-28,1716,1925,1716,1843,770249,0.07903981264637006
2011-04-29,1845,1857,1790,1813,202721,-0.016277807921866505
2011-05-02,1808,1830,1759,1815,169301,0.0011031439602868787
2011-05-03,1801,1814,1726,1738,175753,-0.042424242424242475
2011-05-04,1738,1771,1679,1690,268565,-0.027617951668584606
2011-05-06,1682,1713,1670,1705,129845,0.008875739644970349
2011-05-09,1713,1713,1676,1705,108545,0.0
2011-05-11,1703,1749,1703,1738,103829,0.019354838709677358
2011-05-12,1728,1808,1722,1742,199073,0.0023014959723819395
2011-05-13,1774,1774,1716,1760,105193,0.010332950631458004
2011-05-16,1759,1759,1682,1693,93396,-0.038068181818181834
2011-05-17,1682,1753,1679,1699,112790,0.0035440047253396667
2011-05-18,1698,1726,1664,1717,74045,0.01059446733372571
2011-05-19,1703,1728,1679,1717,91460,0.0
2011-05-20,1710,1722,1679,1680,49421,-0.021549213744903928
2011-05-23,1679,1679,1563,1573,152765,-0.06369047619047619
2011-05-24,1523,1612,1523,1564,120204,-0.005721551176096629
2011-05-25,1593,1593,1464,1528,131368,-0.023017902813299185
2011-05-26,1560,1593,1516,1595,209113,0.04384816753926701
2011-05-27,1655,1658,1587,1595,88150,0.0
2011-05-30,1596,1615,1563,1567,49892,-0.017554858934169304
2011-05-31,1560,1606,1539,1564,155826,-0.0019144862795149598
2011-06-01,1563,1566,1541,1564,61943,0.0
2011-06-02,1535,1593,1532,1539,47165,-0.015984654731457826
2011-06-03,1541,1556,1532,1551,75470,0.007797270955165692
2011-06-07,1532,1560,1523,1528,104235,-0.014829142488716918
2011-06-08,1526,1544,1464,1475,161702,-0.03468586387434558
2011-06-09,1474,1508,1464,1478,157770,0.0020338983050847137
2011-06-10,1486,1569,1256,1454,215800,-0.016238159675236785
2011-06-13,1471,1471,1360,1373,122970,-0.05570839064649247
2011-06-14,1360,1412,1360,1413,100900,0.029133284777858703
2011-06-15,1409,1489,1409,1487,75120,0.05237084217975929
2011-06-16,1452,1492,1446,1484,72280,-0.0020174848688634395
2011-06-17,1471,1495,1459,1487,47480,0.0020215633423179558
2011-06-20,1468,1501,1428,1435,69071,-0.0349697377269671
2011-06-21,1440,1471,1421,1447,57646,0.00836236933797907
2011-06-22,1468,1468,1421,1441,63128,-0.004146510020732519
2011-06-23,1416,1449,1416,1432,42621,-0.006245662734212343
2011-06-24,1434,1514,1434,1490,75061,0.0405027932960893
2011-06-27,1486,1501,1464,1490,49530,0.0
2011-06-28,1495,1535,1489,1528,49932,0.025503355704697972
2011-06-29,1547,1554,1508,1528,36582,0.0
2011-06-30,1523,1591,1523,1570,78053,0.027486910994764413
2011-07-01,1593,1648,1547,1582,156512,0.007643312101910826
