Date,Open,High,Low,Close,Volume,Change
2011-01-03,2900,2975,2860,2900,187356,0.026548672566371723
2011-01-04,2880,2930,2780,2900,290637,0.0
2011-01-05,2865,2875,2670,2750,481199,-0.051724137931034475
2011-01-06,2710,2750,2670,2670,259971,-0.029090909090909056
2011-01-07,2695,2720,2610,2695,199767,0.009363295880149725
2011-01-10,2695,2730,2600,2635,200225,-0.02226345083487946
2011-01-11,2675,2675,2535,2585,200120,-0.018975332068311146
2011-01-12,2585,2940,2530,2730,624537,0.05609284332688591
2011-01-13,2715,2730,2610,2660,261711,-0.02564102564102566
2011-01-14,2710,2720,2540,2580,282795,-0.03007518796992481
2011-01-17,2665,2665,2350,2385,614132,-0.07558139534883723
2011-01-18,2430,2435,2360,2410,478449,0.01048218029350112
2011-01-19,2450,2450,2365,2400,265275,-0.004149377593360981
2011-01-20,2400,2400,2270,2305,926004,-0.039583333333333304
2011-01-21,2305,2600,2230,2490,1578130,0.08026030368763548
2011-01-24,2490,2530,2300,2420,449811,-0.028112449799196804
2011-01-25,2425,2485,2325,2390,280583,-0.012396694214875992
2011-01-26,2380,2450,2320,2400,229891,0.004184100418409997
2011-01-27,2395,2570,2355,2395,424079,-0.002083333333333326
2011-01-28,2430,2460,2375,2395,250922,0.0
2011-01-31,2400,2580,2400,2460,981785,0.02713987473903967
2011-02-01,2485,2550,2420,2425,307512,-0.014227642276422814
2011-02-07,2430,2610,2395,2485,539145,0.024742268041237025
2011-02-08,2495,2855,2495,2855,2260177,0.14889336016096588
2011-02-09,2725,2805,2600,2700,616811,-0.05429071803852892
2011-02-10,2670,3020,2620,2950,852498,0.09259259259259256
2011-02-11,2940,2980,2765,2790,394875,-0.05423728813559325
2011-02-14,2850,3015,2850,2950,428290,0.057347670250896154
2011-02-15,2935,2980,2760,2880,318928,-0.023728813559321993
2011-02-16,2940,2970,2740,2800,249893,-0.02777777777777779
2011-02-17,2790,2840,2565,2650,240153,-0.0535714285714286
2011-02-18,2605,2750,2570,2725,138790,0.028301886792452935
2011-02-21,2755,2755,2650,2700,100443,-0.00917431192660545
2011-02-22,2685,2725,2630,2695,116009,-0.0018518518518518823
2011-02-23,2690,3005,2615,2850,507338,0.0575139146567718
2011-02-24,2855,2940,2630,2650,295540,-0.07017543859649122
2011-02-25,2670,2730,2500,2620,163641,-0.01132075471698113
2011-02-28,2645,2695,2515,2540,158432,-0.03053435114503822
2011-03-02,2575,2625,2500,2570,136956,0.011811023622047223
2011-03-03,2570,2630,2300,2555,170033,-0.005836575875486361
2011-03-04,2555,2580,2400,2485,83958,-0.0273972602739726
2011-03-07,2490,2535,2445,2500,113916,0.006036217303822866
2011-03-08,2520,2520,2425,2465,106923,-0.014000000000000012
2011-03-09,2425,2550,2410,2480,117218,0.006085192697768749
2011-03-10,2480,2595,2445,2535,176030,0.022177419354838745
2011-03-11,2585,2590,2410,2530,131140,-0.0019723865877712132
2011-03-14,2500,2500,2280,2380,228465,-0.059288537549407105
2011-03-15,2310,2390,2025,2200,286246,-0.07563025210084029
2011-03-16,2075,2250,2075,2150,247885,-0.022727272727272707
2011-03-17,2180,2180,1920,2050,194953,-0.046511627906976716
2011-03-18,2020,2155,2000,2135,126067,0.04146341463414638
2011-03-21,2150,2455,2140,2455,523310,0.14988290398126458
2011-03-22,2460,2500,2325,2365,301228,-0.03665987780040736
2011-03-23,2380,2410,2310,2330,118797,-0.014799154334038
2011-03-24,2370,2385,2280,2300,96763,-0.012875536480686733
2011-03-25,2280,2345,2260,2300,56015,0.0
2011-03-28,2380,2380,2300,2310,44822,0.004347826086956497
2011-03-29,2320,2325,2250,2260,57565,-0.02164502164502169
2011-03-30,2225,2420,2220,2375,187655,0.05088495575221241
2011-03-31,2405,2405,2300,2320,111059,-0.023157894736842155
2011-04-01,2365,2470,2280,2365,137163,0.0193965517241379
2011-04-04,2435,2435,2340,2375,111297,0.0042283298097252064
2011-04-05,2380,2380,2300,2305,96132,-0.02947368421052632
2011-04-06,2365,2365,2185,2240,136108,-0.02819956616052066
2011-04-07,2240,2300,2230,2255,78606,0.006696428571428603
2011-04-08,2260,2270,2210,2270,54644,0.006651884700665134
2011-04-11,2275,2355,2245,2280,112777,0.004405286343612369
2011-04-12,2265,2310,2180,2240,61727,-0.01754385964912286
2011-04-13,2250,2285,2150,2220,58245,-0.008928571428571397
2011-04-14,2230,2230,2120,2200,96431,-0.009009009009009028
2011-04-15,2190,2235,2130,2160,49946,-0.018181818181818188
2011-04-18,2160,2175,2080,2095,96867,-0.03009259259259256
2011-04-19,2100,2100,2020,2025,74277,-0.03341288782816232
2011-04-20,2070,2285,2030,2110,141592,0.041975308641975406
2011-04-21,2130,2200,2060,2105,73213,-0.0023696682464454666
2011-04-22,2105,2165,2070,2160,84134,0.026128266033254244
2011-04-25,2180,2350,1865,2190,107398,0.01388888888888884
2011-04-26,2170,2230,2035,2075,82276,-0.05251141552511418
2011-04-27,2055,2110,1970,1990,91967,-0.04096385542168679
2011-04-28,1980,2055,1950,1960,61327,-0.015075376884422065
2011-04-29,1970,2020,1925,1975,58738,0.007653061224489832
2011-05-02,1975,1975,1930,1975,46092,0.0
2011-05-03,1975,2100,1945,2060,106801,0.04303797468354431
2011-05-04,2020,2100,1950,1950,105712,-0.05339805825242716
2011-05-06,1985,1985,1900,1910,38846,-0.02051282051282055
2011-05-09,1995,1995,1880,1985,101083,0.03926701570680624
2011-05-11,1940,2045,1940,1965,77253,-0.010075566750629705
2011-05-12,1965,2000,1820,1860,102754,-0.05343511450381677
2011-05-13,1870,2125,1765,2050,233378,0.10215053763440851
2011-05-16,1995,2085,1980,2030,60163,-0.009756097560975618
2011-05-17,2030,2075,2000,2070,29748,0.019704433497536922
2011-05-18,2015,2115,1990,1995,60520,-0.036231884057971064
2011-05-19,2040,2090,1880,1960,103999,-0.01754385964912286
2011-05-20,1990,1990,1700,1700,182663,-0.13265306122448983
2011-05-23,1460,1700,1445,1475,801446,-0.13235294117647056
2011-05-24,1400,1600,1400,1515,158097,0.027118644067796627
2011-05-25,1545,1615,1505,1540,78420,0.01650165016501659
2011-05-26,1595,1770,1480,1770,208787,0.14935064935064934
2011-05-27,1935,1955,1710,1770,160424,0.0
2011-05-30,1990,2035,1880,1930,565534,0.09039548022598876
2011-05-31,1870,1870,1755,1785,207866,-0.07512953367875652
2011-06-01,1830,2050,1715,2050,190104,0.14845938375350132
2011-06-02,2140,2300,1910,2170,444531,0.05853658536585371
2011-06-03,2170,2190,1980,2060,211649,-0.05069124423963134
2011-06-07,2060,2290,2030,2170,156848,0.05339805825242716
2011-06-08,2200,2240,1910,1995,210613,-0.08064516129032262
2011-06-09,2000,2070,1885,1970,107288,-0.01253132832080206
2011-06-10,1970,2050,1920,2020,39819,0.025380710659898442
2011-06-13,2040,2265,2005,2150,444996,0.06435643564356441
2011-06-14,2155,2350,2055,2225,554685,0.03488372093023262
2011-06-15,2190,2300,2165,2295,154121,0.03146067415730336
2011-06-16,2315,2400,2210,2295,209079,0.0
2011-06-17,2295,2330,2165,2230,132391,-0.028322440087146017
2011-06-20,2250,2250,2085,2135,79162,-0.04260089686098656
2011-06-21,2120,2135,2000,2120,113069,-0.007025761124121788
2011-06-22,2045,2330,2040,2250,221973,0.061320754716981174
2011-06-23,2170,2260,2170,2175,65670,-0.033333333333333326
2011-06-24,2185,2240,2095,2140,46865,-0.016091954022988464
2011-06-27,2180,2180,2115,2130,33662,-0.004672897196261627
2011-06-28,2130,2445,2110,2445,275169,0.147887323943662
2011-06-29,2570,2640,2300,2345,578772,-0.04089979550102252
2011-06-30,2340,2340,2190,2290,257405,-0.023454157782516027
2011-07-01,2290,2395,2230,2290,164387,0.0
2011-07-04,2265,2490,2265,2380,255668,0.0393013100436681
2011-07-05,2395,2440,2310,2365,151646,-0.006302521008403339
2011-07-06,2430,2440,2345,2385,129463,0.008456659619450413
2011-07-07,2390,2475,2315,2400,225960,0.0062893081761006275
2011-07-08,2400,2760,2300,2760,1216637,0.1499999999999999
2011-07-11,2815,3170,2800,3170,1155525,0.14855072463768115
2011-07-12,3270,3570,3100,3300,2105901,0.04100946372239744
2011-07-13,3215,3225,2805,2805,1084476,-0.15000000000000002
2011-07-14,2665,2935,2630,2860,536744,0.019607843137254832
2011-07-15,2950,3185,2815,3080,679119,0.07692307692307687
2011-07-18,2980,3030,2720,2900,276721,-0.058441558441558406
2011-07-19,2960,3030,2855,3005,180335,0.036206896551724155
2011-07-20,3070,3070,2695,2730,328058,-0.09151414309484196
2011-07-21,2845,3000,2730,3000,266375,0.098901098901099
2011-07-22,3000,3390,3000,3125,419339,0.04166666666666674
2011-07-25,2830,2990,2660,2660,333137,-0.14880000000000004
2011-07-26,2370,2750,2370,2630,653797,-0.011278195488721776
2011-07-27,2730,3020,2655,3020,848288,0.14828897338403046
2011-07-28,3030,3440,2815,2870,1727342,-0.04966887417218546
2011-07-29,2820,3300,2705,3300,2863674,0.14982578397212554
2011-08-01,3200,3415,3095,3180,1856749,-0.036363636363636376
2011-08-02,3200,3250,3000,3090,621889,-0.028301886792452824
2011-08-03,3020,3085,2900,2990,359526,-0.032362459546925515
2011-08-04,2990,3120,2615,2810,410252,-0.06020066889632103
2011-08-05,2540,2950,2400,2590,492342,-0.07829181494661919
2011-08-08,2500,2735,2205,2350,381456,-0.0926640926640927
2011-08-09,2105,2290,2000,2025,367703,-0.13829787234042556
2011-08-10,2200,2300,2125,2245,487661,0.10864197530864206
2011-08-11,2100,2480,2030,2350,1269496,0.04677060133630295
2011-08-12,2500,2570,2320,2430,411229,0.03404255319148941
2011-08-16,2570,2600,2405,2425,359599,-0.002057613168724326
2011-08-17,2395,2460,2300,2315,400570,-0.04536082474226799
2011-08-18,2390,2550,2015,2200,1263041,-0.049676025917926525
2011-08-19,2050,2190,1990,2000,289322,-0.09090909090909094
2011-08-22,1930,2095,1890,1960,301324,-0.020000000000000018
2011-08-23,1985,2200,1985,2175,252508,0.10969387755102034
2011-08-24,2275,2320,2145,2175,190337,0.0
2011-08-25,2190,2280,2160,2160,113310,-0.006896551724137945
2011-08-26,2180,2255,2145,2180,117114,0.0092592592592593
2011-08-29,2170,2215,2130,2130,137757,-0.022935779816513735
2011-08-30,2130,2185,2050,2060,94977,-0.032863849765258246
2011-08-31,2070,2160,2050,2150,78461,0.043689320388349495
2011-09-01,2205,2395,2100,2200,403221,0.023255813953488413
2011-09-02,2200,2325,2150,2300,181007,0.045454545454545414
2011-09-05,2300,2350,2160,2160,128991,-0.060869565217391286
2011-09-06,2140,2165,1940,2090,151951,-0.03240740740740744
2011-09-07,2220,2250,2100,2145,70065,0.026315789473684292
2011-09-08,2220,2330,2125,2200,132444,0.02564102564102555
2011-09-09,2160,2280,2160,2215,65060,0.006818181818181834
2011-09-14,2280,2280,2140,2175,67387,-0.018058690744920947
2011-09-15,2200,2280,2020,2140,70565,-0.016091954022988464
2011-09-16,2215,2215,2090,2130,21219,-0.004672897196261627
2011-09-19,2075,2290,2075,2225,173445,0.04460093896713624
2011-09-20,2225,2280,2200,2255,84825,0.01348314606741563
2011-09-21,2260,2320,2220,2230,121701,-0.011086474501108667
2011-09-22,2180,2450,2155,2450,115751,0.09865470852017943
2011-09-23,2350,2540,2200,2200,373185,-0.10204081632653061
2011-09-26,2340,2350,1870,1985,186620,-0.09772727272727277
2011-09-27,2050,2150,2010,2050,95823,0.032745591939546514
2011-09-28,2180,2180,2030,2065,55809,0.007317073170731714
2011-09-29,2015,2195,2015,2125,107549,0.029055690072639306
2011-09-30,2115,2440,2115,2440,304534,0.14823529411764702
2011-10-04,2390,2685,2270,2500,335783,0.024590163934426146
2011-10-05,2645,2645,2430,2500,125485,0.0
2011-10-06,2550,2635,2340,2380,268717,-0.04800000000000004
2011-10-07,2380,2485,2240,2430,160613,0.021008403361344463
2011-10-10,2580,2580,2355,2475,77213,0.0185185185185186
2011-10-11,2565,2570,2475,2510,129492,0.014141414141414232
2011-10-12,2495,2530,2400,2510,92180,0.0
2011-10-13,2560,2630,2135,2135,254857,-0.149402390438247
2011-10-14,2160,2220,2000,2175,173407,0.0187353629976581
2011-10-17,2140,2365,2140,2255,130978,0.0367816091954023
2011-10-18,2230,2270,2175,2250,52767,-0.0022172949002217113
2011-10-19,2300,2300,2160,2200,73677,-0.022222222222222254
2011-10-20,2205,2265,1990,2050,135527,-0.06818181818181823
2011-10-21,2090,2195,2090,2100,80215,0.024390243902439046
2011-10-24,2150,2150,2050,2080,74950,-0.00952380952380949
2011-10-25,2060,2140,2020,2070,104346,-0.004807692307692291
2011-10-26,2075,2080,2035,2035,54380,-0.016908212560386437
2011-10-27,2045,2140,2035,2050,97551,0.0073710073710073765
2011-10-28,2110,2110,2030,2045,53098,-0.0024390243902439046
2011-10-31,2040,2090,2000,2030,52899,-0.007334963325183352
2011-11-01,2000,2140,1985,2095,116299,0.03201970443349755
2011-11-02,2050,2085,2000,2085,32555,-0.004773269689737458
2011-11-03,2120,2140,2030,2080,44054,-0.0023980815347721673
2011-11-04,2390,2390,2225,2390,460458,0.14903846153846145
2011-11-07,2510,2640,2370,2390,446597,0.0
2011-11-08,2410,2410,2285,2290,156282,-0.04184100418410042
2011-11-09,2310,2330,2200,2220,132771,-0.03056768558951961
2011-11-10,2135,2195,2040,2090,117676,-0.058558558558558516
2011-11-11,2070,2165,2070,2155,71822,0.031100478468899517
2011-11-14,2195,2390,2185,2330,173151,0.08120649651972167
2011-11-15,2330,2390,2240,2310,91632,-0.008583690987124415
2011-11-16,2335,2360,2270,2300,90584,-0.0043290043290042934
2011-11-17,2235,2355,2235,2350,71728,0.021739130434782705
2011-11-18,2340,2425,2295,2360,122254,0.004255319148936065
2011-11-21,2380,2640,2365,2425,287517,0.02754237288135597
2011-11-22,2305,2480,2305,2430,90360,0.0020618556701030855
2011-11-23,2440,2470,2325,2345,78876,-0.034979423868312765
2011-11-24,2265,2525,2265,2470,158763,0.05330490405117261
2011-11-25,2520,2840,2520,2700,1231993,0.09311740890688269
2011-11-28,2700,2740,2570,2660,261206,-0.014814814814814836
2011-11-29,2770,3000,2660,2995,385080,0.12593984962406024
2011-11-30,3035,3440,3000,3105,993397,0.036727879799666185
2011-12-01,3190,3340,3000,3110,364366,0.0016103059581320522
2011-12-02,3180,3300,3045,3270,284520,0.05144694533762051
2011-12-05,3055,3290,3040,3290,301072,0.006116207951070374
2011-12-06,3340,3570,3190,3310,259909,0.006079027355623046
2011-12-07,3310,3385,3100,3210,164315,-0.030211480362537735
2011-12-08,3210,3500,3135,3400,243235,0.05919003115264787
2011-12-09,3510,3900,3460,3900,643742,0.1470588235294117
2011-12-12,4000,4485,4000,4485,587354,0.1499999999999999
2011-12-13,4525,4920,3815,4220,1668219,-0.059085841694537344
2011-12-14,4180,4350,3855,3975,730544,-0.05805687203791465
2011-12-15,4200,4250,3380,3380,771614,-0.14968553459119494
2011-12-16,3300,3450,2920,3110,1036457,-0.07988165680473369
2011-12-19,3575,3575,3575,3575,135523,0.14951768488745976
2011-12-20,4110,4110,4110,4110,26008,0.14965034965034962
2011-12-21,4725,4725,4725,4725,150678,0.14963503649635035
2011-12-22,5430,5430,4480,4610,3386695,-0.024338624338624326
2011-12-23,4500,4505,4025,4080,1746301,-0.11496746203904551
2011-12-26,3960,4690,3750,4690,1156102,0.14950980392156854
2011-12-27,4770,4790,3990,3990,1684837,-0.14925373134328357
2011-12-28,3990,4120,3740,3925,796523,-0.016290726817042578
2011-12-29,4000,4070,3765,3900,376097,-0.006369426751592355
