Date,Open,High,Low,Close,Volume,Change
2011-01-03,2666,2676,2633,2653,25462,-0.0041291291291291055
2011-01-04,2652,2680,2630,2674,32987,0.0079155672823219
2011-01-05,2658,2735,2652,2732,57327,0.02169035153328358
2011-01-06,2745,2749,2680,2707,40554,-0.009150805270863871
2011-01-07,2652,2716,2652,2696,26956,-0.00406353897303291
2011-01-10,2684,2698,2662,2682,27980,-0.005192878338278972
2011-01-11,2608,2680,2608,2671,36569,-0.00410141685309473
2011-01-12,2691,2742,2644,2682,89208,0.0041183077499062914
2011-01-13,2673,2706,2652,2671,28716,-0.00410141685309473
2011-01-14,2652,2712,2630,2660,40153,-0.0041183077499064025
2011-01-17,2644,2684,2633,2660,35805,0.0
2011-01-18,2630,2735,2626,2682,58678,0.008270676691729317
2011-01-19,2680,2712,2644,2646,35175,-0.01342281879194629
2011-01-20,2641,2676,2633,2635,35070,-0.004157218442932709
2011-01-21,2637,2652,2612,2624,35732,-0.004174573055028441
2011-01-24,2641,2654,2622,2646,21920,0.008384146341463339
2011-01-25,2644,2648,2586,2602,64731,-0.016628873771730945
2011-01-26,2616,2637,2578,2598,33359,-0.001537279016141424
2011-01-27,2597,2604,2209,2526,88141,-0.02771362586605086
2011-01-28,2554,2586,2365,2537,90938,0.004354711005542411
2011-01-31,2455,2554,2445,2537,29251,0.0
2011-02-01,2571,2619,2554,2574,36597,0.014584154513204606
2011-02-07,2578,2956,2578,2957,158928,0.14879564879564877
2011-02-08,3398,3398,3264,3400,1284879,0.14981400067636108
2011-02-09,3398,3659,3307,3498,1415646,0.028823529411764692
2011-02-10,3495,3536,3195,3225,636982,-0.07804459691252141
2011-02-11,3166,3221,2996,2997,508645,-0.07069767441860464
2011-02-14,2981,3057,2941,3044,261098,0.01568234901568233
2011-02-15,3079,3126,3006,3019,276232,-0.008212877792378448
2011-02-16,2989,2989,2843,2844,260986,-0.0579662139781385
2011-02-17,2876,2876,2616,2700,174646,-0.05063291139240511
2011-02-18,2698,2778,2680,2748,73315,0.01777777777777767
2011-02-21,2742,2770,2600,2656,154294,-0.033478893740902516
2011-02-22,2662,3050,2564,2766,955231,0.04141566265060237
2011-02-23,2680,2694,2536,2540,310075,-0.08170643528561095
2011-02-24,2571,2684,2481,2646,177324,0.04173228346456703
2011-02-25,2612,2807,2612,2690,392632,0.016628873771730834
2011-02-28,2688,2807,2666,2696,305573,0.0022304832713755385
2011-03-02,2684,2684,2608,2609,81377,-0.032270029673590495
2011-03-03,2608,2876,2590,2722,523012,0.04331161364507463
2011-03-04,2753,2804,2702,2707,85886,-0.005510653930933085
2011-03-07,2712,2724,2662,2726,60652,0.007018840044329622
2011-03-08,2724,2749,2684,2736,82400,0.003668378576669129
2011-03-09,2644,2698,2608,2660,187699,-0.02777777777777779
2011-03-10,2725,2779,2712,2722,102628,0.023308270676691834
2011-03-11,2643,2648,2484,2575,83012,-0.0540044085231447
2011-03-14,2515,2554,2426,2454,57805,-0.04699029126213594
2011-03-15,2410,2511,2306,2396,53783,-0.023634881825590925
2011-03-16,2375,2442,2372,2419,32925,0.009599332220367351
2011-03-17,2352,2756,2344,2486,221955,0.02769739561802398
2011-03-18,2449,2508,2422,2486,51831,0.0
2011-03-21,2473,2523,2473,2508,33006,0.008849557522123908
2011-03-22,2492,2593,2492,2563,25073,0.021929824561403466
2011-03-23,2562,2597,2522,2590,21710,0.01053452984783454
2011-03-24,2581,2627,2569,2571,22712,-0.007335907335907388
2011-03-25,2562,2632,2558,2563,29419,-0.003111629716063824
2011-03-28,2538,2562,2488,2497,29805,-0.025751072961373356
