Date,Open,High,Low,Close,Volume,Change
2011-01-03,24184,24365,23826,24142,105735,0.0112679596196541
2011-01-04,24140,24588,23872,24500,139413,0.014828928837710142
2011-01-05,24274,24633,23960,24142,115602,-0.014612244897959203
2011-01-06,24365,24633,24140,24635,131833,0.020420843343550654
2011-01-07,24767,25259,24499,24500,173221,-0.005480008118530555
2011-01-10,24453,24992,24096,24456,76261,-0.001795918367346938
2011-01-11,24319,24767,23960,24052,85262,-0.016519463526333045
2011-01-12,24319,24767,24184,24321,154643,0.011184101114252387
2011-01-13,24677,24812,24140,24813,150349,0.02022943135561861
2011-01-14,24900,26155,24812,26158,476565,0.05420545681699118
2011-01-17,26514,26604,25663,25844,263275,-0.012003975839131487
2011-01-18,25618,26334,25259,25397,158902,-0.017296084197492623
2011-01-19,25393,25574,24677,25397,163255,0.0
2011-01-20,25305,25439,24677,24680,113130,-0.028231680907193746
2011-01-21,24677,24677,23692,23873,183124,-0.0326985413290114
2011-01-24,23737,24230,23737,24187,79365,0.013152934277216977
2011-01-25,24365,24409,23826,23828,82158,-0.014842684086492697
2011-01-26,23917,24005,23647,23739,122540,-0.003735101561188503
2011-01-27,23960,24184,23065,23111,153264,-0.02645435780782679
2011-01-28,23200,23289,22438,22441,138587,-0.028990523992903805
2011-01-31,22125,22751,21676,22037,133971,-0.01800276280023172
2011-02-01,21991,22392,21991,22082,95799,0.0020420202386894903
2011-02-07,22079,22572,22079,22082,105725,0.0
2011-02-08,21901,22169,21229,21499,182443,-0.02640159405850917
2011-02-09,21587,21587,20557,20694,212852,-0.037443602028001344
2011-02-10,20691,20870,20198,20289,160241,-0.019570890113076223
2011-02-11,20288,20557,19348,19348,357056,-0.046379811720636765
2011-02-14,19393,20288,19393,19708,149398,0.01860657432292734
2011-02-15,19795,19929,19436,19440,106056,-0.01359853866450178
2011-02-16,19436,20153,19436,19841,124434,0.020627572016460816
2011-02-17,19841,20109,19348,19394,132733,-0.022529106395846932
2011-02-18,19526,19795,19393,19573,101417,0.00922965865731662
2011-02-21,19750,20020,19571,19841,70387,0.013692331272671554
2011-02-22,19841,19841,18631,18947,126188,-0.045058212791693975
2011-02-23,18586,19348,18317,18678,133216,-0.014197498284688859
2011-02-24,18317,18945,18317,18678,69712,0.0
2011-02-25,18407,18631,17735,18364,164451,-0.016811221758218253
2011-02-28,18362,18362,17242,17244,221308,-0.060988891309083026
2011-03-02,17019,17467,16258,16706,233953,-0.03119925771282761
2011-03-03,16526,17287,16526,17290,159686,0.034957500299293676
2011-03-04,17421,17512,17063,17513,122275,0.012897628687102314
2011-03-07,17467,17690,17019,17290,90864,-0.012733398047165001
2011-03-08,17242,17467,16884,17468,69269,0.0102949681897051
2011-03-09,17512,17869,17421,17872,98007,0.02312800549576366
2011-03-10,17869,18139,17600,18051,75155,0.010015666965085046
2011-03-11,17646,17825,17467,17737,45606,-0.01739515816298265
2011-03-14,17242,17421,15943,16527,171591,-0.06821897727913406
2011-03-15,16212,16705,14510,15230,188080,-0.07847764264536816
2011-03-16,15317,15719,14824,15723,156984,0.032370321733420804
2011-03-17,15003,15541,14914,15542,158108,-0.011511798002925677
