Date,Open,High,Low,Close,Volume,Change
2011-01-03,1300000,1339000,1266000,1266000,1298,0.0031695721077653616
2011-01-04,1260000,1285000,1260000,1271000,880,0.003949447077409074
2011-01-05,1275000,1314000,1270000,1309000,1585,0.029897718332021928
2011-01-06,1311000,1340000,1311000,1340000,1512,0.023682200152788324
2011-01-07,1360000,1371000,1340000,1353000,1310,0.009701492537313339
2011-01-10,1353000,1380000,1337000,1361000,1375,0.00591278640059123
2011-01-11,1361000,1376000,1353000,1376000,842,0.01102130786186617
2011-01-12,1376000,1376000,1352000,1369000,789,-0.005087209302325535
2011-01-13,1357000,1357000,1305000,1305000,2104,-0.046749452154857596
2011-01-14,1308000,1313000,1263000,1270000,2183,-0.026819923371647514
2011-01-17,1270000,1329000,1262000,1309000,1298,0.03070866141732287
2011-01-18,1301000,1477000,1300000,1421000,3191,0.0855614973262031
2011-01-19,1432000,1432000,1379000,1379000,1336,-0.029556650246305383
2011-01-20,1379000,1390000,1351000,1361000,771,-0.013052936910804891
2011-01-21,1345000,1390000,1345000,1345000,958,-0.011756061719323974
2011-01-24,1333000,1358000,1330000,1335000,873,-0.0074349442379182396
2011-01-25,1321000,1394000,1320000,1370000,1481,0.02621722846441954
2011-01-26,1362000,1380000,1353000,1365000,456,-0.0036496350364964014
2011-01-27,1357000,1373000,1344000,1344000,1916,-0.01538461538461533
2011-01-28,1344000,1358000,1287000,1323000,1232,-0.015625
2011-01-31,1297000,1400000,1295000,1383000,1460,0.0453514739229024
2011-02-01,1416000,1470000,1359000,1360000,1728,-0.016630513376717282
2011-02-07,1379000,1393000,1332000,1333000,601,-0.01985294117647063
2011-02-08,1334000,1348000,1319000,1321000,741,-0.009002250562640701
2011-02-09,1332000,1336000,1308000,1308000,523,-0.009841029523088518
2011-02-10,1336000,1336000,1283000,1283000,1295,-0.01911314984709478
2011-02-11,1298000,1298000,1229000,1256000,2699,-0.02104442712392829
2011-02-14,1243000,1260000,1241000,1256000,544,0.0
2011-02-15,1255000,1255000,1215000,1233000,1804,-0.018312101910827994
2011-02-16,1233000,1258000,1223000,1249000,1258,0.012976480129764711
2011-02-17,1265000,1279000,1235000,1248000,1772,-0.0008006405124099114
2011-02-18,1248000,1268000,1243000,1254000,675,0.004807692307692291
2011-02-21,1254000,1279000,1228000,1272000,965,0.014354066985645897
2011-02-22,1272000,1280000,1242000,1280000,725,0.0062893081761006275
2011-02-23,1290000,1290000,1258000,1258000,824,-0.017187500000000022
2011-02-24,1269000,1269000,1219000,1232000,1063,-0.020667726550079535
2011-02-25,1227000,1235000,1209000,1210000,839,-0.017857142857142905
2011-02-28,1210000,1210000,1160000,1165000,1404,-0.037190082644628086
2011-03-02,1160000,1180000,1160000,1180000,849,0.012875536480686733
2011-03-03,1177000,1224000,1164000,1224000,1158,0.03728813559322042
2011-03-04,1230000,1254000,1208000,1242000,815,0.014705882352941124
2011-03-07,1238000,1258000,1222000,1234000,673,-0.006441223832528209
2011-03-08,1180000,1251000,1180000,1240000,594,0.004862236628849326
2011-03-09,1240000,1274000,1235000,1261000,806,0.01693548387096766
2011-03-10,1284000,1284000,1237000,1237000,958,-0.019032513877874746
2011-03-11,1249000,1249000,1206000,1228000,746,-0.007275666936135794
2011-03-14,1203000,1212000,1180000,1209000,1116,-0.015472312703583069
2011-03-15,1207000,1221000,1170000,1173000,1175,-0.02977667493796521
2011-03-16,1179000,1210000,1176000,1196000,943,0.019607843137254832
2011-03-17,1195000,1216000,1178000,1179000,641,-0.014214046822742521
2011-03-18,1182000,1198000,1164000,1198000,2509,0.016115351993214677
2011-03-21,1182000,1207000,1179000,1191000,528,-0.005843071786310494
2011-03-22,1192000,1219000,1180000,1219000,1215,0.02350965575146935
2011-03-23,1211000,1329000,1211000,1262000,2387,0.035274815422477346
2011-03-24,1265000,1313000,1256000,1313000,1301,0.04041204437400947
2011-03-25,1308000,1326000,1285000,1285000,901,-0.021325209444021276
2011-03-28,1275000,1277000,1246000,1253000,1040,-0.024902723735408583
2011-03-29,1254000,1275000,1246000,1269000,562,0.012769353551476348
2011-03-30,1277000,1277000,1248000,1277000,1121,0.0063041765169424835
2011-03-31,1268000,1310000,1259000,1300000,1030,0.018010963194988294
2011-04-01,1284000,1343000,1284000,1332000,1121,0.024615384615384706
2011-04-04,1319000,1355000,1292000,1300000,919,-0.024024024024024038
2011-04-05,1292000,1311000,1281000,1308000,663,0.006153846153846176
2011-04-06,1304000,1334000,1300000,1304000,952,-0.003058103975535187
2011-04-07,1297000,1313000,1283000,1293000,1017,-0.008435582822085896
2011-04-08,1294000,1307000,1277000,1278000,739,-0.011600928074245953
2011-04-11,1272000,1359000,1269000,1331000,1984,0.04147104851330208
2011-04-12,1331000,1355000,1307000,1308000,1456,-0.01728024042073628
2011-04-13,1301000,1345000,1293000,1335000,1111,0.020642201834862428
2011-04-14,1323000,1395000,1317000,1395000,2218,0.04494382022471921
2011-04-15,1390000,1484000,1388000,1460000,3338,0.04659498207885315
