Date,Open,High,Low,Close,Volume,Change
2011-01-03,712,728,712,715,5940,0.004213483146067398
2011-01-04,716,728,715,726,6830,0.01538461538461533
2011-01-05,742,742,726,726,7913,0.0
2011-01-06,743,743,701,719,2577,-0.009641873278236957
2011-01-07,708,714,697,704,25010,-0.020862308762169657
2011-01-10,705,715,700,715,7641,0.015625
2011-01-11,715,715,699,713,5900,-0.002797202797202747
2011-01-12,713,716,702,705,6110,-0.011220196353436185
2011-01-13,705,708,687,708,11768,0.004255319148936065
2011-01-14,700,715,699,712,5290,0.005649717514124353
2011-01-17,712,721,707,712,6620,0.0
2011-01-18,704,718,701,712,5770,0.0
2011-01-19,704,715,701,712,5170,0.0
2011-01-20,712,716,703,707,5050,-0.0070224719101124045
2011-01-21,707,712,705,707,4370,0.0
2011-01-24,700,710,698,699,7510,-0.011315417256011262
2011-01-25,695,707,692,704,3830,0.007153075822603716
2011-01-26,700,705,695,705,3850,0.0014204545454545858
2011-01-27,710,725,700,711,5330,0.008510638297872353
2011-01-28,715,725,706,714,7150,0.00421940928270037
2011-01-31,710,734,708,721,17240,0.009803921568627416
2011-02-01,717,740,717,728,5220,0.009708737864077666
2011-02-07,730,783,730,775,15783,0.06456043956043955
2011-02-08,780,825,775,790,25556,0.019354838709677358
2011-02-09,790,810,766,770,4774,-0.025316455696202556
2011-02-10,753,780,738,753,6540,-0.02207792207792203
2011-02-11,747,778,713,713,9150,-0.05312084993359889
2011-02-14,718,738,718,719,5580,0.008415147265077083
2011-02-15,719,721,714,720,2390,0.0013908205841446364
2011-02-16,720,729,701,719,6780,-0.001388888888888884
2011-02-17,720,730,699,712,6170,-0.009735744089012566
2011-02-18,728,728,704,712,640,0.0
2011-02-21,702,716,700,710,2521,-0.002808988764044895
2011-02-22,710,711,686,688,8580,-0.030985915492957705
2011-02-23,690,699,678,687,1390,-0.0014534883720930258
2011-02-24,690,690,681,682,1524,-0.00727802037845704
2011-02-25,688,700,681,685,2032,0.004398826979472137
2011-02-28,681,699,675,686,2300,0.0014598540145984717
2011-03-02,676,708,651,668,5511,-0.026239067055393583
2011-03-03,668,694,668,692,1863,0.03592814371257491
2011-03-04,692,712,682,709,933,0.024566473988439252
2011-03-07,709,710,694,709,120,0.0
2011-03-08,700,715,700,710,1280,0.0014104372355430161
2011-03-09,700,719,700,707,12426,-0.004225352112676051
2011-03-10,707,715,707,715,2280,0.011315417256011262
2011-03-11,728,728,711,719,2081,0.005594405594405494
2011-03-14,697,719,697,714,3020,-0.006954102920723182
2011-03-15,710,713,684,699,1881,-0.021008403361344574
2011-03-16,705,705,691,699,1800,0.0
2011-03-17,703,704,680,698,700,-0.0014306151645206988
2011-03-18,697,708,672,708,2420,0.014326647564469885
2011-03-21,710,710,690,701,4650,-0.009887005649717562
2011-03-22,700,713,700,706,8520,0.007132667617689048
2011-03-23,706,710,701,706,1140,0.0
2011-03-24,701,729,701,707,4570,0.0014164305949009304
2011-03-25,727,727,702,706,730,-0.0014144271570014633
2011-03-28,729,729,700,723,16550,0.024079320113314484
2011-03-29,722,760,720,749,11942,0.03596127247579539
2011-03-30,756,804,745,783,39693,0.04539385847797073
2011-03-31,783,785,751,783,10560,0.0
2011-04-01,780,785,763,780,2130,-0.003831417624521105
2011-04-04,794,794,738,741,29911,-0.050000000000000044
2011-04-05,721,746,721,742,7199,0.0013495276653170407
2011-04-06,742,754,732,747,8687,0.006738544474393482
2011-04-07,758,773,756,768,8910,0.028112449799196693
2011-04-08,768,773,747,765,8342,-0.00390625
2011-04-11,765,773,760,773,6290,0.010457516339869244
2011-04-12,765,766,750,761,8090,-0.015523932729624823
2011-04-13,760,788,752,780,7940,0.024967148488830526
2011-04-14,799,812,782,792,33212,0.01538461538461533
2011-04-15,801,801,787,800,7353,0.010101010101010166
2011-04-18,808,920,798,920,135040,0.1499999999999999
2011-04-19,909,970,876,876,93227,-0.047826086956521685
2011-04-20,878,895,842,869,44392,-0.007990867579908634
2011-04-21,869,869,832,842,28380,-0.031070195627157626
2011-04-22,826,849,812,849,16800,0.008313539192398967
2011-04-25,855,865,840,860,21372,0.012956419316843437
2011-04-26,899,954,861,904,55280,0.051162790697674376
2011-04-27,905,922,841,869,13069,-0.03871681415929207
2011-04-28,855,871,830,869,6430,0.0
2011-04-29,836,853,835,835,15146,-0.03912543153049486
2011-05-02,822,852,822,847,3870,0.014371257485029876
2011-05-03,828,860,828,854,7051,0.008264462809917328
2011-05-04,877,877,847,854,4080,0.0
2011-05-06,853,869,835,835,5455,-0.022248243559718994
2011-05-09,837,879,832,843,1988,0.009580838323353325
2011-05-11,855,868,821,844,11462,0.0011862396204034287
2011-05-12,822,876,815,839,11770,-0.005924170616113722
2011-05-13,840,840,817,820,4821,-0.022646007151370662
2011-05-16,820,836,786,836,4931,0.019512195121951237
2011-05-17,849,849,796,798,15690,-0.045454545454545414
2011-05-18,787,816,780,793,10020,-0.006265664160400974
2011-05-19,795,816,781,781,2710,-0.015132408575031508
2011-05-20,781,850,764,801,19191,0.025608194622279035
2011-05-23,803,823,787,788,1670,-0.01622971285892638
2011-05-24,790,813,790,810,4511,0.027918781725888353
2011-05-25,839,840,782,785,12710,-0.030864197530864224
2011-05-26,787,831,785,802,3287,0.021656050955414008
2011-05-27,855,855,785,785,12020,-0.021197007481296715
2011-05-30,785,805,785,800,1990,0.019108280254777066
2011-05-31,800,820,759,780,19250,-0.025000000000000022
2011-06-01,778,778,749,759,13480,-0.02692307692307694
2011-06-02,768,768,732,750,2590,-0.011857707509881465
2011-06-03,724,769,724,746,1200,-0.005333333333333301
2011-06-07,726,739,726,739,4260,-0.009383378016085797
2011-06-08,714,744,714,736,3243,-0.004059539918809252
2011-06-09,728,757,700,700,28390,-0.048913043478260865
2011-06-10,704,724,690,717,6100,0.024285714285714244
2011-06-13,705,716,694,704,6671,-0.018131101813110173
2011-06-14,691,719,691,719,30,0.02130681818181812
2011-06-15,703,719,700,712,2450,-0.009735744089012566
2011-06-16,707,707,677,690,2330,-0.030898876404494402
2011-06-17,690,702,690,695,4970,0.007246376811594235
2011-06-20,698,711,695,699,3210,0.0057553956834532904
2011-06-21,701,726,701,715,5056,0.022889842632331847
2011-06-22,730,758,730,731,4190,0.02237762237762242
2011-06-23,731,784,713,746,2260,0.020519835841313228
2011-06-24,725,758,725,748,6780,0.002680965147453085
2011-06-27,748,748,721,721,2150,-0.03609625668449201
2011-06-28,745,745,706,707,2540,-0.01941747572815533
2011-06-29,711,741,711,726,600,0.026874115983026803
2011-06-30,735,748,720,748,2860,0.030303030303030276
2011-07-01,748,784,748,778,1070,0.04010695187165769
2011-07-04,778,791,770,787,7060,0.011568123393316254
2011-07-05,805,805,770,780,3140,-0.008894536213468918
2011-07-06,780,780,758,766,1570,-0.017948717948717996
2011-07-07,769,772,709,733,14450,-0.04308093994778073
