Date,Open,High,Low,Close,Volume,Change
2015-05-13,1179,1354,1179,1355,516778,
2015-05-14,1556,1556,1556,1557,7195,0.14907749077490773
2015-05-15,1788,1788,1788,1789,17768,0.14900449582530517
2015-05-18,1778,2055,1521,2055,2921930,0.14868641699273333
2015-05-19,1970,2361,1828,2355,1331374,0.14598540145985406
2015-05-20,2354,2663,2179,2297,706866,-0.024628450106157107
2015-05-21,2217,2282,1952,1953,993217,-0.14976055724858506
2015-05-22,1940,1985,1676,1684,553929,-0.13773681515616998
2015-05-26,1671,1755,1518,1547,254164,-0.08135391923990498
2015-05-27,1571,1661,1456,1457,248713,-0.05817711700064643
2015-05-28,1461,1571,1446,1447,179513,-0.006863417982155062
2015-05-29,1431,1523,1399,1452,87566,0.003455425017277136
2015-06-01,1511,1518,1351,1380,100830,-0.04958677685950408
2015-06-02,1381,1391,1257,1272,90770,-0.07826086956521738
2015-06-03,1252,1289,1219,1250,35038,-0.01729559748427678
2015-06-04,1272,1272,1162,1192,79311,-0.0464
2015-06-05,1192,1369,1174,1370,95404,0.14932885906040272
2015-06-08,1546,1573,1399,1574,395080,0.148905109489051
2015-06-09,1586,1760,1436,1552,386126,-0.013977128335451061
2015-06-10,1536,1755,1484,1597,260224,0.02899484536082464
2015-06-11,1601,1693,1501,1502,110857,-0.05948653725735753
2015-06-12,1496,1501,1354,1365,100845,-0.09121171770972036
2015-06-15,1267,1291,1197,1225,180304,-0.10256410256410253
2015-06-16,1222,1471,1222,1310,517530,0.06938775510204076
2015-06-17,1361,1396,1274,1302,248337,-0.006106870229007688
2015-06-18,1291,1479,1291,1362,333438,0.04608294930875578
2015-06-19,1404,1538,1371,1429,290355,0.04919236417033779
2015-06-22,1429,1469,1366,1397,57828,-0.022393282015395366
2015-06-23,1444,1444,1376,1377,73792,-0.01431639226914816
2015-06-24,1404,1421,1349,1365,46402,-0.008714596949891074
2015-06-25,1349,1391,1321,1389,47093,0.01758241758241752
2015-06-26,1414,1446,1346,1347,66939,-0.030237580993520474
2015-06-29,1306,1339,1262,1307,42582,-0.029695619896065284
2015-06-30,1306,1346,1301,1347,17726,0.030604437643458215
2015-07-01,1349,1349,1281,1340,16205,-0.0051967334818113775
2015-07-02,1306,1326,1286,1295,33318,-0.03358208955223885
2015-07-03,1272,1421,1272,1407,103384,0.08648648648648649
2015-07-06,1406,1409,1336,1375,19754,-0.02274342572850041
2015-07-07,1376,1384,1306,1357,26129,-0.013090909090909042
2015-07-08,1354,1354,1309,1340,21373,-0.012527634487840777
2015-07-09,1341,1351,1286,1295,20101,-0.03358208955223885
2015-07-10,1301,1344,1224,1267,53818,-0.021621621621621623
2015-07-13,1257,1361,1257,1287,18708,0.015785319652722896
