Date,Open,High,Low,Close,Volume,Change
2011-01-03,10728,10776,10250,10298,4197829,0.026310544149890314
2011-01-04,10316,10415,10031,10107,3041792,-0.018547290736065203
2011-01-05,10102,10272,9866,10130,3087825,0.0022756505392302895
2011-01-06,10314,10582,10099,10226,6349554,0.009476801579466843
2011-01-07,10343,10390,10053,10154,2850568,-0.007040876197926815
2011-01-10,10271,10534,10223,10298,4898112,0.014181603309040725
2011-01-11,10317,10391,10033,10250,4479210,-0.004661099242571409
2011-01-12,10485,10800,10269,10370,8529785,0.011707317073170742
2011-01-13,10341,10484,10031,10057,4638710,-0.03018322082931535
2011-01-14,10033,10102,9791,9867,2831905,-0.018892313811275763
2011-01-17,9818,9913,9671,9698,2276022,-0.017127799736495364
2011-01-18,9503,9698,9503,9578,1902173,-0.012373685295937298
2011-01-19,9623,9718,9481,9482,1559084,-0.010022969304656515
2011-01-20,9431,9594,9310,9506,2007043,0.0025311115798354322
2011-01-21,9594,9620,9262,9290,1367073,-0.02272249105827895
2011-01-24,9404,10199,9331,9338,4595470,0.005166846071044118
2011-01-25,9433,9481,9264,9267,1252586,-0.007603341186549595
2011-01-26,9283,9331,9068,9074,1478343,-0.02082658897161971
2011-01-27,9023,9191,8928,8931,1232573,-0.015759312320916874
2011-01-28,8880,9048,8590,8618,1652454,-0.0350464673608778
2011-01-31,8497,8592,8329,8330,1407873,-0.033418426549083335
2011-02-01,8373,8541,8347,8522,721827,0.0230492196878751
2011-02-07,8566,8734,8518,8545,986077,0.0026988969725416645
2011-02-08,8665,8665,8444,8450,1084417,-0.011117612638970154
2011-02-09,8493,8515,8057,8090,1604988,-0.04260355029585794
2011-02-10,8113,8566,8087,8162,1705736,0.008899876390605632
2011-02-11,8159,8444,8059,8065,1066860,-0.011884342073021359
2011-02-14,8057,8205,7915,7922,1096086,-0.017730936143831366
2011-02-15,7942,8011,7796,7802,1138050,-0.015147689977278445
2011-02-16,7872,7920,7488,7490,1544257,-0.039989746218918265
2011-02-17,7459,7533,6427,6650,3190134,-0.11214953271028039
2011-02-18,6670,7243,6643,7082,2154003,0.06496240601503755
2011-02-21,7030,7319,7009,7058,1150378,-0.00338887319966108
2011-02-22,6859,7174,6764,7033,972541,-0.0035420799093227595
2011-02-23,6935,7246,6935,7058,934741,0.0035546708374805114
2011-02-24,6837,6979,6669,6818,1131094,-0.03400396712949849
2011-02-25,6841,7009,6767,6889,730797,0.010413611029627567
2011-02-28,6476,6625,5856,5857,4421351,-0.14980403541878362
2011-03-02,5301,5685,5180,5449,2987401,-0.06966023561550283
2011-03-03,5469,5805,5369,5449,2535566,0.0
2011-03-04,5490,5638,5444,5498,1129696,0.008992475683611723
2011-03-07,5494,5758,5494,5569,883927,0.01291378683157518
2011-03-08,5613,5640,5492,5593,766135,0.004309570838570753
2011-03-09,5685,5685,5422,5449,859262,-0.025746468800286082
2011-03-10,5539,6165,5444,5761,4767341,0.057258212516057894
2011-03-11,5878,6216,5783,5953,2871098,0.033327547300815885
2011-03-14,6042,6042,5321,5617,1643078,-0.05644213001847809
2011-03-15,5520,6456,5325,6457,10127845,0.14954602100765535
2011-03-16,6716,7411,6596,7418,19243198,0.14883072634350314
2011-03-17,7823,8160,6792,6962,18562187,-0.061472094904286845
2011-03-18,7127,7175,6454,6697,9192837,-0.03806377477736278
2011-03-21,6525,6962,6479,6721,7431155,0.003583694191428899
2011-03-22,6793,6908,6624,6793,3215724,0.010712691563755428
2011-03-23,6837,6837,6426,6433,2948655,-0.05299573089945531
2011-03-24,6552,6598,6289,6289,1976912,-0.022384579511891767
2011-03-25,6310,6457,6241,6338,1685685,0.007791381777707107
2011-03-28,6475,6791,6380,6529,3964647,0.030135689491953332
2011-03-29,6672,7488,6478,7490,12844822,0.1471894623985297
2011-03-30,7873,8062,6983,7105,17375167,-0.051401869158878455
2011-03-31,7102,7560,7007,7346,8952760,0.033919774806474345
2011-04-01,7390,7748,7270,7466,6296516,0.016335420637081377
2011-04-04,7458,7558,7195,7201,4071602,-0.035494240557192636
2011-04-05,7414,8015,7320,7658,9656643,0.06346340786001936
2011-04-06,7729,7824,7392,7394,4267799,-0.03447375293810395
2011-04-07,7580,7654,7223,7298,2922433,-0.012983500135244741
2011-04-08,7292,7580,7128,7298,2817907,0.0
2011-04-11,7438,7533,7150,7178,2399893,-0.01644286105782411
2011-04-12,7147,7268,6668,6769,3338584,-0.056979660072443594
2011-04-13,6621,6884,6621,6650,1235232,-0.0175801447776629
2011-04-14,6622,6716,6453,6482,1346727,-0.025263157894736876
2011-04-15,6478,6578,6362,6506,1345118,0.003702560937982158
2011-04-18,6884,6957,6520,6553,1866560,0.007224100830003133
2011-04-19,6426,6547,6190,6217,1549299,-0.05127422554555161
2011-04-20,6211,6285,6117,6265,871203,0.007720765642592831
2011-04-21,6379,6406,6190,6217,1020392,-0.0076616121308858975
2011-04-22,6163,6258,5826,6002,1167414,-0.034582596107447294
2011-04-25,6043,6070,5827,5881,760601,-0.020159946684438546
2011-04-26,5856,6361,5593,5857,2462679,-0.004080938615881657
2011-04-27,5920,6089,5779,5785,1104143,-0.012292982755676918
2011-04-28,5780,5922,5659,5713,950731,-0.012445980985306804
2011-04-29,5685,5806,5590,5666,684932,-0.008226851041484351
2011-05-02,5662,5810,5662,5737,398691,0.012530885986586693
2011-05-03,5783,6073,5783,5906,1085658,0.029457904828307457
2011-05-04,5976,5976,5756,5857,582615,-0.008296647477141872
2011-05-06,5783,5783,5662,5737,405171,-0.020488304592794937
2011-05-09,5826,5826,5590,5617,493626,-0.02091685549938993
2011-05-11,5753,6306,5753,6049,4467583,0.07690938223250843
2011-05-12,5874,5994,5752,5785,1374002,-0.04364357745081837
2011-05-13,5780,5948,5753,5881,684446,0.01659464131374233
2011-05-16,5783,5830,5662,5689,761009,-0.03264750892705326
2011-05-17,5687,5756,5540,5641,642037,-0.008437335208296703
2011-05-18,5662,5877,5640,5689,773927,0.008509129586952602
2011-05-19,5686,5807,5539,5545,790769,-0.02531200562489011
2011-05-20,5540,5662,5425,5473,700242,-0.012984670874661819
2011-05-23,5444,5492,5135,5209,1012649,-0.04823679883062304
2011-05-24,5011,5422,5011,5281,1518461,0.013822230754463538
2011-05-25,5275,5396,5085,5113,463336,-0.031812156788487034
2011-05-26,5134,5323,5108,5162,585204,0.00958341482495606
2011-05-27,5256,5493,5209,5257,1111775,0.018403719488570225
2011-05-30,5662,5999,5615,5906,4282239,0.12345444169678532
2011-05-31,5901,5901,5590,5666,1730797,-0.040636640704368454
2011-06-01,5538,5659,5422,5498,1031507,-0.02965054712319093
2011-06-02,5348,5852,5274,5617,1663271,0.021644234267006235
2011-06-03,5660,5686,5397,5545,1132203,-0.012818230372084738
2011-06-07,5611,5899,5516,5617,1349220,0.01298467087466193
2011-06-08,5468,5590,5300,5401,1080227,-0.038454691116254214
2011-06-09,5300,5516,5300,5401,877356,0.0
2011-06-10,5471,5708,5424,5425,1670233,0.004443621551564636
2011-06-13,5398,5687,5398,5425,1391363,0.0
2011-06-14,5444,5707,5423,5593,1298982,0.030967741935483906
2011-06-15,5690,5784,5567,5569,968558,-0.004291078133381032
2011-06-16,5517,5564,5422,5449,704808,-0.021547854192853322
2011-06-17,5517,5564,5422,5449,618627,0.0
2011-06-20,5688,5756,5472,5473,1074569,0.004404477885850522
2011-06-21,5471,5612,5444,5545,686001,0.01315549059016985
2011-06-22,5539,5613,5518,5593,706535,0.008656447249774546
2011-06-23,5591,5612,5517,5545,518869,-0.008582156266762064
2011-06-24,5590,5637,5516,5617,821556,0.01298467087466193
2011-06-27,5613,5708,5613,5641,1230073,0.004272743457361505
2011-06-28,5685,5827,5612,5713,1468734,0.012763694380429014
2011-06-29,5733,5780,5659,5713,1090651,0.0
2011-06-30,5685,5733,5612,5713,560784,0.0
2011-07-01,5708,5735,5593,5641,760168,-0.012602835638018561
2011-07-04,5657,5900,5637,5785,1765142,0.025527388760858027
2011-07-05,5783,5877,5708,5857,989286,0.012445980985306804
2011-07-06,5875,5903,5781,5810,516085,-0.008024585965511366
2011-07-07,5810,5830,5689,5737,693595,-0.01256454388984507
2011-07-08,5707,5754,5612,5713,781438,-0.004183371099877986
2011-07-11,5780,5921,5753,5834,1435311,0.021179765447225662
2011-07-12,5876,6454,5854,6146,6863804,0.05347960233116211
2011-07-13,6306,6547,5995,6049,2702525,-0.015782622844126237
2011-07-14,6214,6289,6045,6289,2012031,0.039675979500743974
2011-07-15,6309,6383,6167,6289,1600910,0.0
2011-07-18,6260,6260,5996,6097,1665703,-0.0305294959453013
2011-07-19,6092,6407,6044,6361,3507425,0.043299983598491076
2011-07-20,6409,6430,6241,6289,2014968,-0.011318975003930198
2011-07-21,6289,6309,6120,6122,1384344,-0.026554301160756855
2011-07-22,6092,6191,6071,6146,1132792,0.003920287487749086
2011-07-25,6026,6141,5953,5953,1363834,-0.031402538236251165
2011-07-26,5950,6044,5781,5810,1368474,-0.024021501763816566
2011-07-27,5808,6071,5780,5977,1474710,0.028743545611015442
2011-07-28,6043,6574,6021,6217,5959208,0.040153923372929556
2011-07-29,6335,6335,6140,6242,1446302,0.004021232105517081
2011-08-01,6335,6550,6213,6409,2996166,0.02675424543415561
2011-08-02,6408,6429,6167,6242,1561753,-0.0260571071930098
2011-08-03,6139,6139,5924,6025,1157236,-0.034764498558154444
2011-08-04,6094,6310,5905,5953,1584577,-0.011950207468879648
2011-08-05,5254,5612,5085,5330,1772117,-0.10465311607592809
2011-08-08,5060,5444,4533,4561,2346257,-0.1442776735459662
2011-08-09,3984,4268,3879,4254,2402660,-0.06730980048235036
2011-08-10,4461,4872,4461,4873,1714481,0.1455101081335215
2011-08-11,4459,5108,4444,4944,1737641,0.014570080032833888
2011-08-12,5134,5303,4965,4994,1497582,0.010113268608414216
2011-08-16,5279,5279,5136,5185,667178,0.03824589507408893
2011-08-17,5230,5371,5108,5257,1008613,0.013886210221793593
2011-08-18,5257,5520,5014,5137,1687651,-0.022826707247479594
2011-08-19,4800,4921,4463,4691,1013332,-0.08682110181039515
2011-08-22,4610,4895,4605,4801,773768,0.023449157962055045
2011-08-23,4822,5085,4822,4944,862419,0.02978546136221616
2011-08-24,5085,5181,4917,4944,1186393,0.0
2011-08-25,5063,5157,4873,4970,1345975,0.005258899676375384
2011-08-26,4891,5302,4845,5162,2038057,0.038631790744466876
2011-08-29,5304,5352,5158,5185,1167467,0.0044556373498643165
2011-08-30,5257,5953,5210,5953,5473321,0.14811957569913203
2011-08-31,6137,6211,5684,5785,6484645,-0.028221065009239044
2011-09-01,5784,5978,5520,5569,3180303,-0.03733794295592052
2011-09-02,5611,5779,5442,5785,1895277,0.03878613754713589
2011-09-05,5662,6525,5520,6289,10589934,0.08712186689714785
2011-09-06,6140,6672,5756,5857,8436179,-0.06869136587692792
2011-09-07,6137,6594,5921,6385,8774920,0.09014854020829777
2011-09-08,6408,6645,6193,6242,5997637,-0.022396241190289712
2011-09-09,6260,6503,6071,6193,3297987,-0.007850048061518788
2011-09-14,6211,6238,5659,5666,2462524,-0.08509607621508153
