Date,Open,High,Low,Close,Volume,Change
2011-01-03,7120,7212,6782,6989,66373,-0.02101134612690858
2011-01-04,6987,7287,6942,7214,63651,0.03219344684504222
2011-01-05,7213,7401,7045,7307,40779,0.012891599667313569
2011-01-06,7306,7354,7165,7298,35082,-0.0012316956343232377
2011-01-07,7288,7288,6689,6858,80206,-0.06029049054535485
2011-01-10,6670,6838,6464,6558,59030,-0.04374453193350836
2011-01-11,6473,6829,6473,6811,41856,0.03857883501067394
2011-01-12,6754,7091,6651,6727,44276,-0.012332990750256956
2011-01-13,6848,6848,6211,6595,72009,-0.019622417125018554
2011-01-14,6586,7035,6408,6577,88634,-0.002729340409401093
2011-01-17,6670,6735,6417,6530,28161,-0.0071461152501139935
2011-01-18,6520,6539,6183,6352,50355,-0.02725880551301685
2011-01-19,6351,6482,6276,6427,38243,0.011807304785894202
2011-01-20,6492,6492,6192,6296,17986,-0.020382760230278518
2011-01-21,6258,6258,6005,6127,30727,-0.026842439644218508
2011-01-24,6136,6323,6033,6324,19079,0.032152766443610314
2011-01-25,6370,6473,6276,6352,22274,0.0044275774826059155
2011-01-26,6351,6464,6220,6436,21630,0.013224181360201426
2011-01-27,6520,6520,6323,6427,28874,-0.0013983840894965516
2011-01-28,6436,6576,6323,6558,42470,0.020382760230278407
2011-01-31,6323,6557,6323,6474,18270,-0.012808783165599302
2011-02-01,6436,6604,6323,6511,20634,0.005715168365770795
2011-02-07,6511,6586,6426,6464,23106,-0.007218553217631651
2011-02-08,6398,6520,6379,6492,16561,0.004331683168316891
2011-02-09,6445,6473,6173,6464,38946,-0.004313000616142926
2011-02-10,6417,6454,6304,6371,17556,-0.014387376237623761
2011-02-11,6295,6323,6089,6099,36061,-0.04269345471668495
2011-02-14,6033,6192,5499,6193,29813,0.015412362682406977
2011-02-15,6230,6745,6230,6727,63358,0.08622638462780552
2011-02-16,6754,6923,6651,6773,30145,0.0068381150587186745
2011-02-17,6782,7372,6782,6951,56405,0.026280820906540603
2011-02-18,7016,7016,6745,6933,24326,-0.00258955545964612
2011-02-21,7091,7101,6764,7008,25482,0.01081782778018181
2011-02-22,6979,7026,6782,6867,26836,-0.020119863013698613
2011-02-23,6829,6838,6295,6502,62912,-0.05315275957477794
2011-02-24,6408,7476,6389,7317,108179,0.12534604737004007
2011-02-25,7363,7672,7054,7204,119854,-0.015443487768211028
