Date,Open,High,Low,Close,Volume,Change
2011-01-03,2186,2247,2151,2243,82228,0.04035250463821893
2011-01-04,2216,2330,2216,2239,88043,-0.001783325902808719
2011-01-05,2238,2282,2186,2282,89321,0.019205002233139812
2011-01-06,2308,2447,2264,2352,277433,0.030674846625766916
2011-01-07,2351,2391,2312,2352,92186,0.0
2011-01-10,2364,2399,2330,2330,90363,-0.009353741496598622
2011-01-11,2330,2378,2286,2348,40746,0.007725321888411907
2011-01-12,2347,2408,2347,2348,96718,0.0
2011-01-13,2351,2360,2264,2348,101859,0.0
2011-01-14,2347,2360,2221,2291,109510,-0.024275979557069838
2011-01-17,2290,2308,2186,2213,98564,-0.03404626800523791
2011-01-18,2221,2243,2177,2178,86486,-0.01581563488477178
2011-01-19,2216,2251,2186,2195,71765,0.007805325987144229
2011-01-20,2177,2208,2168,2178,49057,-0.0077448747152619735
2011-01-21,2186,2221,2155,2178,77700,0.0
2011-01-24,2177,2234,2173,2213,53567,0.016069788797061557
2011-01-25,2216,2382,2195,2304,195111,0.04112065070040671
2011-01-26,2343,2343,2273,2308,89726,0.0017361111111111605
2011-01-27,2317,2425,2317,2387,265660,0.03422876949740039
2011-01-28,2421,2735,2386,2583,858421,0.08211143695014655
2011-01-31,2552,2626,2491,2613,218075,0.011614401858304202
2011-02-01,2613,2665,2499,2548,197296,-0.02487562189054726
2011-02-07,2595,2613,2452,2456,192097,-0.03610675039246469
2011-02-08,2465,2504,2438,2456,104420,0.0
2011-02-09,2482,2569,2456,2487,184183,0.0126221498371335
2011-02-10,2499,2587,2473,2478,119780,-0.003618817852834688
2011-02-11,2469,2560,2378,2461,103807,-0.006860371267150889
2011-02-14,2499,2613,2460,2517,157905,0.02275497765136114
2011-02-15,2543,2556,2465,2557,99637,0.015891934843067057
2011-02-16,2556,2556,2430,2430,120133,-0.04966757919436837
2011-02-17,2430,2517,2256,2387,99793,-0.017695473251028826
2011-02-18,2391,2391,2269,2334,92303,-0.022203602848764104
2011-02-21,2351,2386,2277,2378,84062,0.018851756640959616
2011-02-22,2378,2395,2273,2339,74202,-0.016400336417157324
2011-02-23,2286,2378,2234,2273,60765,-0.02821718683197949
2011-02-24,2273,2295,2168,2186,114404,-0.038275406951165825
2011-02-25,2186,2256,2168,2256,48281,0.0320219579139982
2011-02-28,2251,2286,2177,2182,45409,-0.03280141843971629
2011-03-02,2190,2264,2094,2138,123333,-0.02016498625114571
2011-03-03,2121,2221,2116,2173,60992,0.016370439663236702
2011-03-04,2186,2256,2186,2204,54881,0.014265991716520876
2011-03-07,2212,2264,2177,2239,63500,0.01588021778584392
2011-03-08,2216,2286,2216,2256,52710,0.007592675301473895
2011-03-09,2260,2299,2229,2282,35278,0.01152482269503552
2011-03-10,2264,2417,2225,2378,177106,0.04206836108676604
2011-03-11,2382,2521,2351,2391,117533,0.005466778805718997
2011-03-14,2373,2434,2334,2334,106060,-0.023839397741530766
2011-03-15,2317,2391,2012,2213,159130,-0.05184233076263922
2011-03-16,2199,2251,2186,2243,106840,0.01355625847266162
2011-03-17,2177,2238,2142,2204,62727,-0.017387427552385204
2011-03-18,2212,2286,2212,2226,49651,0.009981851179673429
2011-03-21,2212,2303,2212,2291,82698,0.029200359389038644
2011-03-22,2321,2356,2299,2308,65076,0.007420340462680031
2011-03-23,2321,2552,2317,2491,275339,0.07928942807625661
2011-03-24,2504,2534,2452,2461,160988,-0.012043356081894774
2011-03-25,2508,2508,2404,2435,165071,-0.010564811052417689
2011-03-28,2460,2465,2334,2395,114292,-0.01642710472279263
2011-03-29,2382,2469,2382,2443,57431,0.020041753653444738
2011-03-30,2438,2478,2404,2435,79140,-0.0032746623004502595
2011-03-31,2499,2600,2447,2509,269286,0.03039014373716631
2011-04-01,2578,2682,2499,2548,326140,0.015544041450777257
2011-04-04,2543,2569,2425,2448,269898,-0.039246467817896424
2011-04-05,2465,2478,2412,2452,165757,0.0016339869281045694
2011-04-06,2452,2534,2443,2461,114677,0.0036704730831973453
2011-04-07,2482,2534,2404,2456,176686,-0.002031694433157205
2011-04-08,2443,2517,2434,2496,189295,0.016286644951140072
2011-04-11,2504,2574,2486,2526,334225,0.012019230769230838
2011-04-12,2530,2543,2430,2439,131337,-0.03444180522565321
2011-04-13,2438,2495,2395,2448,108313,0.0036900369003689537
2011-04-14,2452,2486,2395,2478,100150,0.01225490196078427
2011-04-15,2478,2578,2456,2535,233190,0.02300242130750596
2011-04-18,2556,2674,2521,2604,616404,0.02721893491124261
2011-04-19,2547,2634,2460,2600,298007,-0.001536098310291889
2011-04-20,2656,2848,2613,2661,582857,0.023461538461538423
2011-04-21,2674,2830,2648,2787,575079,0.04735062006764368
2011-04-22,2774,2883,2743,2744,470289,-0.015428776462145688
2011-04-25,2752,2765,2643,2679,294791,-0.023688046647230343
2011-04-26,2639,2695,2565,2574,261909,-0.03919372900335949
2011-04-27,2578,2613,2469,2509,267185,-0.025252525252525304
2011-04-28,2491,2569,2395,2461,245165,-0.01913112793941807
2011-04-29,2447,2526,2308,2317,269374,-0.05851279967492884
2011-05-02,2338,2412,2338,2378,91313,0.02632714717306861
2011-05-03,2378,2408,2334,2409,67950,0.013036164844407061
2011-05-04,2404,2408,2334,2361,93047,-0.01992528019925277
2011-05-06,2338,2465,2338,2456,188750,0.04023718763235906
2011-05-09,2469,2526,2425,2456,142939,0.0
2011-05-11,2465,2504,2417,2478,78810,0.008957654723126929
2011-05-12,2473,2499,2425,2448,105805,-0.01210653753026636
2011-05-13,2456,2473,2356,2365,97161,-0.033905228758169925
2011-05-16,2351,2452,2308,2448,92037,0.0350951374207189
2011-05-17,2408,2452,2369,2369,73844,-0.032271241830065356
2011-05-18,2364,2438,2360,2409,52593,0.016884761502743872
2011-05-19,2421,2447,2325,2334,68394,-0.031133250311332517
2011-05-20,2338,2364,2177,2234,238786,-0.0428449014567267
2011-05-23,2177,2225,2081,2082,148409,-0.0680393912264996
2011-05-24,2090,2177,2073,2173,77386,0.043707973102785846
2011-05-25,2138,2203,2090,2178,81946,0.0023009664058903923
2011-05-26,2182,2264,2177,2260,57241,0.037649219467401185
2011-05-27,2295,2317,2203,2256,49888,-0.001769911504424737
2011-05-30,2256,2256,2099,2130,53636,-0.05585106382978722
2011-05-31,2134,2286,2116,2230,40691,0.04694835680751175
2011-06-01,2203,2282,2134,2134,71225,-0.043049327354260036
2011-06-02,2125,2151,2090,2125,56383,-0.004217432052483594
2011-06-03,2147,2168,2090,2091,57775,-0.016000000000000014
2011-06-07,2081,2099,2038,2060,42077,-0.01482544237207073
2011-06-08,2068,2129,1955,1995,98474,-0.03155339805825241
2011-06-09,1968,2051,1968,2003,90812,0.004010025062656686
2011-06-10,2042,2081,1986,2082,66942,0.039440838741887196
2011-06-13,2068,2081,1955,1990,72038,-0.04418828049951973
2011-06-14,1999,2064,1968,2034,46949,0.022110552763819014
2011-06-15,2047,2068,2003,2025,44292,-0.004424778761061954
2011-06-16,1994,2086,1968,2060,34256,0.01728395061728394
2011-06-17,2060,2090,2038,2056,57003,-0.001941747572815511
2011-06-20,2020,2047,2003,2043,60121,-0.006322957198443557
2011-06-21,2051,2060,2012,2030,38655,-0.006363191385217792
2011-06-22,2047,2081,2012,2012,69422,-0.00886699507389166
2011-06-23,2020,2038,1959,1964,83812,-0.02385685884691846
2011-06-24,2007,2007,1925,1982,80393,0.009164969450101923
2011-06-27,2003,2003,1916,1916,61680,-0.03329969727547932
2011-06-28,1938,1981,1885,1895,63120,-0.01096033402922758
2011-06-29,1916,1942,1842,1903,102555,0.004221635883905117
2011-06-30,1916,1968,1898,1964,66167,0.03205465055176049
