Date,Open,High,Low,Close,Volume,Change
2011-01-03,718,720,701,705,95438,0.0071428571428571175
2011-01-04,705,715,705,707,110991,0.0028368794326241176
2011-01-05,714,714,705,709,92904,0.0028288543140029265
2011-01-06,709,724,706,711,73067,0.0028208744710860323
2011-01-07,717,724,706,716,116127,0.007032348804500765
2011-01-10,710,816,710,784,1352636,0.0949720670391061
2011-01-11,798,901,786,901,4429448,0.14923469387755106
2011-01-12,950,1035,837,840,15891343,-0.06770255271920089
2011-01-13,855,878,765,780,2745635,-0.0714285714285714
2011-01-14,798,835,772,788,1807031,0.01025641025641022
2011-01-17,782,812,740,770,948620,-0.022842639593908642
2011-01-18,760,774,750,761,727703,-0.011688311688311637
2011-01-19,760,874,760,873,2718188,0.14717477003942192
2011-01-20,869,901,830,872,1539519,-0.001145475372279492
2011-01-21,920,980,876,899,3036246,0.03096330275229353
2011-01-24,903,922,850,852,1313424,-0.0522803114571746
2011-01-25,823,860,819,819,934398,-0.03873239436619713
2011-01-26,840,850,809,822,597982,0.00366300366300365
2011-01-27,825,855,820,855,612797,0.04014598540145986
2011-01-28,890,940,860,872,2510216,0.019883040935672502
2011-01-31,872,881,831,837,598092,-0.04013761467889909
2011-02-01,846,858,812,828,574855,-0.010752688172043001
2011-02-07,834,844,820,830,335491,0.0024154589371980784
2011-02-08,834,840,807,820,374991,-0.012048192771084376
2011-02-09,820,899,798,882,1978810,0.07560975609756104
2011-02-10,882,921,863,898,1122893,0.018140589569161092
2011-02-11,898,902,844,860,567451,-0.04231625835189312
2011-02-14,848,890,823,823,339724,-0.0430232558139535
2011-02-15,813,847,813,845,309735,0.026731470230862753
2011-02-16,858,859,825,844,310898,-0.0011834319526626835
2011-02-17,840,884,833,835,341761,-0.010663507109004766
2011-02-18,826,845,820,835,192553,0.0
2011-02-21,840,960,812,960,2554874,0.14970059880239517
2011-02-22,1100,1100,1100,1100,712327,0.14583333333333326
2011-02-23,1265,1265,1225,1265,7403257,0.1499999999999999
2011-02-24,1300,1315,1080,1180,32557182,-0.06719367588932801
2011-02-25,1165,1235,1055,1100,16140944,-0.06779661016949157
2011-02-28,1135,1265,1090,1090,34175433,-0.009090909090909038
2011-03-02,1075,1125,1055,1125,7371225,0.032110091743119185
2011-03-03,1140,1165,1065,1070,7205123,-0.04888888888888887
2011-03-04,1095,1145,1040,1065,8182382,-0.004672897196261627
2011-03-07,1080,1155,1050,1130,9263812,0.06103286384976525
2011-03-08,1130,1175,1115,1145,8411573,0.01327433628318575
2011-03-09,1160,1190,1070,1070,6093678,-0.06550218340611358
2011-03-10,1080,1185,1060,1135,10692904,0.06074766355140193
2011-03-11,1090,1175,1085,1170,5942829,0.03083700440528636
2011-03-14,1140,1145,1050,1100,4573353,-0.05982905982905984
2011-03-15,1095,1165,980,1080,8529338,-0.018181818181818188
2011-03-16,1090,1165,1060,1060,8374482,-0.01851851851851849
2011-03-17,1060,1060,960,971,4317796,-0.08396226415094343
2011-03-18,989,997,963,977,2032547,0.006179196704428458
2011-03-21,981,1005,978,995,1362306,0.0184237461617196
2011-03-22,1010,1050,992,992,3872266,-0.0030150753768843908
2011-03-23,1000,1020,976,979,1619379,-0.01310483870967738
2011-03-24,999,999,970,980,1250048,0.0010214504596526286
2011-03-25,980,1015,971,971,1551678,-0.009183673469387754
2011-03-28,979,980,931,939,1446841,-0.032955715756951554
2011-03-29,930,950,920,950,1369857,0.011714589989350266
2011-03-30,956,963,929,938,978380,-0.012631578947368438
2011-03-31,936,974,930,968,918072,0.031982942430703654
2011-04-01,977,987,953,975,1277381,0.00723140495867769
2011-04-04,983,1120,972,1120,8619741,0.14871794871794863
2011-04-05,1120,1150,1080,1120,8540770,0.0
2011-04-06,1130,1225,1080,1130,9814471,0.008928571428571397
2011-04-07,1140,1170,1100,1165,5153058,0.030973451327433565
2011-04-08,1235,1335,1230,1335,7929099,0.14592274678111594
2011-04-11,1445,1535,1270,1280,29999061,-0.041198501872659166
2011-04-12,1270,1325,1155,1195,16198911,-0.06640625
2011-04-13,1210,1240,1160,1220,9618283,0.02092050209205021
2011-04-14,1215,1225,1130,1130,6542293,-0.07377049180327866
2011-04-15,1135,1225,1135,1155,6858859,0.022123893805309658
2011-04-18,1180,1235,1145,1225,7466257,0.06060606060606055
2011-04-19,1215,1245,1115,1115,5815144,-0.0897959183673469
2011-04-20,1130,1195,1120,1195,6264102,0.0717488789237668
2011-04-21,1200,1205,1145,1150,2427011,-0.03765690376569042
2011-04-22,1140,1175,1040,1085,3347377,-0.05652173913043479
2011-04-25,1070,1090,1050,1055,2217746,-0.027649769585253448
2011-04-26,1055,1120,1055,1075,2333742,0.018957345971563955
2011-04-27,1085,1210,1070,1095,10207992,0.018604651162790642
2011-04-28,1105,1125,1055,1100,2320356,0.004566210045662045
2011-04-29,1130,1130,1050,1050,1924844,-0.045454545454545414
2011-05-02,1060,1085,1045,1060,1035256,0.00952380952380949
2011-05-03,1055,1125,1055,1090,2631929,0.028301886792452935
2011-05-04,1080,1125,1080,1100,1364311,0.00917431192660545
2011-05-06,1090,1115,1065,1065,969515,-0.03181818181818186
2011-05-09,1065,1095,981,989,1927904,-0.0713615023474179
2011-05-11,975,985,945,952,1467999,-0.037411526794742134
2011-05-12,943,971,942,957,1190698,0.005252100840336116
2011-05-13,960,970,951,960,647925,0.0031347962382444194
2011-05-16,947,1100,947,1100,7019623,0.14583333333333326
2011-05-17,1100,1125,1050,1050,6967785,-0.045454545454545414
2011-05-18,1050,1095,1045,1095,3064974,0.04285714285714293
2011-05-19,1105,1160,998,1010,6275200,-0.07762557077625576
2011-05-20,1015,1050,987,1025,1813106,0.014851485148514865
2011-05-23,1020,1030,960,963,1658670,-0.060487804878048834
2011-05-24,945,1020,945,998,1800551,0.036344755970924236
2011-05-25,1005,1030,973,973,1362888,-0.02505010020040077
2011-05-26,978,1060,978,1010,2678802,0.03802672147995878
2011-05-27,1040,1145,1020,1070,7715807,0.05940594059405946
2011-05-30,1095,1130,1055,1070,3937504,0.0
2011-05-31,1065,1100,1045,1055,1738769,-0.014018691588784993
2011-06-01,1060,1115,1060,1085,2984180,0.028436018957346043
2011-06-02,1070,1075,1045,1075,1622666,-0.009216589861751112
2011-06-03,1090,1120,1055,1060,2676213,-0.013953488372092981
2011-06-07,1065,1090,1060,1065,998629,0.004716981132075526
2011-06-08,1080,1205,1075,1165,18573671,0.0938967136150235
2011-06-09,1175,1220,1140,1150,7279945,-0.012875536480686733
2011-06-10,1165,1215,1160,1210,6944412,0.05217391304347818
2011-06-13,1220,1265,1170,1190,7961267,-0.016528925619834656
2011-06-14,1195,1220,1135,1145,4700093,-0.037815126050420145
2011-06-15,1160,1210,1155,1210,4197946,0.05676855895196509
2011-06-16,1200,1215,1170,1170,2938769,-0.03305785123966942
2011-06-17,1230,1280,1155,1155,8967437,-0.012820512820512775
2011-06-20,1175,1190,1125,1135,2658055,-0.017316017316017285
2011-06-21,1145,1160,1120,1130,1981934,-0.004405286343612369
2011-06-22,1135,1170,1120,1165,2848295,0.030973451327433565
2011-06-23,1160,1175,1125,1145,1708409,-0.01716738197424894
2011-06-24,1150,1185,1145,1160,2919650,0.013100436681222627
2011-06-27,1155,1160,1140,1145,1114685,-0.012931034482758674
2011-06-28,1155,1185,1145,1160,2333321,0.013100436681222627
2011-06-29,1170,1180,1150,1160,1564951,0.0
2011-06-30,1165,1190,1155,1190,2778564,0.02586206896551735
2011-07-01,1205,1210,1160,1165,2292672,-0.021008403361344574
2011-07-04,1170,1200,1165,1185,2112708,0.01716738197424883
2011-07-05,1190,1210,1180,1185,1465589,0.0
2011-07-06,1185,1190,1160,1165,2272464,-0.016877637130801704
2011-07-07,1170,1170,1100,1115,2041108,-0.0429184549356223
2011-07-08,1120,1140,1070,1090,1962925,-0.022421524663677084
2011-07-11,1130,1145,1095,1120,2875068,0.02752293577981657
2011-07-12,1105,1135,1075,1090,1094276,-0.0267857142857143
2011-07-13,1105,1135,1100,1130,1515895,0.03669724770642202
2011-07-14,1125,1130,1095,1105,795683,-0.02212389380530977
2011-07-15,1110,1155,1110,1130,2271142,0.02262443438914019
2011-07-18,1135,1150,1135,1145,941400,0.01327433628318575
2011-07-19,1150,1170,1135,1165,957142,0.017467248908296984
2011-07-20,1180,1335,1170,1330,12254373,0.14163090128755362
2011-07-21,1320,1355,1270,1280,5532227,-0.03759398496240607
2011-07-22,1280,1445,1250,1375,9934879,0.07421875
2011-07-25,1365,1580,1340,1560,7288245,0.13454545454545452
2011-07-26,1535,1580,1470,1495,8311808,-0.04166666666666663
2011-07-27,1520,1595,1475,1475,5878255,-0.013377926421404673
2011-07-28,1450,1590,1430,1510,6571825,0.023728813559322104
2011-07-29,1575,1600,1430,1450,5449090,-0.039735099337748325
2011-08-01,1455,1495,1410,1455,2977844,0.0034482758620688614
