Date,Open,High,Low,Close,Volume,Change
2011-01-03,2372,2443,2347,2375,10712,0.01279317697228155
2011-01-04,2420,2465,2374,2383,40575,0.003368421052631687
2011-01-05,2276,2422,2271,2272,31912,-0.04657994125052456
2011-01-06,2321,2321,2117,2191,34768,-0.03565140845070425
2011-01-07,2193,2193,2024,2024,22595,-0.07622090369694201
2011-01-10,2077,2092,2026,2072,17030,0.02371541501976293
2011-01-11,2117,2117,1998,1999,24987,-0.035231660231660245
2011-01-12,1998,2067,1968,2029,21978,0.015007503751875984
2011-01-13,2112,2112,2016,2029,23093,0.0
2011-01-14,2104,2104,1981,2004,3217,-0.012321340561853078
2011-01-17,2021,2021,1938,1964,11875,-0.019960079840319334
2011-01-18,2003,2003,1923,1966,5842,0.0010183299389001643
2011-01-19,2003,2003,1928,1928,6043,-0.019328585961342792
2011-01-20,1908,1961,1807,1951,27986,0.01192946058091282
2011-01-21,2049,2049,1852,1880,8274,-0.03639159405433112
2011-01-24,1824,1837,1665,1764,43795,-0.0617021276595745
2011-01-25,1746,1791,1678,1678,21014,-0.0487528344671202
2011-01-26,1736,1736,1532,1615,147683,-0.03754469606674615
2011-01-27,1638,1638,1582,1595,28204,-0.012383900928792602
2011-01-28,1615,1635,1539,1590,28451,-0.0031347962382445305
2011-01-31,1521,1610,1521,1605,3835,0.009433962264151052
2011-02-01,1605,1658,1564,1593,11211,-0.00747663551401867
2011-02-07,1761,1761,1605,1605,20654,0.007532956685499137
2011-02-08,1607,1635,1577,1610,8940,0.0031152647975076775
2011-02-09,1678,1678,1579,1603,6138,-0.004347826086956497
2011-02-10,1569,1640,1544,1598,10790,-0.003119151590767366
2011-02-11,1597,1632,1564,1598,10148,0.0
2011-02-14,1615,1615,1390,1565,35648,-0.020650813516896127
2011-02-15,1539,1665,1539,1565,63494,0.0
2011-02-16,1564,1600,1564,1585,12067,0.012779552715654896
2011-02-17,1610,1610,1529,1565,33749,-0.012618296529968487
2011-02-18,1564,1607,1532,1598,10742,0.021086261980830745
2011-02-21,1597,1615,1564,1580,15578,-0.01126408010012514
2011-02-22,1567,1585,1529,1555,21566,-0.015822784810126556
2011-02-23,1539,1585,1529,1562,23289,0.004501607717041889
2011-02-24,1607,1607,1534,1565,16491,0.001920614596671033
2011-02-25,1685,1685,1572,1590,1742,0.015974440894568787
2011-02-28,1590,1590,1547,1555,5647,-0.022012578616352196
2011-03-02,1554,1554,1479,1502,40826,-0.034083601286173604
2011-03-03,1481,1514,1479,1492,11185,-0.0066577896138482195
2011-03-04,1519,1554,1489,1540,17567,0.03217158176943702
2011-03-07,1564,1564,1501,1502,4057,-0.024675324675324628
2011-03-08,1559,1559,1501,1535,7828,0.021970705725699036
2011-03-09,1539,1610,1534,1580,30570,0.02931596091205213
2011-03-10,1610,1640,1542,1545,4370,-0.022151898734177222
2011-03-11,1554,1554,1521,1522,8272,-0.014886731391585806
2011-03-14,1514,1539,1491,1524,19006,0.0013140604467805073
2011-03-15,1486,1539,1486,1527,30630,0.0019685039370078705
2011-03-16,1451,1526,1451,1527,15583,0.0
2011-03-17,1494,1499,1443,1464,6940,-0.04125736738703345
2011-03-18,1453,1521,1438,1522,16164,0.039617486338797914
2011-03-21,1496,1529,1479,1522,18193,0.0
2011-03-22,1496,1607,1491,1494,17603,-0.018396846254927768
2011-03-23,1504,1542,1496,1542,4591,0.032128514056224855
2011-03-24,1509,1607,1509,1560,4616,0.011673151750972721
2011-03-25,1590,1658,1537,1605,4678,0.028846153846153744
2011-03-28,1605,1665,1572,1666,9900,0.03800623052959495
2011-03-29,1640,1660,1579,1658,9861,-0.004801920768307322
2011-03-30,1625,1653,1582,1615,7912,-0.02593486127864897
2011-03-31,1585,1630,1557,1588,8710,-0.016718266253869962
2011-04-01,1582,1607,1562,1565,8421,-0.01448362720403018
2011-04-04,1562,1567,1529,1542,3644,-0.014696485623003186
2011-04-05,1552,1582,1532,1560,4180,0.011673151750972721
2011-04-06,1547,1557,1519,1545,9827,-0.009615384615384581
2011-04-07,1539,1547,1519,1524,3735,-0.013592233009708687
2011-04-08,1519,1519,1489,1514,49310,-0.006561679790026198
2011-04-11,1514,1514,1489,1492,10615,-0.014531043593130732
2011-04-12,1491,1529,1473,1504,9465,0.008042895442359255
2011-04-13,1509,1509,1463,1492,5283,-0.007978723404255317
2011-04-14,1499,1504,1491,1504,3433,0.008042895442359255
2011-04-15,1514,1514,1481,1499,15961,-0.0033244680851063357
2011-04-18,1504,1524,1468,1469,8422,-0.020013342228152098
2011-04-19,1496,1496,1451,1471,13299,0.001361470388019148
2011-04-20,1491,1491,1456,1474,4680,0.0020394289598912874
2011-04-21,1479,1479,1456,1474,8841,0.0
2011-04-22,1473,1489,1456,1471,16841,-0.002035278154681186
2011-04-25,1489,1489,1431,1449,14137,-0.014955812372535737
2011-04-26,1463,1463,1398,1434,19134,-0.010351966873705987
2011-04-27,1448,1458,1403,1416,3467,-0.012552301255230103
2011-04-28,1420,1438,1388,1434,8653,0.012711864406779627
2011-04-29,1431,1438,1398,1436,5142,0.001394700139470073
2011-05-02,1418,1479,1418,1439,2145,0.002089136490250665
2011-05-03,1461,1461,1413,1413,2494,-0.018068102849200796
2011-05-04,1383,1463,1383,1403,2987,-0.00707714083510258
2011-05-06,1514,1514,1393,1396,1207,-0.0049893086243762985
2011-05-09,1400,1433,1362,1413,16290,0.012177650429799458
2011-05-11,1413,1431,1388,1388,4240,-0.017692852087756505
2011-05-12,1395,1395,1357,1388,776,0.0
2011-05-13,1357,1428,1325,1429,21058,0.029538904899135465
2011-05-16,1446,1446,1400,1429,5333,0.0
2011-05-17,1403,1463,1403,1403,7162,-0.018194541637508777
2011-05-18,1408,1453,1362,1388,12574,-0.010691375623663624
2011-05-19,1372,1413,1362,1413,2636,0.018011527377521652
2011-05-20,1438,1438,1393,1393,5275,-0.014154281670205271
2011-05-23,1433,1433,1362,1383,2335,-0.007178750897343877
2011-05-24,1383,1413,1312,1413,9134,0.021691973969631295
2011-05-25,1413,1514,1413,1449,32414,0.02547770700636942
2011-05-26,1448,1665,1448,1666,340189,0.1497584541062802
2011-05-27,1731,1915,1731,1916,664971,0.15006002400960394
2011-05-30,1993,2019,1822,1880,680689,-0.018789144050104345
2011-05-31,1910,2092,1774,1774,958317,-0.05638297872340425
2011-06-01,1791,2036,1776,1928,422291,0.08680947012401363
2011-06-02,1892,2215,1824,2087,456968,0.08246887966804972
2011-06-03,2140,2193,1832,1953,233152,-0.06420699568758981
2011-06-07,1918,2019,1892,1903,74796,-0.0256016385048643
2011-06-08,1913,1956,1822,1936,81557,0.01734104046242768
2011-06-09,1935,2077,1935,1953,93243,0.008780991735537258
2011-06-10,1993,2044,1918,1923,65052,-0.015360983102918557
2011-06-13,1993,1998,1905,1918,44726,-0.0026001040041602197
2011-06-14,1918,1958,1892,1956,28492,0.019812304483837417
2011-06-15,1948,2011,1877,1943,34084,-0.006646216768916191
2011-06-16,1940,1940,1834,1928,37392,-0.00772002058672161
2011-06-17,1968,1968,1839,1840,31106,-0.0456431535269709
2011-06-20,1855,2094,1847,1994,210043,0.08369565217391295
2011-06-21,2069,2195,2036,2140,212889,0.07321965897693072
2011-06-22,2145,2175,2094,2150,141637,0.004672897196261738
2011-06-23,2150,2160,2044,2160,74690,0.0046511627906977715
2011-06-24,2165,2483,2165,2484,356459,0.1499999999999999
2011-06-27,2501,2584,2385,2491,219417,0.0028180354267310914
2011-06-28,2523,2650,2433,2504,211254,0.005218787635487665
2011-06-29,2549,2645,2453,2524,182486,0.007987220447284393
2011-06-30,2528,2574,2453,2501,68145,-0.009112519809825637
2011-07-01,2453,2501,2127,2423,293849,-0.03118752499000399
2011-07-04,2417,2443,2175,2408,92994,-0.006190672719768919
2011-07-05,2407,2496,2299,2443,161569,0.014534883720930258
2011-07-06,2392,2430,2268,2269,53233,-0.07122390503479326
2011-07-07,2271,2354,2213,2287,64675,0.007933010136623952
2011-07-08,2286,2286,2145,2261,93237,-0.0113686051595977
2011-07-11,2261,2263,1923,1923,566554,-0.1494913754975674
2011-07-12,1817,1968,1766,1794,2767238,-0.06708268330733225
