Date,Open,High,Low,Close,Volume,Change
2011-01-03,0,0,0,31500,0,0.0
2011-01-04,0,0,0,31500,0,0.0
2011-01-05,0,0,0,31500,0,0.0
2011-01-06,0,0,0,31500,0,0.0
2011-01-07,0,0,0,31500,0,0.0
2011-01-10,0,0,0,31500,0,0.0
2011-01-11,0,0,0,31500,0,0.0
2011-01-12,0,0,0,31500,0,0.0
2011-01-13,0,0,0,31500,0,0.0
2011-01-14,0,0,0,31500,0,0.0
2011-01-17,0,0,0,31500,0,0.0
2011-01-18,0,0,0,31500,0,0.0
2011-01-19,0,0,0,31500,0,0.0
2011-01-20,0,0,0,31500,0,0.0
2011-01-21,0,0,0,31500,0,0.0
2011-01-24,0,0,0,31500,0,0.0
2011-01-25,31500,31600,27700,28500,97892,-0.09523809523809523
2011-01-26,28200,32750,28200,31850,165081,0.11754385964912273
2011-01-27,31000,32750,28400,28600,72403,-0.10204081632653061
2011-01-28,29150,32250,25700,25900,125689,-0.09440559440559437
2011-01-31,25350,26800,24750,25450,46461,-0.01737451737451734
2011-02-01,25250,25700,23850,24000,37252,-0.056974459724950854
2011-02-07,24500,24500,23500,23900,14317,-0.004166666666666652
2011-02-08,24150,24150,23450,23850,16901,-0.0020920502092049986
2011-02-09,24050,24350,23500,23950,7454,0.004192872117400492
2011-02-10,23700,24250,23350,23400,7298,-0.022964509394572064
2011-02-11,23250,23500,22500,22600,14155,-0.03418803418803418
2011-02-14,22450,22900,22450,22900,9480,0.01327433628318575
2011-02-15,23300,23400,22900,23150,8060,0.01091703056768556
2011-02-16,23150,23300,22900,23150,4220,0.0
2011-02-17,23150,23300,22800,22850,5266,-0.01295896328293733
2011-02-18,23000,23300,22800,23250,5163,0.017505470459518557
2011-02-21,23450,23450,23000,23000,3900,-0.010752688172043001
2011-02-22,23000,23350,22900,23200,4470,0.008695652173912993
2011-02-23,23200,23300,23200,23250,1611,0.0021551724137931494
2011-02-24,23500,23950,23250,23950,2094,0.03010752688172036
2011-02-25,23100,23950,23100,23850,1000,-0.0041753653444676075
2011-02-28,23250,23550,23250,23250,615,-0.02515723270440251
2011-03-02,23050,23200,22600,22600,1986,-0.027956989247311825
2011-03-03,22600,23450,22600,23250,3310,0.028761061946902755
2011-03-04,23300,23900,22750,22800,6209,-0.01935483870967747
2011-03-07,22650,22900,22400,22600,2529,-0.00877192982456143
2011-03-08,21900,22650,21900,22650,1400,0.0022123893805310324
2011-03-09,22650,23000,22500,22700,1650,0.002207505518763808
