Date,Open,High,Low,Close,Volume,Change
2011-01-03,28950,29100,28650,28900,44100,-0.0068728522336769515
2011-01-04,29100,29850,28900,29450,79312,0.01903114186851207
2011-01-05,29400,30600,29000,29350,92447,-0.00339558573853993
2011-01-06,29500,29800,29100,29750,53393,0.013628620102214661
2011-01-07,29950,29950,29150,29200,39594,-0.01848739495798324
2011-01-10,29050,29200,28950,29050,44752,-0.005136986301369828
2011-01-11,29200,29450,28750,29200,57507,0.005163511187607606
2011-01-12,29150,29150,28500,28800,66798,-0.013698630136986356
2011-01-13,29150,29200,28600,28600,49574,-0.00694444444444442
2011-01-14,28500,28550,28200,28250,55201,-0.012237762237762184
2011-01-17,28400,28400,27600,27800,56087,-0.015929203539822967
2011-01-18,27550,28750,27450,28100,43436,0.010791366906474753
2011-01-19,28500,28500,27950,28350,23856,0.008896797153024938
2011-01-20,28400,28400,27750,27850,37029,-0.01763668430335097
2011-01-21,27650,27950,26950,27200,37585,-0.02333931777378817
2011-01-24,27000,27200,26500,27100,41149,-0.003676470588235281
2011-01-25,27200,27400,26850,27000,38200,-0.0036900369003689537
2011-01-26,26850,27700,26850,27300,29061,0.011111111111111072
2011-01-27,27550,27850,27300,27450,14671,0.005494505494505475
2011-01-28,27450,27450,27000,27000,17343,-0.016393442622950838
2011-01-31,26750,26800,26250,26400,21790,-0.022222222222222254
2011-02-01,26200,26900,26200,26400,18600,0.0
2011-02-07,26700,28500,26700,27600,33134,0.045454545454545414
2011-02-08,27900,27900,27100,27700,23222,0.0036231884057971175
2011-02-09,27950,27950,26950,26950,19360,-0.027075812274368283
2011-02-10,27000,28550,26500,27350,33775,0.014842300556586308
2011-02-11,27400,27850,26750,26800,20905,-0.020109689213894
2011-02-14,26900,27050,26550,26850,16500,0.001865671641791078
2011-02-15,27000,27100,26250,26600,18631,-0.009310986964618295
2011-02-16,26600,27300,26400,26700,23615,0.003759398496240518
2011-02-17,26850,26850,26000,26100,22294,-0.022471910112359605
2011-02-18,27200,27200,26300,26500,18495,0.015325670498084198
2011-02-21,26600,26600,26250,26250,16760,-0.009433962264150941
2011-02-22,26100,26450,25500,26250,25340,0.0
2011-02-23,26200,26200,25150,25750,18792,-0.01904761904761909
2011-02-24,25900,25900,25200,25250,18300,-0.01941747572815533
2011-02-25,25400,26100,25150,26050,17625,0.03168316831683171
2011-02-28,25750,25850,25250,25550,14666,-0.019193857965451033
2011-03-02,25550,25550,25150,25200,11913,-0.013698630136986356
2011-03-03,25250,26100,25250,25950,21010,0.029761904761904656
2011-03-04,26450,26450,26000,26300,7530,0.01348747591522148
2011-03-07,26300,26400,26000,26250,14965,-0.0019011406844106071
2011-03-08,25900,27350,25900,27250,34822,0.03809523809523818
2011-03-09,27450,27800,27000,27500,35764,0.00917431192660545
2011-03-10,27100,27500,26900,27100,13026,-0.014545454545454528
2011-03-11,28500,29350,28100,28500,288874,0.05166051660516602
2011-03-14,30300,30300,28000,29150,187835,0.02280701754385972
2011-03-15,28850,28850,25900,27000,120024,-0.07375643224699824
2011-03-16,26800,27950,26800,27600,62110,0.022222222222222143
2011-03-17,26800,27550,26800,27500,46729,-0.0036231884057971175
2011-03-18,27650,28400,27600,27850,50003,0.012727272727272698
2011-03-21,27750,28250,27750,28100,59387,0.008976660682226134
2011-03-22,28700,28700,27400,28150,61486,0.001779359430605032
