Date,Open,High,Low,Close,Volume,Change
2015-02-11,11136,12717,10778,11499,6420716,
2015-02-12,11568,11711,9772,10097,1980104,-0.12192364553439428
2015-02-13,10058,10058,8693,8731,1249218,-0.13528770922056055
2015-02-16,8765,9843,8765,9127,1227390,0.04535562936662463
2015-02-17,9411,9627,9089,9271,630104,0.01577736386545414
2015-02-23,9160,9411,8836,9127,290180,-0.015532305037212812
2015-02-24,9089,9231,8945,9127,364458,0.0
2015-02-25,9196,9447,8979,8984,445511,-0.01566779883861069
2015-02-26,9124,9340,8730,8803,571123,-0.02014692787177208
2015-02-27,8910,8910,8406,8480,313630,-0.03669203680563449
2015-03-02,8406,8693,8333,8552,241309,0.008490566037735903
2015-03-03,8548,8910,8513,8840,303738,0.033676333021515514
2015-03-04,8801,8910,8657,8803,212294,-0.004185520361990935
2015-03-05,8730,8801,8298,8444,384654,-0.040781551743723776
2015-03-06,8477,8548,8225,8374,256845,-0.008289909995262912
2015-03-09,8333,8333,8047,8121,215400,-0.030212562694053036
2015-03-10,8119,8657,8009,8480,293125,0.04420637852481213
2015-03-11,8298,8836,8225,8768,462021,0.03396226415094339
2015-03-12,8693,8836,8513,8516,184018,-0.028740875912408814
2015-03-13,8657,8910,8477,8875,326178,0.04215594175669324
2015-03-16,8874,9089,8693,8947,194260,0.00811267605633792
2015-03-17,9016,9089,8657,8875,149508,-0.00804739018665479
2015-03-18,8801,8874,8406,8516,194128,-0.04045070422535213
2015-03-19,8513,8585,8262,8444,125953,-0.008454673555659986
2015-03-20,8442,8621,8406,8444,103801,0.0
2015-03-23,8548,8548,8189,8336,100896,-0.01279014684983415
2015-03-24,8333,8621,8119,8409,198945,0.008757197696737107
2015-03-25,8406,8765,8333,8480,158879,0.008443334522535428
2015-03-26,8369,8836,8333,8480,234605,0.0
2015-03-27,8513,8657,8406,8444,114673,-0.004245283018867951
2015-03-30,8477,8548,8225,8265,255173,-0.021198484130743767
2015-03-31,8262,8513,8225,8336,145868,0.00859044162129452
2015-04-01,8333,8442,8154,8336,108612,0.0
2015-04-02,8333,8693,8298,8695,272440,0.04306621880998085
2015-04-03,8765,8910,8585,8590,225138,-0.012075905692926936
2015-04-06,8657,8945,8548,8875,242246,0.03317811408614668
2015-04-07,8979,9160,8693,8875,294295,0.0
2015-04-08,8874,8874,8621,8731,124376,-0.01622535211267606
2015-04-09,8765,8836,8621,8731,96905,0.0
2015-04-10,8801,8836,8548,8731,113200,0.0
2015-04-13,8801,8836,8442,8552,197269,-0.02050166074905513
2015-04-14,8513,8621,8262,8625,187313,0.008536014967259087
2015-04-15,8513,8730,8513,8625,85524,0.0
2015-04-16,8657,8910,8621,8731,233594,0.012289855072463718
2015-04-17,8801,8801,8513,8552,123938,-0.02050166074905513
2015-04-20,8406,8548,8406,8480,77980,-0.008419083255378879
2015-04-21,8548,8585,8369,8444,70072,-0.004245283018867951
2015-04-22,8442,8801,8333,8480,230411,0.00426338228327805
2015-04-23,8730,9736,8657,9738,1437224,0.1483490566037735
2015-04-24,9519,9736,9089,9199,745488,-0.05535017457383451
2015-04-27,9340,9627,9196,9486,476798,0.031199043374279922
