Date,Open,High,Low,Close,Volume,Change
2015-08-13,12364,14193,12364,14194,26600,
2015-08-17,16315,16315,16315,16316,7500,0.14949978864308866
2015-08-18,18730,18730,18730,18730,10000,0.1479529296396176
2015-08-19,21511,21511,18950,19682,7335,0.05082754938601175
2015-08-20,19682,20413,19682,19682,1332,0.0
2015-08-21,18291,19389,18291,19389,1506,-0.014886698506249352
2015-08-24,19389,19389,19389,19389,0,0.0
2015-08-25,19754,19754,17559,19389,522,0.0
2015-08-26,19754,19754,18291,19389,778,0.0
2015-08-27,18292,18292,18292,18292,44,-0.0565784723296715
2015-08-28,16828,18292,16828,18292,1601,0.0
2015-08-31,17926,17926,17926,17926,0,-0.020008746993221083
2015-09-01,16462,17926,16462,17853,1003,-0.004072297221912269
2015-09-02,16974,17486,16096,17413,1275,-0.02464571780653113
2015-09-03,19315,19315,16828,16828,1278,-0.03359558950209618
2015-09-04,16828,18950,16828,18950,201,0.12609935821250295
2015-09-07,21767,21767,19755,19755,852,0.04248021108179412
2015-09-08,18218,18292,17779,18292,999,-0.07405720070868138
2015-09-09,20487,20487,17633,19024,4,0.040017493986442165
2015-09-10,21840,21840,18292,18292,401,-0.03847771236333053
2015-09-11,20961,21035,20961,21035,195,0.1499562650338946
2015-09-14,19389,21035,19389,20999,1029,-0.0017114333254100167
2015-09-15,18840,20999,18291,18804,1300,-0.10452878708509927
2015-09-16,20486,20486,18657,18804,1350,0.0
2015-09-17,16828,19754,16828,17194,1403,-0.08562008083386519
2015-09-18,18291,18291,17560,17560,2599,0.021286495289054352
2015-09-21,18292,18658,18218,18658,1294,0.06252847380410032
2015-09-22,18292,19023,18292,18292,2525,-0.019616250401972346
2015-09-23,18292,18987,18218,18292,2674,0.0
2015-09-24,18292,19023,17926,18292,530,0.0
2015-09-25,18291,19389,18255,18255,328,-0.0020227421823748593
2015-09-30,19352,19352,17925,18255,820,0.0
2015-10-01,18291,18291,17926,17926,68,-0.01802245960010951
2015-10-02,17925,17925,15365,15365,2396,-0.14286511212763586
2015-10-05,15073,17634,15073,17634,16,0.14767328343638142
2015-10-06,17926,17926,16170,16170,731,-0.0830214358625383
2015-10-07,17926,17926,16170,16170,940,0.0
2015-10-08,18584,18584,16828,18292,12,0.13123067408781686
2015-10-12,17194,18219,16828,18219,1201,-0.0039908156571178965
2015-10-13,18182,18182,16097,16097,2932,-0.11647181513804272
2015-10-14,17559,17559,16096,17523,1083,0.0885879356401813
2015-10-15,17523,17523,15730,17523,32,0.0
2015-10-16,16096,16828,16023,16170,2654,-0.07721280602636538
2015-10-19,18584,18584,15365,15365,2974,-0.04978354978354982
2015-10-20,17560,17560,15365,16097,1682,0.047640741945981224
2015-10-21,17559,17559,15364,16023,1567,-0.0045971298999814
2015-10-22,18292,18292,18292,18292,1,0.14160893715284284
2015-10-23,16096,17560,15548,15548,862,-0.1500109337415263
2015-10-26,17560,17560,16097,16097,31,0.035310007718034386
2015-10-27,16060,16060,15365,15365,259,-0.045474311983599414
2015-10-28,16791,16791,15365,15365,12,0.0
2015-10-29,17450,17450,14633,15365,1346,0.0
2015-10-30,17084,17084,13901,16828,502,0.09521640091116179
2015-11-02,14304,19023,14304,17560,323,0.04349893035417152
2015-11-03,17194,17194,17194,17194,1,-0.02084282460136677
2015-11-04,17193,17559,14633,14633,544,-0.14894730720018612
2015-11-05,15365,16060,15365,15731,20,0.07503587781042853
2015-11-06,18071,18071,13388,14596,3761,-0.0721505307990592
2015-11-09,14633,14633,14633,14633,4,0.0025349410797479432
2015-11-10,14596,14596,14522,14523,174,-0.00751725551834892
2015-11-11,16462,16462,15731,15731,6,0.08317840666528964
