Date,Open,High,Low,Close,Volume,Change
2011-01-03,4325,4325,4215,4250,77241,0.008303677342823335
2011-01-04,4250,4290,4200,4250,114168,0.0
2011-01-05,4250,4490,4190,4410,374499,0.03764705882352937
2011-01-06,4535,4535,4250,4260,214755,-0.03401360544217691
2011-01-07,4260,4275,4180,4225,102160,-0.008215962441314506
2011-01-10,4230,4340,4230,4340,132187,0.02721893491124261
2011-01-11,4300,4340,4250,4275,135940,-0.01497695852534564
2011-01-12,4290,4600,4260,4320,526708,0.010526315789473717
2011-01-13,4390,4400,4300,4330,165469,0.0023148148148148806
2011-01-14,4350,4680,4275,4595,868777,0.06120092378752884
2011-01-17,4665,4710,4490,4530,358453,-0.014145810663764968
2011-01-18,4450,4565,4415,4415,173525,-0.025386313465783683
2011-01-19,4445,4490,4330,4350,212861,-0.014722536806342057
2011-01-20,4330,4395,4260,4285,232755,-0.014942528735632177
2011-01-21,4265,4295,4160,4170,203576,-0.02683780630105015
2011-01-24,4210,4225,4155,4185,78140,0.003597122302158251
2011-01-25,4200,4265,4165,4170,164876,-0.0035842293906810374
2011-01-26,4170,4215,4080,4080,133894,-0.021582733812949617
2011-01-27,4085,4150,4025,4095,151600,0.003676470588235281
2011-01-28,4110,4175,4045,4065,106313,-0.0073260073260073
2011-01-31,4025,4040,3950,3950,118635,-0.028290282902828978
2011-02-01,3950,4000,3930,3985,86998,0.008860759493670933
2011-02-07,4000,4120,3985,4025,227191,0.010037641154328814
2011-02-08,4045,4110,3980,4080,319973,0.013664596273291973
2011-02-09,4090,4195,4040,4050,97212,-0.007352941176470562
2011-02-10,4070,4070,3920,3980,67603,-0.01728395061728394
2011-02-11,4030,4030,3815,3815,172018,-0.041457286432160845
2011-02-14,3850,3890,3770,3825,124198,0.002621231979030192
2011-02-15,3825,3870,3740,3830,90229,0.0013071895424836555
2011-02-16,3835,3905,3785,3835,114592,0.0013054830287206887
2011-02-17,3885,3905,3700,3820,125818,-0.003911342894393766
2011-02-18,3820,4360,3810,4010,1160651,0.04973821989528804
2011-02-21,4010,4105,3945,4020,210125,0.0024937655860348684
2011-02-22,4070,4200,4005,4050,269913,0.00746268656716409
2011-02-23,4050,4100,3950,3950,109386,-0.024691358024691357
2011-02-24,3910,4030,3805,3860,80711,-0.02278481012658229
2011-02-25,3920,3980,3800,3955,90884,0.024611398963730657
2011-02-28,3960,4035,3835,3860,122175,-0.024020227560050622
2011-03-02,3785,4050,3785,3870,75456,0.002590673575129543
2011-03-03,3895,4050,3855,3970,217941,0.025839793281653645
2011-03-04,3975,4090,3975,4050,161136,0.02015113350125941
2011-03-07,4110,4110,4015,4040,109960,-0.0024691358024691024
2011-03-08,4150,4170,3960,3960,294629,-0.01980198019801982
2011-03-09,4050,4050,3870,3900,112099,-0.015151515151515138
2011-03-10,3930,3940,3840,3860,67124,-0.01025641025641022
2011-03-11,3800,3850,3660,3800,151688,-0.015544041450777257
2011-03-14,3720,3820,3580,3660,126652,-0.0368421052631579
2011-03-15,3590,3650,3205,3350,293250,-0.08469945355191255
2011-03-16,3300,3470,3300,3415,105324,0.0194029850746269
2011-03-17,3280,3450,3250,3370,101720,-0.013177159590043952
2011-03-18,3385,3500,3385,3500,64656,0.03857566765578646
2011-03-21,3450,3580,3450,3560,83826,0.017142857142857126
2011-03-22,3595,3595,3525,3560,47743,0.0
2011-03-23,3560,3585,3480,3525,82343,-0.0098314606741573
2011-03-24,3570,3580,3510,3555,69046,0.008510638297872353
2011-03-25,3580,3690,3555,3575,60544,0.005625879043600568
2011-03-28,3950,4110,3880,4055,1461275,0.1342657342657343
2011-03-29,4030,4030,3790,3790,440751,-0.06535141800246613
2011-03-30,3790,3850,3735,3750,160367,-0.01055408970976257
2011-03-31,3770,3795,3740,3745,57478,-0.0013333333333332975
2011-04-01,3810,3950,3760,3835,180708,0.024032042723631575
2011-04-04,3860,3940,3850,3885,132357,0.01303780964797907
2011-04-05,3870,3950,3830,3860,150568,-0.006435006435006385
2011-04-06,3860,3930,3845,3910,96074,0.012953367875647714
2011-04-07,4220,4235,3895,3900,494701,-0.002557544757033292
2011-04-08,3935,3935,3850,3905,85140,0.0012820512820512775
2011-04-11,3910,3915,3320,3710,177115,-0.049935979513444306
2011-04-12,3725,3815,3725,3780,69099,0.018867924528301883
2011-04-13,3800,3830,3620,3805,86778,0.006613756613756516
2011-04-14,3810,3830,3760,3775,81628,-0.007884362680683266
2011-04-15,3795,3880,3745,3850,102325,0.019867549668874274
2011-04-18,3810,3850,3740,3765,88559,-0.02207792207792203
2011-04-19,3725,3800,3700,3700,93203,-0.01726427622841964
2011-04-20,3735,3820,3700,3720,121738,0.00540540540540535
2011-04-21,3765,3845,3710,3710,147082,-0.0026881720430107503
2011-04-22,3715,3775,3620,3625,83556,-0.022911051212938016
2011-04-25,3650,3695,3590,3600,73810,-0.006896551724137945
2011-04-26,3645,3750,3525,3560,111308,-0.011111111111111072
2011-04-27,3590,3660,3545,3565,38789,0.001404494382022392
2011-04-28,3575,3665,3575,3635,80598,0.019635343618513268
2011-04-29,3655,3655,3550,3645,64914,0.0027510316368637433
2011-05-02,3680,3720,3610,3610,93496,-0.009602194787380003
2011-05-03,3595,3635,3545,3580,48851,-0.008310249307479256
2011-05-04,3580,3695,3520,3520,74845,-0.016759776536312887
2011-05-06,3510,3660,3375,3600,84004,0.022727272727272707
2011-05-09,3605,3615,3495,3495,89698,-0.029166666666666674
2011-05-11,3520,3535,3390,3390,53574,-0.030042918454935674
2011-05-12,3270,3420,3270,3300,58339,-0.026548672566371723
2011-05-13,3310,3355,3290,3335,60877,0.010606060606060508
2011-05-16,3300,3380,3300,3360,37588,0.007496251874062887
2011-05-17,3340,3395,3315,3325,35654,-0.01041666666666663
2011-05-18,3315,3365,3315,3320,45952,-0.0015037593984962294
2011-05-19,3345,3350,3195,3200,43506,-0.03614457831325302
2011-05-20,3115,3200,3010,3060,81548,-0.043749999999999956
2011-05-23,3020,3125,2990,2990,59500,-0.022875816993464082
2011-05-24,2900,3035,2900,2945,79163,-0.015050167224080258
2011-05-25,2930,3005,2910,2950,60527,0.001697792869269854
2011-05-26,2980,3160,2980,3150,75620,0.06779661016949157
2011-05-27,3160,3215,3125,3170,46672,0.006349206349206327
2011-05-30,3155,3190,3035,3050,59228,-0.03785488958990535
2011-05-31,3015,3110,3015,3100,42339,0.016393442622950838
2011-06-01,3120,3130,3075,3095,29260,-0.001612903225806428
2011-06-02,3085,3115,3030,3065,29174,-0.009693053311793265
2011-06-03,3090,3095,3020,3020,33500,-0.014681892332789603
2011-06-07,3020,3055,2905,2905,33049,-0.038079470198675525
2011-06-08,2905,2930,2800,2800,62531,-0.03614457831325302
2011-06-09,2740,2870,2740,2790,93210,-0.0035714285714285587
2011-06-10,2800,2870,2795,2850,69349,0.021505376344086002
2011-06-13,2850,2895,2745,2830,55551,-0.007017543859649145
2011-06-14,2785,3000,2785,2920,143909,0.03180212014134276
