Date,Open,High,Low,Close,Volume,Change
2011-05-02,5895,6533,5762,6295,8537964,
2011-05-03,6338,6551,6250,6392,1761345,0.015409054805401112
2011-05-04,6551,7260,6383,6383,4774496,-0.0014080100125156703
2011-05-06,6427,6906,6276,6702,2916373,0.049976500078332986
2011-05-09,6764,6941,6542,6561,1791189,-0.021038495971351878
2011-05-11,6516,6693,6392,6525,893347,-0.005486968449931462
2011-05-12,6498,6578,6259,6534,921253,0.0013793103448276334
2011-05-13,6560,6737,6427,6428,541655,-0.016222834404652553
2011-05-16,6383,6551,6232,6277,546070,-0.023490976975731215
2011-05-17,6303,6303,5868,6117,1227367,-0.02548988370240557
2011-05-18,5993,6117,5860,5860,882943,-0.042014059179336316
2011-05-19,5833,6117,5833,6029,787607,0.028839590443686003
2011-05-20,6028,6321,6028,6206,849373,0.02935810250456128
2011-05-23,6152,6232,6072,6117,332953,-0.014340960360941013
2011-05-24,6072,6197,5939,6188,403850,0.011606996893902322
2011-05-25,6214,6321,6090,6312,550348,0.020038784744667026
2011-05-26,6294,6578,6294,6525,633315,0.03374524714828908
2011-05-27,6560,6578,6409,6534,301519,0.0013793103448276334
2011-05-30,6551,6693,6445,6605,341233,0.010866238138965478
2011-05-31,6631,6720,6569,6693,330945,0.013323239969719847
2011-06-01,6711,6737,6418,6552,327820,-0.021066786194531617
2011-06-02,6427,6471,6285,6428,371241,-0.01892551892551897
2011-06-03,6462,6480,6347,6454,253407,0.004044803982576228
2011-06-07,6471,6640,6418,6587,350895,0.020607375271149753
2011-06-08,6649,6649,6462,6498,234611,-0.013511461970548089
2011-06-09,6400,6507,6383,6472,211916,-0.004001231148045514
2011-06-10,6436,6516,6267,6463,329151,-0.0013906056860321092
2011-06-13,6365,6675,6365,6676,443889,0.03295683119294446
2011-06-14,6746,7012,6702,6915,940946,0.03579988016776503
2011-06-15,6897,6906,6755,6826,679028,-0.012870571221981209
2011-06-16,6799,6932,6595,6738,512483,-0.012891883973044194
2011-06-17,6711,6773,6161,6365,1343277,-0.05535767289997029
2011-06-20,6365,6374,6010,6135,999542,-0.03613511390416335
2011-06-21,6179,6259,6019,6259,718644,0.020211898940505346
2011-06-22,6259,6338,6090,6099,1017260,-0.025563189007828724
2011-06-23,6099,6259,6055,6259,591210,0.026233808821118254
2011-06-24,6285,6560,6241,6543,757478,0.045374660488896046
2011-06-27,6471,6640,6409,6552,432340,0.0013755158184318717
2011-06-28,6542,6569,6383,6472,401271,-0.012210012210012167
2011-06-29,6480,6516,6365,6436,307049,-0.005562422744128548
2011-06-30,6471,6471,6303,6410,390291,-0.00403977625854568
2011-07-01,6436,6445,6347,6419,372793,0.001404056162246592
2011-07-04,6436,6436,6294,6348,535858,-0.011060912914784282
2011-07-05,6347,6365,6232,6330,479881,-0.002835538752362976
2011-07-06,6321,6321,6197,6197,467509,-0.021011058451816722
2011-07-07,6197,6276,6126,6126,509791,-0.011457156688720382
2011-07-08,6152,6259,6126,6250,483092,0.02024159320927188
2011-07-11,6312,6347,6232,6312,745972,0.009919999999999929
2011-07-12,6241,6312,6188,6259,558542,-0.008396704689480394
2011-07-13,6294,6312,5939,6011,999422,-0.03962294296213453
2011-07-14,6072,6072,5771,5789,913666,-0.03693229080019966
2011-07-15,5780,5877,5558,5709,808017,-0.01381931248920365
2011-07-18,5753,5993,5656,5975,743134,0.04659309861621996
2011-07-19,5957,6232,5957,6170,1222531,0.03263598326359829
2011-07-20,6250,6294,6010,6064,683299,-0.017179902755267373
2011-07-21,6055,6064,5842,6064,602372,0.0
2011-07-22,6028,6072,5851,5887,787209,-0.029188654353561994
2011-07-25,5851,5913,5753,5763,473540,-0.0210633599456429
2011-07-26,5824,5868,5771,5851,418304,0.015269824744057026
2011-07-27,5913,6108,5860,5975,1300085,0.02119295846863789
2011-07-28,5939,6161,5851,6055,840858,0.013389121338912124
2011-07-29,6250,6861,6197,6525,4217090,0.07762180016515274
2011-08-01,6622,6622,6427,6561,1211701,0.0055172413793103114
2011-08-02,6507,6507,6214,6277,867483,-0.043286084438347805
2011-08-03,6090,6223,5966,6162,740488,-0.01832085391110405
2011-08-04,6294,6409,6001,6020,816331,-0.023044466082440818
2011-08-05,5505,6010,5505,5975,728141,-0.007475083056478371
2011-08-08,5975,6072,5212,5559,800322,-0.06962343096234314
2011-08-09,5124,5487,4734,5177,1079952,-0.06871739521496667
2011-08-10,5523,5532,5248,5284,587079,0.020668340737879154
2011-08-11,4920,5372,4920,5346,516044,0.011733535200605605
2011-08-12,5487,5532,5159,5186,631444,-0.02992891881780768
2011-08-16,5310,5407,5239,5293,794419,0.020632472040107874
2011-08-17,5248,5354,5186,5319,532023,0.00491214812015861
2011-08-18,5319,5691,5221,5656,1054102,0.06335777401767251
2011-08-19,5372,5877,5319,5674,1196083,0.0031824611032531536
2011-08-22,5851,5975,5638,5718,723276,0.007754670426506793
2011-08-23,5762,5798,5647,5709,286603,-0.0015739769150052707
2011-08-24,5780,5904,5665,5674,378485,-0.006130670870555299
2011-08-25,5780,5895,5727,5842,363996,0.029608741628480706
2011-08-26,5842,5931,5780,5780,291582,-0.010612803834303297
2011-08-29,5842,5842,5665,5763,310007,-0.002941176470588225
2011-08-30,5771,5771,5532,5576,467137,-0.03244837758112096
2011-08-31,5620,5868,5416,5763,568487,0.03353658536585358
2011-09-01,5833,5913,5700,5718,412539,-0.007808433107756363
2011-09-02,5718,5744,5549,5647,183332,-0.012416928996152543
2011-09-05,5603,5603,5337,5346,172035,-0.05330263856915174
2011-09-06,5319,5496,5283,5364,205397,0.0033670033670034627
2011-09-07,5416,5505,5416,5452,130755,0.01640566741237892
2011-09-08,5487,5540,5363,5364,162239,-0.01614086573734408
2011-09-09,5372,5452,5319,5364,143878,0.0
2011-09-14,5461,5461,5186,5186,147515,-0.03318419090231173
2011-09-15,5363,5399,5097,5177,131872,-0.0017354415734670559
2011-09-16,5230,5337,5195,5337,125010,0.030905930075333155
2011-09-19,5337,5505,5283,5355,229679,0.003372681281618828
2011-09-20,5381,5425,5257,5266,130956,-0.01661998132586373
2011-09-21,5266,5452,5177,5452,339526,0.0353209266995822
2011-09-22,5354,5399,5204,5222,154603,-0.04218635363169476
2011-09-23,4911,5053,4743,4743,303575,-0.09172730754500191
2011-09-26,4849,4849,4033,4069,506248,-0.14210415348935268
2011-09-27,4220,4237,4131,4140,533310,0.017449004669451984
2011-09-28,4104,4211,4020,4021,409567,-0.028743961352657
2011-09-29,3900,4197,3900,4198,346998,0.04401890077095261
2011-09-30,4171,4494,4166,4433,391127,0.055979037636969986
2011-10-04,4299,4299,3971,4300,436843,-0.030002255808707412
2011-10-05,4317,4388,4109,4167,212203,-0.030930232558139537
