Date,Open,High,Low,Close,Volume,Change
2011-01-03,19950,20000,19700,19750,26682,-0.010025062656641603
2011-01-04,20000,20850,19900,20800,69655,0.05316455696202538
2011-01-05,20700,21200,20600,20900,40665,0.004807692307692291
2011-01-06,20750,21000,20550,20550,26671,-0.01674641148325362
2011-01-07,20600,21150,20400,20900,38080,0.017031630170316392
2011-01-10,21000,21300,20600,20900,47675,0.0
2011-01-11,20800,20900,20600,20650,25492,-0.011961722488038284
2011-01-12,20600,20800,20550,20600,24215,-0.002421307506053294
2011-01-13,20700,20700,20000,20200,32660,-0.01941747572815533
2011-01-14,20150,20200,19650,19800,64660,-0.01980198019801982
2011-01-17,19950,19950,19650,19700,20724,-0.005050505050505083
2011-01-18,19700,20050,19500,19950,30907,0.012690355329949332
2011-01-19,19900,20150,19550,19950,20017,0.0
2011-01-20,19950,19950,19700,19800,7422,-0.007518796992481258
2011-01-21,20000,20000,19400,19550,17641,-0.012626262626262652
2011-01-24,19500,19600,19250,19500,8771,-0.002557544757033292
2011-01-25,19650,19800,19300,19600,21807,0.00512820512820511
2011-01-26,19450,19600,19300,19350,12382,-0.012755102040816313
2011-01-27,19300,19900,19300,19400,17297,0.0025839793281654533
2011-01-28,19500,19650,19300,19650,16352,0.012886597938144284
2011-01-31,19350,19650,19000,19450,13418,-0.010178117048346036
2011-02-01,19450,19650,19250,19350,7685,-0.005141388174807249
2011-02-07,19500,19800,19150,19400,13224,0.0025839793281654533
2011-02-08,19600,19800,19250,19500,9706,0.005154639175257714
2011-02-09,19500,19500,19000,19400,16866,-0.00512820512820511
2011-02-10,19400,19400,18800,18800,13880,-0.030927835051546393
2011-02-11,19100,19100,18450,19100,20952,0.015957446808510634
2011-02-14,19100,19500,18700,19100,12451,0.0
2011-02-15,19150,19300,19000,19200,16311,0.005235602094240788
2011-02-16,19200,19500,18800,19400,16069,0.01041666666666674
2011-02-17,19350,19550,18850,19300,12956,-0.005154639175257714
2011-02-18,19150,19300,19050,19150,9780,-0.007772020725388629
2011-02-21,19150,19350,18900,18900,8539,-0.01305483028720622
2011-02-22,18800,18800,18350,18500,13612,-0.021164021164021163
2011-02-23,18150,19000,18150,18800,7456,0.016216216216216273
2011-02-24,18700,18850,18450,18700,7620,-0.005319148936170248
2011-02-25,18500,18950,18500,18900,3130,0.010695187165775444
2011-02-28,18850,19000,18550,19000,2480,0.005291005291005346
2011-03-02,18700,18900,18600,18650,5130,-0.018421052631578894
2011-03-03,18650,18950,18650,18750,6546,0.00536193029490617
2011-03-04,18800,19000,18800,18950,12190,0.010666666666666602
2011-03-07,18950,19000,18800,19000,11720,0.0026385224274405594
2011-03-08,18850,19150,18850,18950,5183,-0.0026315789473684292
2011-03-09,18800,18950,18500,18700,27428,-0.01319261213720313
2011-03-10,18650,18800,18550,18700,15060,0.0
2011-03-11,18500,18750,18300,18600,15772,-0.005347593582887722
2011-03-14,18300,18600,18150,18500,8840,-0.005376344086021501
2011-03-15,18400,18400,17500,18000,26303,-0.027027027027026973
2011-03-16,18000,18250,17800,18000,8808,0.0
2011-03-17,17650,18300,17500,18300,14710,0.016666666666666607
2011-03-18,18300,18300,18000,18200,2420,-0.005464480874316946
2011-03-21,18200,18300,18100,18200,8390,0.0
2011-03-22,18200,18600,18100,18300,10700,0.005494505494505475
2011-03-23,18300,18550,18200,18550,255763,0.013661202185792254
2011-03-24,18550,19150,18550,18600,41180,0.0026954177897573484
2011-03-25,18850,18850,18500,18700,15315,0.005376344086021501
2011-03-28,18700,18750,18550,18700,19152,0.0
2011-03-29,18700,18700,18500,18600,16270,-0.005347593582887722
2011-03-30,18600,18800,18600,18650,21910,0.0026881720430107503
2011-03-31,18650,18850,18600,18650,25081,0.0
2011-04-01,18850,18900,18550,18900,25390,0.013404825737265424
2011-04-04,19000,19200,18800,19100,51326,0.010582010582010692
2011-04-05,19200,19400,19000,19400,72504,0.015706806282722585
2011-04-06,19450,19450,19050,19300,40544,-0.005154639175257714
2011-04-07,19300,19300,18900,19050,28799,-0.012953367875647714
2011-04-08,18950,20200,18900,19850,108815,0.04199475065616798
2011-04-11,19850,19950,19500,19550,28050,-0.015113350125944613
2011-04-12,19550,19550,19000,19200,17320,-0.01790281329923271
2011-04-13,19300,19500,19000,19400,18003,0.01041666666666674
2011-04-14,19350,21050,19300,20800,134120,0.07216494845360821
2011-04-15,20650,20950,20650,20800,21351,0.0
2011-04-18,20800,21750,20500,21200,94621,0.019230769230769162
2011-04-19,21350,21400,20500,20800,43750,-0.018867924528301883
2011-04-20,20900,21000,20450,20900,25544,0.004807692307692291
2011-04-21,21300,22400,21200,21900,122270,0.04784688995215314
2011-04-22,21700,21900,21000,21500,36963,-0.0182648401826484
2011-04-25,21350,23000,21350,22900,76889,0.06511627906976747
2011-04-26,23200,23750,22250,23700,120333,0.03493449781659397
2011-04-27,23900,24500,22700,22700,78169,-0.04219409282700426
2011-04-28,23000,23500,22750,23350,47256,0.028634361233480066
2011-04-29,23800,23900,22200,22800,26442,-0.023554603854389677
2011-05-02,22600,22850,22100,22500,22392,-0.013157894736842146
2011-05-03,22500,22900,21450,21600,34827,-0.040000000000000036
2011-05-04,21650,22250,21200,21950,37762,0.01620370370370372
2011-05-06,21550,22400,21350,22400,26780,0.0205011389521641
2011-05-09,22600,23200,21750,21750,26962,-0.029017857142857095
2011-05-11,21700,21900,20900,21550,51940,-0.00919540229885063
2011-05-12,21200,21550,20750,20750,38368,-0.037122969837587005
2011-05-13,21400,21400,20350,20400,69451,-0.016867469879518038
2011-05-16,20350,20400,20100,20200,34710,-0.009803921568627416
2011-05-17,20200,20650,19650,19800,42091,-0.01980198019801982
