Date,Open,High,Low,Close,Volume,Change
2011-01-03,3905,4054,3849,3975,225440,0.04275970619097591
2011-01-04,4022,4026,3793,3877,213048,-0.024654088050314438
2011-01-05,3877,3956,3774,3924,113825,0.012122775341758985
2011-01-06,3956,3956,3774,3868,141613,-0.014271151885830835
2011-01-07,3909,3970,3811,3812,110354,-0.014477766287487093
2011-01-10,3839,3970,3779,3924,154207,0.029380902413431276
2011-01-11,3989,4017,3886,3919,85070,-0.0012742099898063186
2011-01-12,3970,3970,3783,3821,82892,-0.025006379178361793
2011-01-13,3919,3923,3811,3859,85312,0.009945040565296992
2011-01-14,3718,3877,3671,3756,80871,-0.02669085255247472
2011-01-17,3821,3821,3466,3644,125057,-0.029818956336528202
2011-01-18,3690,3690,3559,3560,121324,-0.023051591657519244
2011-01-19,3578,3606,3349,3438,150202,-0.034269662921348365
2011-01-20,3316,3456,3190,3373,300425,-0.018906340895869733
2011-01-21,3447,3737,3382,3550,125591,0.05247554106136976
2011-01-24,3554,3732,3550,3690,134522,0.03943661971830981
2011-01-25,3643,3727,3545,3550,120688,-0.03794037940379402
2011-01-26,3615,3629,3368,3550,127422,0.0
2011-01-27,3550,3620,3391,3466,82781,-0.02366197183098595
2011-01-28,3466,3466,3269,3373,99791,-0.026832083092902526
2011-01-31,3368,3368,3223,3335,95217,-0.011265935369107583
2011-02-01,3255,3704,3185,3700,180389,0.10944527736131926
2011-02-07,3699,3980,3699,3779,238626,0.021351351351351244
2011-02-08,3779,3867,3667,3765,106797,-0.003704683778777418
2011-02-09,3704,3895,3699,3840,89825,0.019920318725099584
2011-02-10,3895,3895,3737,3774,58418,-0.017187500000000022
2011-02-11,3737,3769,3587,3709,143170,-0.017223105458399557
2011-02-14,3629,3732,3615,3690,54904,-0.0051226745753572
2011-02-15,3690,3723,3606,3606,85588,-0.02276422764227637
2011-02-16,3709,3709,3484,3546,67828,-0.016638935108153063
2011-02-17,3470,3643,3386,3644,115925,0.027636773829667227
2011-02-18,3587,3718,3550,3718,128370,0.020307354555433532
2011-02-21,3737,3783,3620,3644,85902,-0.019903173749327596
2011-02-22,3765,3765,3456,3564,88438,-0.021953896816684915
2011-02-23,3564,3601,3447,3522,79618,-0.011784511784511786
2011-02-24,3522,3550,3297,3298,142967,-0.06360022714366842
2011-02-25,3288,3438,3288,3433,79645,0.040933899332929125
2011-02-28,3410,3456,3237,3242,68541,-0.05563646956015145
2011-03-02,3255,3410,3036,3237,137167,-0.0015422578655150954
2011-03-03,3269,3400,3227,3251,112072,0.004324992276799611
2011-03-04,3269,3363,3185,3363,121334,0.03445093817286993
2011-03-07,3302,3414,3260,3326,141455,-0.011002081474873582
2011-03-08,3503,3550,3293,3490,143757,0.04930847865303667
