Date,Open,High,Low,Close,Volume,Change
2011-06-30,19300,22150,18950,22150,23654090,
2011-07-01,23150,25350,22200,22750,15244984,0.02708803611738153
2011-07-04,23350,24250,22450,22850,5131172,0.00439560439560438
2011-07-05,23600,24850,22600,24550,5973505,0.07439824945295404
2011-07-06,25000,25900,24850,25650,4728395,0.044806517311609007
2011-07-07,25400,27750,24650,25400,4893278,-0.00974658869395717
2011-07-08,25800,26500,25500,26100,2572377,0.027559055118110187
2011-07-11,26750,29500,26150,28500,6074895,0.09195402298850586
2011-07-12,28400,29650,28100,29300,4617603,0.02807017543859658
2011-07-13,29300,29350,24950,25250,7288431,-0.1382252559726962
2011-07-14,25600,26400,24400,25600,3905594,0.013861386138613874
2011-07-15,25600,29100,24600,28600,6982000,0.1171875
2011-07-18,29250,30200,28100,29250,4983289,0.022727272727272707
2011-07-19,29550,31300,28800,29300,5327339,0.0017094017094017033
2011-07-20,29900,30150,27750,27750,4254431,-0.05290102389078499
2011-07-21,28150,28700,25650,27050,3957895,-0.02522522522522519
2011-07-22,27300,27900,26400,27600,2319166,0.020332717190388205
2011-07-25,27300,27400,25550,25600,2839070,-0.07246376811594202
2011-07-26,25650,26550,25500,26000,1746541,0.015625
2011-07-27,26350,28200,26100,28000,3384132,0.07692307692307687
2011-07-28,27500,28100,26800,27200,2402390,-0.02857142857142858
2011-07-29,27600,28500,27250,27700,2164490,0.018382352941176405
2011-08-01,28300,28900,27700,28650,2102948,0.03429602888086647
2011-08-02,28650,29100,27700,28200,1651961,-0.015706806282722474
2011-08-03,27400,28800,26900,28750,1671870,0.019503546099290725
2011-08-04,28900,29300,27700,27700,1832463,-0.03652173913043477
2011-08-05,25500,26800,24900,26100,2073472,-0.0577617328519856
2011-08-08,25700,26250,22200,23400,3528884,-0.10344827586206895
2011-08-09,22800,25150,21150,24800,4041577,0.05982905982905984
2011-08-10,26500,26600,25400,26100,2399571,0.05241935483870974
2011-08-11,24900,28250,24850,28200,2892310,0.08045977011494254
2011-08-12,28750,28950,27050,27050,2389125,-0.04078014184397161
2011-08-16,28100,28450,27650,27800,1387805,0.02772643253234741
2011-08-17,28000,30350,28000,30150,4486943,0.08453237410071934
2011-08-18,30500,31100,29650,30600,2983041,0.014925373134328401
2011-08-19,29500,30900,28900,29200,3093164,-0.04575163398692805
2011-08-22,30000,30200,28100,29000,2697705,-0.006849315068493178
2011-08-23,29500,29700,27400,28200,4226039,-0.02758620689655178
2011-08-24,28200,28500,27050,27300,2683695,-0.03191489361702127
2011-08-25,27600,28000,26000,26200,2252448,-0.04029304029304026
2011-08-26,26200,28000,26200,27850,1892535,0.06297709923664119
2011-08-29,28250,29300,27900,29000,2145430,0.04129263913824066
2011-08-30,29300,30000,28600,29400,2583021,0.01379310344827589
2011-08-31,29700,29800,29150,29500,1020934,0.00340136054421758
2011-09-01,29500,29800,28450,28700,1913867,-0.027118644067796627
2011-09-02,28700,32350,28400,31950,6018746,0.11324041811846697
2011-09-05,31500,32550,30900,31550,3011634,-0.012519561815336422
2011-09-06,31000,32950,30100,32650,2819508,0.034865293185419866
2011-09-07,33400,34150,32550,33000,3315812,0.010719754977029039
2011-09-08,33150,34800,32800,33400,2534814,0.0121212121212122
2011-09-09,33300,34000,32850,33450,1261862,0.0014970059880239361
2011-09-14,33450,33700,30950,30950,1642095,-0.07473841554559046
2011-09-15,32100,33800,31850,33800,2862595,0.09208400646203563
2011-09-16,34600,35550,34150,34350,2357707,0.016272189349112454
2011-09-19,33950,34800,33500,33500,1089415,-0.024745269286754024
2011-09-20,33300,34500,33300,34200,1372153,0.020895522388059806
2011-09-21,34100,35150,33700,34000,1434880,-0.005847953216374324
2011-09-22,33500,34300,33250,34000,1113215,0.0
2011-09-23,32250,33300,32000,32000,1454417,-0.05882352941176472
2011-09-26,32800,33000,29700,30150,2289503,-0.057812500000000044
2011-09-27,31500,33000,31100,32900,1407066,0.09121061359867322
2011-09-28,33100,33450,32100,32100,1279197,-0.024316109422492405
2011-09-29,32700,34250,32500,33600,1941176,0.04672897196261672
2011-09-30,33600,35700,33550,35450,2513389,0.055059523809523725
2011-10-04,34100,36500,34100,36500,2589556,0.02961918194640334
2011-10-05,37250,38350,35800,35850,3698331,-0.017808219178082174
2011-10-06,36300,36950,30550,31600,8540997,-0.11854951185495122
2011-10-07,31550,32650,30050,32300,4389859,0.02215189873417711
2011-10-10,32900,33100,32150,32250,1871522,-0.001547987616099089
2011-10-11,33000,34200,32400,33700,2913979,0.04496124031007742
2011-10-12,34000,34400,33250,33350,1719548,-0.010385756676557834
2011-10-13,33450,34200,32800,33500,2161487,0.004497751124437732
2011-10-14,33500,33900,32550,33750,1412481,0.00746268656716409
2011-10-17,34100,38300,34100,38250,4723786,0.1333333333333333
2011-10-18,37850,39600,37650,38350,4226943,0.002614379084967311
2011-10-19,38950,40400,37900,39000,3110350,0.016949152542372836
2011-10-20,39000,40400,36000,37400,2669258,-0.04102564102564099
2011-10-21,38350,39900,37500,39900,2377185,0.0668449197860963
2011-10-24,40600,41600,39400,39750,2793102,-0.003759398496240629
