Date,Open,High,Low,Close,Volume,Change
2011-01-03,5380,5780,5330,5610,658103,0.0625
2011-01-04,5580,5790,5360,5490,396997,-0.021390374331550777
2011-01-05,5490,5500,5060,5190,403969,-0.05464480874316935
2011-01-06,5250,5500,5200,5350,319608,0.030828516377649384
2011-01-07,5320,5520,5280,5460,187548,0.020560747663551426
2011-01-10,5470,5740,5470,5510,243367,0.009157509157509125
2011-01-11,5470,5570,5350,5570,106108,0.010889292196007316
2011-01-12,5600,5600,5450,5450,97839,-0.021543985637342944
2011-01-13,5460,5480,5230,5350,176647,-0.01834862385321101
2011-01-14,5350,5350,5240,5300,161624,-0.009345794392523366
2011-01-17,5400,5530,5320,5340,124489,0.007547169811320753
2011-01-18,5310,5390,5180,5190,117681,-0.028089887640449396
2011-01-19,5210,5290,5100,5150,102341,-0.0077071290944122905
2011-01-20,5200,5200,4860,5110,215327,-0.007766990291262155
2011-01-21,5110,5110,4965,5030,93355,-0.015655577299412915
2011-01-24,5010,5060,4920,4950,57400,-0.015904572564612307
2011-01-25,4945,4945,4700,4850,285900,-0.02020202020202022
2011-01-26,4850,4935,4810,4880,23292,0.006185567010309256
2011-01-27,4900,4900,4785,4815,59774,-0.013319672131147486
2011-01-28,4760,4840,4630,4745,107648,-0.014537902388369717
2011-01-31,4720,4795,4635,4650,65186,-0.02002107481559534
2011-02-01,4650,4780,4605,4640,68276,-0.0021505376344086446
2011-02-07,4650,5050,4650,4920,103251,0.06034482758620685
2011-02-08,5000,5020,4845,4915,56150,-0.00101626016260159
2011-02-09,4890,4895,4715,4750,120890,-0.033570701932858604
2011-02-10,4750,4900,4730,4750,68581,0.0
2011-02-11,4805,5000,4750,4820,122835,0.01473684210526316
2011-02-14,4850,4960,4785,4805,66859,-0.003112033195020736
2011-02-15,4820,4850,4730,4815,111896,0.0020811654526535772
2011-02-16,4820,5070,4800,4990,280359,0.036344755970924236
2011-02-17,5050,5130,4905,5050,116945,0.012024048096192397
2011-02-18,5100,5250,5070,5140,132038,0.017821782178217838
2011-02-21,5190,5190,4955,4990,122446,-0.029182879377431914
2011-02-22,5000,5030,4905,4930,93367,-0.012024048096192397
2011-02-23,4905,5110,4900,4965,267052,0.007099391480730244
2011-02-24,4965,5100,4960,5030,208851,0.01309164149043296
2011-02-25,5040,5160,4935,4935,157529,-0.0188866799204771
2011-02-28,5000,5000,4730,4740,165394,-0.03951367781155013
2011-03-02,4715,4785,4660,4725,121962,-0.0031645569620253333
2011-03-03,4700,4850,4700,4800,68294,0.015873015873015817
2011-03-04,4805,4855,4730,4760,94620,-0.008333333333333304
2011-03-07,4780,4780,4670,4700,79701,-0.012605042016806678
2011-03-08,4660,4730,4660,4705,48050,0.0010638297872340718
2011-03-09,4700,4750,4685,4750,95359,0.009564293304994642
2011-03-10,4795,4855,4745,4785,142153,0.007368421052631469
2011-03-11,4770,4770,4685,4695,153206,-0.018808777429467072
2011-03-14,4690,4925,4670,4925,126947,0.048988285410010546
2011-03-15,4960,5380,4900,5080,417114,0.03147208121827405
2011-03-16,5160,5460,5150,5340,490800,0.051181102362204633
2011-03-17,5200,5440,5200,5380,176272,0.0074906367041198685
2011-03-18,5420,5580,5300,5300,228068,-0.014869888475836479
2011-03-21,5300,5350,5150,5250,174500,-0.009433962264150941
2011-03-22,5250,5410,5190,5260,107079,0.0019047619047618536
