Date,Open,High,Low,Close,Volume,Change
2011-01-03,16125,16175,15284,15433,15861,-0.05458221024258758
2011-01-04,15433,15581,15037,15037,18981,-0.02565930149679263
2011-01-05,15037,15185,14839,14988,10396,-0.0032586287158342664
2011-01-06,15235,15977,14987,15136,35069,0.009874566319722389
2011-01-07,15136,15136,14938,15037,5350,-0.006540697674418561
2011-01-10,15037,15185,14740,14889,9990,-0.009842388774356614
2011-01-11,14889,14938,14691,14790,4320,-0.0066492041104171395
2011-01-12,14691,14938,14641,14840,8410,0.0033806626098715764
2011-01-13,14790,14987,14542,14543,14361,-0.02001347708894874
2011-01-14,14641,14641,14394,14642,11245,0.006807398748538862
2011-01-17,14641,14740,14394,14394,7595,-0.016937576833765844
2011-01-18,14394,14542,14295,14295,5031,-0.006877865777407233
2011-01-19,14344,14592,14295,14345,8380,0.0034977264777893424
2011-01-20,14344,14394,14097,14246,9300,-0.006901359358661541
2011-01-21,14245,14245,14097,14246,3260,0.0
2011-01-24,14097,14245,14097,14246,1880,0.0
2011-01-25,14147,14245,14097,14098,3883,-0.010388881089428592
2011-01-26,14097,14196,14048,14197,3240,0.0070222726627890975
2011-01-27,14097,14196,13850,13949,12314,-0.01746847925618089
2011-01-28,14048,14196,13701,13801,8115,-0.010610079575596787
2011-01-31,13800,13800,13504,13504,6473,-0.021520179697123387
2011-02-01,13553,13850,13454,13504,12130,0.0
2011-02-07,13504,13701,13504,13504,6860,0.0
2011-02-08,13504,13652,13454,13504,5480,0.0
2011-02-09,13504,13553,13256,13306,5540,-0.014662322274881512
2011-02-10,13256,13306,13108,13108,5703,-0.014880505035322455
2011-02-11,13207,13256,12860,12861,6157,-0.018843454379005142
2011-02-14,12860,13058,12712,12811,9223,-0.003887722572117225
2011-02-15,12811,12959,12415,12416,16732,-0.03083287799547263
2011-02-16,12415,13800,12415,12960,11971,0.04381443298969079
2011-02-17,13009,13009,12465,12465,11720,-0.03819444444444442
2011-02-18,12663,12663,12415,12564,10878,0.007942238267147905
2011-02-21,12564,12663,12267,12317,15222,-0.019659344157911485
2011-02-22,12267,12316,12069,12070,8588,-0.02005358447673944
2011-02-23,12020,12366,12020,12218,8065,0.012261806130902997
2011-02-24,12316,12514,12168,12267,9653,0.004010476346374192
2011-02-25,12465,12564,12267,12515,7990,0.020216841933643037
2011-02-28,12514,12663,12465,12515,6700,0.0
2011-03-02,12514,12712,12415,12614,10140,0.00791050739113075
2011-03-03,12613,13256,12514,12762,16550,0.011732995084826392
2011-03-04,12712,12811,12514,12762,9160,0.0
2011-03-07,12762,12762,12564,12564,3575,-0.015514809590973178
2011-03-08,12514,12762,12465,12614,3480,0.003979624323463771
2011-03-09,12712,12712,12564,12564,3147,-0.003963849690819754
2011-03-10,12613,12663,12366,12366,10562,-0.015759312320916874
2011-03-11,12316,12465,12069,12070,28753,-0.023936600355814353
2011-03-14,12069,12118,11871,12020,12475,-0.0041425020712509975
2011-03-15,11921,12069,11574,11624,21120,-0.03294509151414304
2011-03-16,11723,11921,11673,11822,6207,0.01703372333103914
2011-03-17,11822,11871,11525,11822,9940,0.0
2011-03-18,11772,11822,11624,11773,9982,-0.004144814752157
2011-03-21,11822,12118,11822,11822,6360,0.004162065743650745
2011-03-22,11871,12267,11871,12267,6901,0.03764168499407883
2011-03-23,12267,12366,12069,12317,3911,0.004075976196298958
2011-03-24,12316,12316,12118,12119,2740,-0.016075343021839772
2011-03-25,12118,12267,12118,12218,5361,0.00816899084082845
2011-03-28,12168,12217,11970,12168,3140,-0.0040923228024226654
2011-03-29,12168,12316,12118,12267,10791,0.008136094674556116
2011-03-30,12267,12564,12267,12564,9210,0.02421129860601612
2011-03-31,12564,12811,12564,12614,8449,0.003979624323463771
2011-04-01,12712,12910,12613,12811,6665,0.015617567781829766
2011-04-04,12762,12811,12613,12762,7090,-0.003824838029818145
2011-04-05,12762,13009,12613,12910,9815,0.011596928381131466
2011-04-06,12959,12959,12762,12762,4240,-0.011463981409759905
2011-04-07,12762,12959,12762,12861,8375,0.0077574047954867
2011-04-08,12860,12910,12712,12861,5060,0.0
2011-04-11,12860,13009,12712,12811,4501,-0.003887722572117225
2011-04-12,12811,12860,12514,12762,10533,-0.003824838029818145
2011-04-13,12762,12959,12564,12910,7611,0.011596928381131466
2011-04-14,12910,13009,12712,12861,7026,-0.0037955073586367627
2011-04-15,12762,13009,12762,12861,4146,0.0
2011-04-18,12762,12910,12712,12811,6900,-0.003887722572117225
2011-04-19,12811,13207,12811,12861,9117,0.003902895948794116
2011-04-20,12860,13009,12811,12910,5710,0.0038099681206749114
2011-04-21,12910,13058,12762,12960,9297,0.0038729666924863793
2011-04-22,13157,13405,12910,13405,17480,0.03433641975308643
2011-04-25,13256,13306,12860,12861,15550,-0.04058187243565836
2011-04-26,12910,13009,12811,12910,6550,0.0038099681206749114
2011-04-27,12910,13405,12860,12910,16574,0.0
2011-04-28,12910,12959,12762,12910,27159,0.0
2011-04-29,12811,12910,12465,12713,27477,-0.015259488768396556
2011-05-02,12564,12910,12564,12713,6816,0.0
2011-05-03,12811,12910,12762,12762,9890,0.0038543223472036203
2011-05-04,12762,13009,12366,12564,91371,-0.015514809590973178
2011-05-06,12564,12762,12366,12416,23951,-0.011779687997452992
2011-05-09,12613,12860,12514,12614,8440,0.015947164948453718
2011-05-11,13454,14196,12762,12762,84611,0.011732995084826392
2011-05-12,12712,12762,12415,12465,33410,-0.023272214386459766
2011-05-13,12564,12762,12415,12465,7474,0.0
2011-05-16,12514,12514,12316,12366,13681,-0.007942238267148016
2011-05-17,12366,12465,12217,12366,7532,0.0
2011-05-18,12267,12465,12217,12366,9115,0.0
2011-05-19,12267,12415,12168,12168,16786,-0.01601164483260553
2011-05-20,12168,12316,12168,12267,3600,0.008136094674556116
2011-05-23,12267,12267,12069,12218,10774,-0.003994456672373081
2011-05-24,12168,12267,12069,12218,5116,0.0
2011-05-25,12168,12316,12069,12317,4090,0.008102799148796747
2011-05-26,12267,12267,12069,12267,6660,-0.0040594300560201635
2011-05-27,12267,12267,12118,12168,6975,-0.00807043286867204
2011-05-30,12168,12168,11970,12119,10221,-0.004026955950032884
2011-05-31,12118,12316,11871,12317,9230,0.0163379816816569
2011-06-01,12118,12267,12118,12267,8111,-0.0040594300560201635
2011-06-02,12217,12217,12069,12218,9471,-0.003994456672373081
2011-06-03,12069,12267,12069,12267,5820,0.004010476346374192
2011-06-07,12267,12366,12069,12317,27170,0.004075976196298958
2011-06-08,12118,12217,12069,12218,8441,-0.00803767151091983
2011-06-09,12020,12366,12020,12317,16353,0.008102799148796747
2011-06-10,12316,12959,12168,12168,24127,-0.012097101566939994
2011-06-13,12217,12465,12168,12366,5560,0.016272189349112454
2011-06-14,11921,12316,11921,12317,4180,-0.0039624777616044105
2011-06-15,12316,12316,12020,12070,11082,-0.02005358447673944
2011-06-16,12069,12267,12069,12168,5110,0.00811930405965211
2011-06-17,12118,12217,12069,12218,4390,0.004109138724523342
2011-06-20,12217,12316,12118,12119,1736,-0.008102799148796858
2011-06-21,12069,12168,12069,12168,1592,0.004043237890914986
2011-06-22,12168,12217,12118,12119,1448,-0.004026955950032884
2011-06-23,12118,12217,12118,12218,2150,0.00816899084082845
2011-06-24,12217,12415,12217,12416,3601,0.016205598297593715
2011-06-27,12267,12465,12267,12416,1051,0.0
2011-06-28,12415,12613,12366,12465,6350,0.003946520618556715
2011-06-29,12613,12613,12316,12317,3915,-0.011873245086241435
2011-06-30,12366,12613,12366,12515,4835,0.01607534302183966
2011-07-01,12514,12712,12366,12713,4880,0.015821014782261278
2011-07-04,12762,12762,12514,12564,1733,-0.01172028632108868
2011-07-05,12663,12663,12366,12465,3910,-0.007879656160458492
2011-07-06,12465,12564,12415,12465,723,0.0
2011-07-07,12564,12613,12465,12614,2400,0.011953469715202614
2011-07-08,12564,12663,12514,12564,1870,-0.003963849690819754
2011-07-11,12465,12613,12366,12465,3014,-0.007879656160458492
2011-07-12,12316,12564,12316,12465,4410,0.0
2011-07-13,12465,12564,12415,12465,2420,0.0
2011-07-14,12415,12465,12316,12317,5490,-0.011873245086241435
2011-07-15,12316,12514,12316,12515,3330,0.01607534302183966
2011-07-18,12415,12712,12415,12564,5170,0.003915301638034441
2011-07-19,12712,13355,12613,13257,29064,0.055157593123209114
2011-07-20,13652,13652,12910,13108,22476,-0.011239345251565225
2011-07-21,13058,13108,12811,13009,5986,-0.007552639609398892
2011-07-22,12910,13108,12860,12861,9940,-0.011376739180567252
2011-07-25,12860,13108,12712,13059,6690,0.015395381385584272
2011-07-26,13108,13207,12910,13158,6476,0.007580978635423952
2011-07-27,13157,13256,13009,13059,5473,-0.007523939808481539
2011-07-28,12959,13454,12959,13207,12861,0.011333180182249825
2011-07-29,13355,13949,13157,13702,30302,0.03748012417657298
2011-08-01,13602,13998,13602,13949,16799,0.018026565464895672
2011-08-02,13751,13998,13652,13949,16030,0.0
2011-08-03,13751,13800,13256,13801,16194,-0.010610079575596787
2011-08-04,13504,13949,13504,13504,10563,-0.021520179697123387
2011-08-05,13108,13652,12663,13257,12951,-0.018290876777251164
2011-08-08,12811,13256,12168,12614,14501,-0.04850267783058004
2011-08-09,12267,12366,11723,12317,37282,-0.023545267163469163
2011-08-10,12366,13009,12366,12515,17099,0.01607534302183966
2011-08-11,12366,13355,11921,12465,123111,-0.003995205753096309
2011-08-12,12613,13553,12465,13059,49401,0.0476534296028881
2011-08-16,13157,13355,12712,12910,25658,-0.011409755724021697
2011-08-17,13058,13108,12762,12811,13931,-0.007668474051123142
2011-08-18,12860,13157,12811,13059,8621,0.019358363906018194
2011-08-19,12811,12910,12564,12614,10642,-0.03407611608852135
2011-08-22,12613,12811,12366,12465,3972,-0.011812272078642772
2011-08-23,12762,12762,12366,12713,4690,0.01989570798235052
2011-08-24,12663,12762,12564,12713,8491,0.0
2011-08-25,12860,12860,12712,12762,6012,0.0038543223472036203
2011-08-26,12712,12762,12564,12663,3420,-0.007757404795486589
2011-08-29,12663,12811,12564,12564,4082,-0.00781805259417201
2011-08-30,12613,12762,12613,12762,1879,0.015759312320916985
2011-08-31,12762,13306,12613,13306,11922,0.04262654756307782
2011-09-01,13306,13306,13058,13158,6671,-0.011122801743574273
2011-09-02,13157,13256,12959,13059,1250,-0.007523939808481539
2011-09-05,12860,13157,12762,13009,6951,-0.0038287770885978567
2011-09-06,12860,13009,12168,12713,9700,-0.022753478361134616
2011-09-07,12860,13701,12762,13009,43093,0.023283253362699652
2011-09-08,13058,13058,12762,12811,11371,-0.01522023214697521
2011-09-09,12762,12910,12663,12663,4002,-0.011552572008430295
2011-09-14,12613,12712,12267,12366,4701,-0.023454157782516027
2011-09-15,12465,12564,12316,12366,1610,0.0
2011-09-16,12316,12465,12267,12267,8760,-0.008005822416302766
2011-09-19,12267,12564,12267,12564,5231,0.02421129860601612
2011-09-20,12465,12663,12366,12416,2096,-0.011779687997452992
2011-09-21,12663,12762,12514,12515,2383,0.007973582474226859
2011-09-22,12564,12564,12366,12465,2522,-0.003995205753096309
2011-09-23,12267,12366,11921,11921,8270,-0.0436421981548335
2011-09-26,11921,12118,11673,12070,10175,0.01249895143024915
2011-09-27,12118,12168,11772,12020,3691,-0.0041425020712509975
2011-09-28,12069,12118,11822,12020,2972,0.0
2011-09-29,11921,12069,11921,12070,210,0.004159733777038266
2011-09-30,12217,12267,12069,12267,1586,0.016321458160729163
2011-10-04,11970,12168,11871,12119,850,-0.01206488954104512
2011-10-05,12168,12267,12020,12168,2200,0.004043237890914986
2011-10-06,12069,12366,12069,12267,2781,0.008136094674556116
2011-10-07,12069,12267,12069,12218,5000,-0.003994456672373081
2011-10-10,12118,12366,12069,12168,1301,-0.0040923228024226654
2011-10-11,12366,12366,12168,12317,970,0.012245233399079458
2011-10-12,12168,12267,12168,12267,560,-0.0040594300560201635
2011-10-13,12316,12415,12217,12416,750,0.012146409064970998
2011-10-14,12415,12415,12415,12416,386,0.0
2011-10-17,12267,12564,12267,12515,1700,0.007973582474226859
2011-10-18,12514,12514,12316,12465,160,-0.003995205753096309
2011-10-19,12267,12366,12217,12366,3520,-0.007942238267148016
2011-10-20,12366,12465,12168,12267,1880,-0.008005822416302766
2011-10-21,12168,12267,12069,12267,9470,0.0
2011-10-24,12267,12316,12069,12168,13290,-0.00807043286867204
2011-10-25,12217,12267,12069,12267,2630,0.008136094674556116
2011-10-26,12217,12267,12069,12267,3040,0.0
2011-10-27,12168,12267,12168,12267,1435,0.0
2011-10-28,12316,12366,12168,12317,6658,0.004075976196298958
2011-10-31,12316,12316,12168,12218,870,-0.00803767151091983
2011-11-01,12217,12217,12020,12168,4531,-0.0040923228024226654
2011-11-02,11970,12118,11871,12020,1640,-0.012163050624589111
2011-11-03,12020,12118,12020,12020,2979,0.0
2011-11-04,12168,12168,11970,12168,4920,0.012312811980033311
2011-11-07,12267,12860,12069,12762,15424,0.04881656804733736
2011-11-08,12860,12959,12465,12564,11032,-0.015514809590973178
2011-11-09,12564,12762,12366,12416,2316,-0.011779687997452992
2011-11-10,12316,12316,12020,12119,2710,-0.023920747422680466
2011-11-11,12118,12118,12020,12119,9100,0.0
2011-11-14,12217,12366,12020,12366,1410,0.020381219572571885
2011-11-15,12267,12267,11970,12168,2730,-0.01601164483260553
2011-11-16,12168,12168,12020,12168,1335,0.0
2011-11-17,12168,12217,12069,12218,1170,0.004109138724523342
2011-11-18,12069,12267,12069,12267,521,0.004010476346374192
2011-11-21,12267,12267,11970,12168,1102,-0.00807043286867204
2011-11-22,12020,12168,12020,12168,540,0.0
2011-11-23,12020,12069,11772,11921,5703,-0.020299145299145338
2011-11-24,11921,11970,11921,11971,1510,0.004194279003439272
2011-11-25,11970,12020,11871,11971,16691,0.0
2011-11-28,12020,12069,11970,12070,445,0.008269985799014279
2011-11-29,12069,12217,12069,12218,1760,0.012261806130902997
2011-11-30,12217,12267,12069,12218,2720,0.0
2011-12-01,12267,12316,12020,12119,1110,-0.008102799148796858
2011-12-02,12118,12366,12020,12168,1440,0.004043237890914986
2011-12-05,12168,12267,12118,12267,430,0.008136094674556116
2011-12-06,12267,12267,12020,12168,1270,-0.00807043286867204
2011-12-07,12217,12267,12168,12218,820,0.004109138724523342
2011-12-08,12118,12168,12118,12168,681,-0.0040923228024226654
2011-12-09,12020,12168,12020,12168,261,0.0
2011-12-12,12168,12366,12020,12366,3440,0.016272189349112454
2011-12-13,12217,12267,12168,12267,130,-0.008005822416302766
2011-12-14,12267,12267,12118,12119,2248,-0.01206488954104512
2011-12-15,12020,12168,11970,12119,1711,0.0
2011-12-16,12217,12415,12020,12020,4324,-0.00816899084082845
2011-12-19,12020,12168,11624,12020,29350,0.0
2011-12-20,11970,12069,11871,12020,1201,0.0
2011-12-21,11970,12118,11970,12070,1421,0.004159733777038266
2011-12-22,12118,12366,12069,12070,2120,0.0
2011-12-23,12168,12316,12118,12267,2312,0.016321458160729163
2011-12-26,12217,12267,12069,12267,450,0.0
2011-12-27,12069,12217,12069,12218,1078,-0.003994456672373081
2011-12-28,12020,12020,11921,12020,5622,-0.016205598297593715
2011-12-29,11921,12118,11921,12070,1590,0.004159733777038266
2012-01-02,12118,12118,11970,12070,1930,0.0
2012-01-03,11921,12118,11921,12119,170,0.004059652029825944
2012-01-04,12069,12069,11921,12070,1861,-0.004043237890915097
2012-01-05,11921,12069,11871,11872,3030,-0.016404308202154105
2012-01-06,11921,12020,11921,11921,1120,0.004127358490566113
2012-01-09,11970,12118,11921,12119,1050,0.016609344853619756
2012-01-10,12069,12514,12020,12515,9480,0.0326759633633138
2012-01-11,12514,12514,12267,12267,7230,-0.019816220535357587
2012-01-12,12316,12366,12267,12267,640,0.0
2012-01-13,12069,12267,11921,12168,1840,-0.00807043286867204
2012-01-16,12020,12069,11921,12070,4500,-0.008053911900065769
2012-01-17,12069,12069,11970,12070,1790,0.0
2012-01-18,11970,12217,11970,12168,2321,0.00811930405965211
2012-01-19,12168,12217,12069,12218,3750,0.004109138724523342
2012-01-20,12217,12415,12217,12366,2980,0.01211327549517116
2012-01-25,12168,12415,12168,12366,3010,0.0
2012-01-26,12316,12465,12316,12317,2620,-0.0039624777616044105
2012-01-27,12366,12366,12316,12317,1810,0.0
2012-01-30,12316,12415,12316,12366,1030,0.003978241454899667
2012-01-31,12366,12663,12267,12416,5410,0.004043344654698355
2012-02-01,12514,12514,12217,12416,740,0.0
2012-02-02,12415,12514,12316,12416,2751,0.0
2012-02-03,12415,12811,12415,12465,8569,0.003946520618556715
2012-02-06,12465,12514,12366,12515,2696,0.004011231448054486
2012-02-07,12415,12564,12366,12465,1300,-0.003995205753096309
2012-02-08,12465,12514,12415,12515,1571,0.004011231448054486
2012-02-09,12514,12613,12465,12515,4851,0.0
2012-02-10,12514,12613,12514,12515,2540,0.0
2012-02-13,12514,12514,12415,12515,2153,0.0
2012-02-14,12564,12762,12415,12663,1870,0.011825809029164969
2012-02-15,12860,12860,12514,12614,5522,-0.003869541182974001
2012-02-16,12465,12613,12415,12564,2512,-0.003963849690819754
2012-02-17,12465,12514,12415,12416,1980,-0.011779687997452992
2012-02-20,12465,12465,12366,12465,5780,0.003946520618556715
2012-02-21,12366,12514,12366,12515,2990,0.004011231448054486
2012-02-22,12465,12514,12316,12515,2720,0.0
2012-02-23,12514,12514,12316,12416,2231,-0.007910507391130639
2012-02-24,12267,12366,12118,12366,2591,-0.004027061855670144
2012-02-27,12366,12465,12267,12465,730,0.008005822416302655
2012-02-28,12465,12514,12316,12515,1360,0.004011231448054486
2012-02-29,12366,12514,12267,12465,1810,-0.003995205753096309
2012-03-02,12366,12465,12366,12465,530,0.0
2012-03-05,12366,12415,12267,12416,810,-0.003931006819093419
2012-03-06,12217,12316,12168,12267,1520,-0.012000644329896892
2012-03-07,12168,12267,12069,12267,2140,0.0
2012-03-08,12267,12267,12118,12267,6810,0.0
2012-03-09,12267,12316,12267,12267,1881,0.0
2012-03-12,12267,12267,12217,12267,1540,0.0
2012-03-13,12217,12366,12217,12267,2270,0.0
2012-03-14,12267,12366,12217,12317,5960,0.004075976196298958
2012-03-15,12217,12316,12168,12267,2320,-0.0040594300560201635
2012-03-16,12267,12415,12118,12267,6170,0.0
2012-03-19,12267,12267,12118,12218,1218,-0.003994456672373081
2012-03-20,12217,12217,12118,12218,1422,0.0
2012-03-21,12217,12217,12168,12218,1070,0.0
2012-03-22,12217,12217,12118,12218,850,0.0
2012-03-23,12267,12267,12069,12119,201,-0.008102799148796858
2012-03-26,12118,12217,12118,12168,360,0.004043237890914986
2012-03-27,12118,12217,12118,12119,240,-0.004026955950032884
2012-03-28,12118,12168,12118,12168,1520,0.004043237890914986
2012-03-29,12168,12217,12069,12168,2181,0.0
2012-03-30,12168,12267,12168,12267,180,0.008136094674556116
2012-04-02,12118,12217,12069,12218,2211,-0.003994456672373081
2012-04-03,12168,12217,12118,12168,449,-0.0040923228024226654
2012-04-04,12069,12168,12069,12119,2591,-0.004026955950032884
2012-04-05,12118,12118,12069,12070,1231,-0.004043237890915097
2012-04-06,12118,12168,12118,12119,960,0.004059652029825944
2012-04-09,12020,12168,12020,12070,352,-0.004043237890915097
2012-04-10,12118,12168,12069,12070,1070,0.0
2012-04-12,12069,12069,12069,12070,1220,0.0
2012-04-13,12069,12168,12069,12070,520,0.0
2012-04-16,12069,12069,12069,12070,1210,0.0
2012-04-17,12020,12168,12020,12070,970,0.0
2012-04-18,12069,12069,11970,12070,2460,0.0
2012-04-19,12069,12069,12069,12070,2231,0.0
2012-04-20,12118,12118,12069,12070,750,0.0
2012-04-23,12020,12118,12020,12119,620,0.004059652029825944
2012-04-24,12069,12118,12020,12119,1300,0.0
2012-04-25,12069,12118,12069,12119,1700,0.0
2012-04-26,12316,12316,12118,12119,500,0.0
2012-04-27,12118,12168,12118,12119,450,0.0
2012-04-30,12118,12267,12069,12267,1040,0.012212228731743435
2012-05-02,12267,12267,12069,12070,1310,-0.01605934621341809
2012-05-03,12069,12316,12069,12070,1343,0.0
2012-05-04,12118,12217,12069,12168,240,0.00811930405965211
2012-05-07,12069,12217,11970,12070,3160,-0.008053911900065769
2012-05-08,11970,12069,11921,12070,890,0.0
2012-05-09,11921,11921,11921,11921,280,-0.01234465617232805
2012-05-10,12069,12118,11921,12070,1040,0.01249895143024915
2012-05-11,11970,11970,11871,11872,1441,-0.016404308202154105
2012-05-14,11871,11871,11624,11872,3980,0.0
2012-05-15,11822,11822,11574,11674,4090,-0.016677897574123968
2012-05-16,11673,11673,11377,11377,4521,-0.025441151276340612
2012-05-17,11377,11574,11278,11476,1770,0.00870176672233458
2012-05-18,11327,11475,11129,11179,2650,-0.025880097594980778
2012-05-21,11327,11475,11179,11179,572,0.0
2012-05-22,11179,11179,11080,11080,9520,-0.00885589050899005
2012-05-23,11080,11327,10981,10981,7790,-0.008935018050541532
2012-05-24,11080,11179,11030,11179,980,0.018031144704489632
2012-05-25,11080,11080,11080,11080,100,-0.00885589050899005
2012-05-29,11080,11129,11080,11130,50,0.004512635379061436
2012-05-30,11080,11228,11080,11080,1300,-0.004492362982928988
2012-05-31,11080,11080,10882,10981,3150,-0.008935018050541532
2012-06-01,11080,11080,10882,10932,1750,-0.0044622529824241974
2012-06-04,10931,10931,10585,10635,4578,-0.027167947310647644
2012-06-05,10832,10832,10684,10783,262,0.013916314057357715
2012-06-07,10783,10783,10733,10783,2248,0.0
2012-06-08,10783,10783,10684,10734,1081,-0.004544189928591291
2012-06-11,10684,10882,10684,10882,550,0.01378796348052913
2012-06-12,10832,10832,10635,10684,270,-0.0181951847086933
2012-06-13,10684,10684,10635,10684,3920,0.0
2012-06-14,10832,10832,10684,10684,441,0.0
2012-06-15,10684,10832,10635,10833,2640,0.013946087607637603
2012-06-18,10783,10882,10684,10833,2040,0.0
2012-06-19,10783,10832,10783,10833,180,0.0
2012-06-20,10832,10832,10684,10833,1289,0.0
2012-06-21,10832,10931,10832,10833,3234,0.0
2012-06-22,10832,10832,10684,10684,1432,-0.013754269362134197
2012-06-25,10684,10733,10635,10734,3181,0.0046798951703481695
2012-06-26,10684,10684,10585,10684,460,-0.004658095770449067
2012-06-27,10684,10783,10635,10783,1750,0.009266192437289433
2012-06-28,10635,10931,10635,10833,950,0.004636928498562565
2012-06-29,10635,10882,10635,10882,210,0.004523216098956784
2012-07-02,10931,11030,10832,11031,295,0.013692335967653069
2012-07-03,11080,11377,11080,11328,2470,0.026924122926298644
2012-07-04,11327,11475,11228,11229,4370,-0.008739406779661008
2012-07-05,11080,11228,10981,11179,3700,-0.004452756256122514
2012-07-06,11129,11179,11129,11179,80,0.0
2012-07-09,11129,11278,11030,11278,150,0.00885589050899016
2012-07-10,10931,11278,10882,10882,2070,-0.03511260861854937
2012-07-11,10882,10882,10783,10882,1120,0.0
2012-07-12,10882,10882,10585,10783,2241,-0.009097592354346595
2012-07-13,10783,10783,10536,10783,2790,0.0
2012-07-16,10783,10981,10585,10734,1470,-0.004544189928591291
2012-07-17,10684,10733,10536,10734,2301,0.0
2012-07-18,10635,10733,10536,10734,1550,0.0
2012-07-19,10733,10733,10585,10734,590,0.0
2012-07-20,10733,10733,10684,10684,420,-0.004658095770449067
2012-07-23,10783,10783,10140,10388,6960,-0.027704979408461283
2012-07-24,10486,10536,10288,10536,360,0.014247208317289095
2012-07-25,10338,10338,10090,10190,4125,-0.03283978739559601
2012-07-26,10387,10387,10140,10338,800,0.014524043179587887
2012-07-27,10437,10437,10239,10388,453,0.004836525440123918
2012-07-30,10387,10387,10288,10388,4000,0.0
2012-07-31,10387,10486,10239,10437,880,0.004716981132075526
2012-08-01,10437,10437,10288,10388,1031,-0.0046948356807511304
2012-08-02,10387,10387,10189,10388,2280,0.0
2012-08-03,10387,10387,10387,10388,70,0.0
2012-08-06,10387,10437,10338,10437,16110,0.004716981132075526
2012-08-07,10486,10486,10437,10437,530,0.0
2012-08-08,10585,10585,10387,10487,2520,0.004790648653827834
2012-08-09,10536,10536,10437,10487,607,0.0
2012-08-10,10585,11179,10585,10882,1980,0.03766568131972914
2012-08-13,10882,10882,10783,10833,790,-0.004502848741040233
2012-08-14,10882,11129,10783,10882,831,0.004523216098956784
2012-08-16,11030,11278,10783,11229,2490,0.03188752067634626
2012-08-17,11278,11278,11080,11229,1770,0.0
2012-08-20,11228,11228,11030,11179,1222,-0.004452756256122514
2012-08-21,11278,11278,11179,11278,1580,0.00885589050899016
2012-08-22,11327,11327,11179,11179,640,-0.008778152154637398
2012-08-23,11030,11278,11030,11229,1910,0.004472671974237397
2012-08-24,10981,11278,10981,11278,611,0.004363701131000042
2012-08-27,11327,11327,11179,11179,250,-0.008778152154637398
2012-08-28,11179,12811,11179,12811,84169,0.14598801323910915
2012-08-29,13009,13553,11129,11822,160732,-0.07719928186714542
2012-08-30,11871,11871,11278,11377,36355,-0.03764168499407883
2012-08-31,11673,12514,11574,12168,46115,0.0695262371451173
2012-09-03,11970,12415,11871,11872,12145,-0.024326101249178222
2012-09-04,11822,12118,11723,12119,14490,0.02080525606469008
2012-09-05,11871,12217,11871,12020,8935,-0.00816899084082845
2012-09-06,12118,12415,11970,11971,11350,-0.004076539101497523
2012-09-07,12020,12514,11822,12515,19037,0.04544315428953305
2012-09-10,12316,12613,12217,12515,9178,0.0
2012-09-11,12514,12663,12366,12564,7990,0.003915301638034441
2012-09-12,12613,12613,12168,12218,6365,-0.027539000318369977
2012-09-13,12118,12366,12020,12267,6630,0.004010476346374192
2012-09-14,12415,12613,12217,12614,11546,0.028287274802315077
2012-09-17,12415,12762,12415,12564,6310,-0.003963849690819754
2012-09-18,12465,12564,12316,12366,3940,-0.015759312320916874
2012-09-19,12118,12415,12118,12416,4480,0.004043344654698355
2012-09-20,12465,12663,12366,12564,5730,0.011920103092783574
2012-09-21,12564,12712,12514,12614,9320,0.003979624323463771
2012-09-24,12564,12811,12465,12762,7694,0.011732995084826392
2012-09-25,12762,12762,12465,12564,9320,-0.015514809590973178
2012-09-26,12762,13602,12762,13108,36450,0.04329831263928696
2012-09-27,13355,13800,12564,12713,46890,-0.030134269148611503
2012-09-28,12712,13157,12564,12762,5910,0.0038543223472036203
2012-10-02,12860,12910,12465,12811,6700,0.0038395235856449883
2012-10-04,12712,12712,12118,12119,17791,-0.05401607993130908
2012-10-05,12316,12712,12118,12515,15580,0.0326759633633138
2012-10-08,12663,12762,12366,12663,13001,0.011825809029164969
2012-10-09,12465,12663,12415,12416,5922,-0.01950564637131802
2012-10-10,12366,12811,12168,12614,4950,0.015947164948453718
2012-10-11,12762,13058,12663,12861,24630,0.01958141747264941
2012-10-12,12860,13207,12860,13207,18130,0.02690304019905132
2012-10-15,13553,13602,13157,13158,35625,-0.003710153706367847
