Date,Open,High,Low,Close,Volume,Change
2011-01-03,5284,5297,5190,5266,8377,-0.0026515151515151825
2011-01-04,5261,5261,5226,5266,9818,0.0
2011-01-05,5261,5284,5232,5266,11054,0.0
2011-01-06,5240,5305,5218,5237,9140,-0.005507026205848864
2011-01-07,5218,5255,5182,5202,4402,-0.006683215581439805
2011-01-10,5198,5312,5119,5266,9673,0.01230296039984613
2011-01-11,5204,5297,5204,5301,6270,0.006646410938093483
2011-01-12,5289,5346,5247,5343,24380,0.007923033389926504
2011-01-13,5339,5355,5169,5202,19780,-0.026389668725435134
2011-01-14,5210,5261,5127,5266,8351,0.01230296039984613
2011-01-17,5261,5261,5127,5131,15441,-0.025636156475503213
2011-01-18,5133,5182,5105,5109,5810,-0.004287663223543126
2011-01-19,5091,5091,4983,5038,12310,-0.013897044431395611
2011-01-20,4991,5006,4948,5009,11714,-0.005756252481143309
2011-01-21,5006,5006,4912,4932,5796,-0.015372329806348617
2011-01-24,4933,4933,4884,4932,7420,0.0
2011-01-25,4856,4949,4856,4952,12453,0.0040551500405514584
2011-01-26,4884,4926,4856,4875,10365,-0.01554927302100162
2011-01-27,4871,4949,4834,4924,25288,0.01005128205128214
2011-01-28,4926,4926,4842,4846,5333,-0.01584077985377741
2011-01-31,4834,4892,4735,4746,12800,-0.020635575732562916
2011-02-01,4628,4834,4628,4661,12679,-0.0179098187947746
2011-02-07,4663,4771,4663,4760,4137,0.02124007723664456
2011-02-08,4757,4806,4692,4725,10020,-0.007352941176470562
2011-02-09,4834,4871,4720,4875,11410,0.031746031746031855
2011-02-10,4757,4856,4700,4703,17014,-0.03528205128205131
2011-02-11,4706,4757,4584,4596,19095,-0.022751435254093177
2011-02-14,4601,4663,4571,4596,7273,0.0
2011-02-15,4578,4642,4535,4541,11052,-0.011966927763272461
2011-02-16,4472,4601,4443,4583,7167,0.009249064082801128
2011-02-17,4584,4601,4494,4596,9006,0.0028365699323587013
2011-02-18,4584,4620,4522,4555,7636,-0.00892080069625767
2011-02-21,4550,4550,4494,4505,7526,-0.010976948408342513
2011-02-22,4494,4494,4421,4426,7312,-0.017536071032186462
2011-02-23,4407,4472,4407,4419,10439,-0.0015815634884771557
2011-02-24,4535,4535,4427,4511,6678,0.02081918986195963
2011-02-25,4427,4565,4407,4419,6934,-0.02039459099977836
2011-02-28,4407,4427,4329,4426,8482,0.0015840687938446507
2011-03-02,4344,4464,4287,4306,6477,-0.02711251694532313
2011-03-03,4287,4321,4287,4290,4358,-0.003715745471435161
2011-03-04,4295,4414,4263,4383,5607,0.02167832167832162
2011-03-07,4287,4427,4287,4290,4458,-0.021218343600273748
2011-03-08,4272,4378,4264,4306,6386,0.0037296037296037365
2011-03-09,4301,4336,4272,4290,5691,-0.003715745471435161
2011-03-10,4343,4343,4246,4248,15243,-0.009790209790209836
2011-03-11,4309,4309,4222,4227,11426,-0.004943502824858781
2011-03-14,4202,4202,4065,4078,12192,-0.03524958599479533
2011-03-15,4065,4145,3909,3914,20135,-0.04021579205492887
2011-03-16,3915,4095,3915,4078,11426,0.04190086867654563
2011-03-17,4009,4023,3966,3976,7718,-0.02501226091221187
2011-03-18,3959,4123,3959,4121,7691,0.03646881287726367
2011-03-21,4038,4236,4009,4240,7287,0.028876486289735492
2011-03-22,4179,4336,4179,4341,10184,0.023820754716981085
2011-03-23,4272,4427,4272,4369,9051,0.006450126698917202
