Date,Open,High,Low,Close,Volume,Change
2011-01-03,2580,2866,2572,2739,219377,0.09867629362214192
2011-01-04,2826,2826,2437,2462,108076,-0.10113179992698063
2011-01-05,2469,2501,2314,2422,69570,-0.01624695369618201
2011-01-06,2362,2441,2330,2366,40024,-0.023121387283236983
2011-01-07,2330,2445,2330,2406,28530,0.01690617075232459
2011-01-10,2382,2493,2350,2450,57720,0.018287614297589405
2011-01-11,2453,2521,2390,2426,30715,-0.009795918367346945
2011-01-12,2425,2493,2386,2386,26470,-0.016488046166529213
2011-01-13,2362,2421,2338,2402,19930,0.0067057837384745245
2011-01-14,2382,2425,2342,2382,22002,-0.008326394671107407
2011-01-17,2358,2421,2358,2398,25413,0.0067170445004198776
2011-01-18,2370,2401,2346,2382,19080,-0.006672226855713115
2011-01-19,2350,2405,2322,2406,10400,0.010075566750629816
2011-01-20,2366,2382,2342,2358,17950,-0.01995012468827928
2011-01-21,2330,2509,2326,2454,53381,0.040712468193384144
2011-01-24,2421,2517,2405,2477,37250,0.009372453137734382
2011-01-25,2521,2608,2473,2513,59130,0.014533710133225686
2011-01-26,2596,2596,2441,2489,9780,-0.009550338241146039
2011-01-27,2461,2501,2394,2430,16890,-0.023704298915226962
2011-01-28,2390,2433,2390,2426,9200,-0.0016460905349794386
2011-01-31,2394,2425,2382,2422,22270,-0.0016488046166529546
2011-02-01,2390,2421,2350,2402,29660,-0.008257638315441795
2011-02-07,2382,2413,2350,2378,19880,-0.009991673605328932
2011-02-08,2334,2374,2334,2370,6058,-0.003364171572750263
2011-02-09,2342,2374,2330,2342,4409,-0.01181434599156117
2011-02-10,2330,2346,2286,2342,4388,0.0
2011-02-11,2310,2354,2310,2350,6600,0.0034158838599487318
2011-02-14,2342,2374,2306,2350,11830,0.0
2011-02-15,2346,2378,2326,2370,8190,0.008510638297872353
2011-02-16,2362,2374,2330,2366,4740,-0.0016877637130802148
2011-02-17,2358,2370,2227,2335,24620,-0.013102282333051551
2011-02-18,2326,2354,2314,2342,4082,0.0029978586723768963
2011-02-21,2334,2346,2302,2335,2210,-0.002988898377455196
2011-02-22,2326,2362,2286,2335,4780,0.0
2011-02-23,2326,2334,2207,2335,16820,0.0
2011-02-24,2326,2382,2267,2295,16463,-0.017130620985010725
2011-02-25,2286,2338,2239,2283,19100,-0.005228758169934622
2011-02-28,2274,2274,2171,2211,7350,-0.031537450722733285
2011-03-02,2199,2207,2175,2184,3540,-0.012211668928086894
2011-03-03,2183,2203,2179,2196,16830,0.005494505494505475
2011-03-04,2195,2255,2195,2227,6460,0.014116575591985425
2011-03-07,2223,2223,2215,2223,1020,-0.0017961383026493527
2011-03-08,2219,2223,2211,2223,1910,0.0
2011-03-09,2263,2286,2211,2235,2340,0.005398110661268607
2011-03-10,2231,2231,2199,2207,4133,-0.012527964205816589
2011-03-11,2215,2215,2211,2211,410,0.0018124150430449681
2011-03-14,2207,2207,2139,2160,5414,-0.023066485753052923
2011-03-15,2159,2163,2120,2136,3190,-0.011111111111111072
2011-03-16,2135,2263,2080,2263,1170,0.05945692883895126
2011-03-17,2088,2215,2088,2144,8310,-0.052585064074237686
2011-03-18,2108,2211,2108,2211,8485,0.03125
2011-03-21,2211,2290,2183,2231,8851,0.009045680687471691
2011-03-22,2223,2243,2104,2243,19260,0.005378753922008039
2011-03-23,2183,2239,2155,2239,10060,-0.001783325902808719
2011-03-24,2231,2231,2215,2223,1750,-0.007146047342563633
