Date,Open,High,Low,Close,Volume,Change
2015-01-26,16590,17603,14565,16253,3031885,
2015-01-27,16253,16494,15433,16060,552482,-0.01187473081892576
2015-01-28,16108,18423,16012,18231,1987758,0.13518057285180562
2015-01-29,18375,19388,17748,18520,1036549,0.015852120015358517
2015-01-30,18375,19291,17941,18858,594423,0.01825053995680337
2015-02-02,19146,19822,18616,18616,472109,-0.012832750026513962
2015-02-03,19050,19918,18327,19919,425853,0.0699935539321015
2015-02-04,20063,21461,19677,20787,640907,0.043576484763291345
2015-02-05,21027,21027,19773,20401,326386,-0.018569298119016642
2015-02-06,20835,20835,19050,19629,423667,-0.037841282290083766
2015-02-09,19677,19918,18375,18520,497747,-0.05649803861633296
2015-02-10,18520,18905,17941,18568,320326,0.0025917926565874883
2015-02-11,18520,18954,18085,18231,351882,-0.018149504523912063
2015-02-12,18278,20111,18278,20015,537479,0.09785530140968679
2015-02-13,19966,20545,19581,20015,311595,0.0
2015-02-16,20111,20545,19725,19870,172220,-0.007244566575068667
2015-02-17,20015,20159,19388,20160,128874,0.014594866633115267
2015-02-23,20159,20304,19581,20063,101253,-0.004811507936507975
2015-02-24,20063,20159,19629,20015,105284,-0.0023924637392214176
2015-02-25,19966,20111,19050,19099,270428,-0.04576567574319257
2015-02-26,18954,19436,18520,19051,257805,-0.0025132205874652813
2015-02-27,19050,19677,18857,19581,215445,0.02782006193900588
2015-03-02,19388,19773,19098,19436,195667,-0.0074051376334201
2015-03-03,19677,20208,19388,20208,224829,0.03972010701790496
2015-03-04,20208,21365,20111,20690,612457,0.023851939825811463
2015-03-05,20786,20786,19966,20015,364697,-0.032624456259062296
2015-03-06,20111,20545,19918,20256,125103,0.01204096927304521
2015-03-09,20208,20786,19870,20642,157493,0.019056082148499298
2015-03-10,20593,20738,19918,20208,116014,-0.021025094467590377
2015-03-11,19773,19966,19243,19774,232006,-0.021476642913697552
2015-03-12,19773,19918,19291,19774,118211,0.0
2015-03-13,19677,20690,19677,20546,181473,0.03904116516638001
2015-03-16,20545,20786,20159,20690,128951,0.007008663486810063
2015-03-17,20835,20979,20304,20642,203745,-0.002319961333977716
2015-03-18,20497,20593,19870,20063,146974,-0.02804960759616315
2015-03-19,20400,20545,20015,20497,200348,0.021631859642127216
2015-03-20,20497,20786,19677,20015,308667,-0.023515636434600196
2015-03-23,19966,20449,19822,20256,122363,0.01204096927304521
2015-03-24,20208,21944,20063,21414,447547,0.05716824644549767
2015-03-25,21510,22667,21365,22185,613064,0.036004483048472924
2015-03-26,21992,22137,21124,21221,311003,-0.04345278341221548
2015-03-27,21269,21847,20786,21076,246840,-0.0068328542481503884
2015-03-30,20931,21896,20738,21800,239097,0.034351869424938286
2015-03-31,21992,21992,21172,21462,138299,-0.015504587155963256
2015-04-01,21365,22281,21076,22234,283854,0.03597055260460347
2015-04-02,22426,22426,21510,21607,224514,-0.028200053971395134
2015-04-03,21799,21944,21124,21607,147215,0.0
2015-04-06,21365,21606,20786,20835,237817,-0.03572916184569819
2015-04-07,20835,21896,20497,21800,307397,0.046316294696424176
2015-04-08,21751,22040,21558,21800,135562,0.0
2015-04-09,21944,22137,21510,21655,123192,-0.006651376146789012
2015-04-10,21654,22378,21510,21751,274236,0.004433156314938902
2015-04-13,22040,23005,21703,22571,217476,0.03769941611879912
2015-04-14,22474,23005,21413,21655,222182,-0.04058304904523502
2015-04-15,21896,22330,21461,22234,172287,0.026737474024474794
2015-04-16,22330,22715,21703,21800,189585,-0.019519654583070922
2015-04-17,21799,21896,20931,21607,269075,-0.008853211009174355
2015-04-20,21269,21413,20835,21366,251303,-0.011153792752348735
2015-04-21,21413,21510,20931,21028,155944,-0.01581952635027617
2015-04-22,21027,21606,20593,21414,311160,0.018356477078181443
2015-04-23,21461,22088,21124,21993,195422,0.027038386102549827
2015-04-24,22088,22812,22088,22571,487599,0.026281089437548255
2015-04-27,22571,23198,22426,22957,318510,0.017101590536529265
2015-04-28,23101,23246,22571,23005,164450,0.0020908655312106283
2015-04-29,23053,23632,22812,23536,182047,0.023081938708976235
2015-04-30,23728,23921,22715,23102,139545,-0.018439836845683177
2015-05-04,23198,23198,22088,22571,148401,-0.022985022941736655
2015-05-06,22571,22571,21896,22089,146525,-0.02135483585131359
2015-05-07,21896,22426,21510,22427,80906,0.015301733894698799
2015-05-08,22474,22860,21992,22427,155341,0.0
2015-05-11,22571,22764,22330,22716,93507,0.012886253176974227
2015-05-12,22764,23150,22571,23150,56989,0.019105476316252812
2015-05-13,23246,23294,22908,23005,89609,-0.006263498920086374
2015-05-14,22908,23198,22715,23005,75466,0.0
2015-05-15,23246,23391,21413,22427,393230,-0.025124972831992998
2015-05-18,22860,22860,21461,21896,229918,-0.023676818121014853
2015-05-19,21896,22281,21461,22089,200034,0.008814395323346824
2015-05-20,22281,22330,21558,21848,178187,-0.010910407895332486
2015-05-21,22040,22715,21799,21993,208715,0.006636763090443143
2015-05-22,22185,22667,21992,22185,188739,0.008730050470604267
2015-05-26,22426,22426,21654,21703,114394,-0.021726391706107684
2015-05-27,21654,22040,21124,21703,141102,0.0
2015-05-28,22088,22378,21220,21414,241372,-0.013316131410404108
2015-05-29,21413,22281,21172,22282,241911,0.04053422994302802
2015-06-01,22281,22378,21558,22089,148650,-0.008661700026927566
2015-06-02,22281,22281,21269,21703,131046,-0.017474761193354116
2015-06-03,21461,22137,21365,21896,84318,0.008892779800027562
2015-06-04,21654,22088,21269,21993,100343,0.00443003288271826
2015-06-05,22281,22860,21944,22282,189763,0.013140544718774239
2015-06-08,22667,22764,21944,22427,168485,0.006507494838883465
2015-06-09,22378,22860,22137,22812,130171,0.017166807865519162
