Date,Open,High,Low,Close,Volume,Change
2011-01-03,2220,2285,2210,2250,4590,0.0044642857142858094
2011-01-04,2285,2320,2245,2315,5550,0.028888888888888964
2011-01-05,2340,2435,2315,2355,10600,0.017278617710583255
2011-01-06,2310,2485,2310,2405,16980,0.02123142250530785
2011-01-07,2390,2450,2360,2370,4510,-0.014553014553014498
2011-01-10,2370,2450,2330,2435,8040,0.02742616033755274
2011-01-11,2415,2480,2400,2425,3530,-0.004106776180698102
2011-01-12,2480,2480,2350,2355,6300,-0.028865979381443307
2011-01-13,2360,2440,2360,2435,4480,0.03397027600849256
2011-01-14,2465,2465,2385,2385,5173,-0.02053388090349073
2011-01-17,2365,2455,2365,2440,6131,0.023060796645702375
2011-01-18,2440,2620,2440,2535,21710,0.03893442622950816
2011-01-19,2575,2640,2500,2505,11001,-0.011834319526627168
2011-01-20,2505,2575,2450,2470,4290,-0.013972055888223589
2011-01-21,2445,2540,2425,2450,5032,-0.0080971659919028
2011-01-24,2470,2515,2440,2475,6557,0.010204081632652962
2011-01-25,2510,2510,2460,2500,4840,0.010101010101010166
2011-01-26,2510,2545,2405,2420,6910,-0.03200000000000003
2011-01-27,2420,2435,2360,2415,5400,-0.0020661157024793875
2011-01-28,2415,2435,2365,2385,1640,-0.012422360248447228
2011-01-31,2385,2550,2385,2485,7485,0.04192872117400426
2011-02-01,2485,2790,2450,2470,10800,-0.006036217303822977
2011-02-07,2520,2540,2420,2495,6960,0.010121457489878471
2011-02-08,2490,2525,2420,2420,5260,-0.030060120240480992
2011-02-09,2420,2420,2360,2360,6500,-0.024793388429752095
2011-02-10,2355,2400,2335,2375,2580,0.006355932203389925
2011-02-11,2420,2420,2325,2345,2230,-0.012631578947368438
2011-02-14,2355,2405,2330,2345,1859,0.0
2011-02-15,2370,2370,2285,2290,3680,-0.023454157782516027
2011-02-16,2290,2315,2260,2285,2424,-0.0021834061135370675
2011-02-17,2280,2340,2270,2300,2280,0.006564551422319376
2011-02-18,2250,2370,2250,2355,3760,0.023913043478260843
2011-02-21,2355,2385,2315,2385,1160,0.01273885350318471
2011-02-22,2375,2385,2325,2330,1940,-0.023060796645702264
2011-02-23,2330,2335,2285,2310,2140,-0.008583690987124415
2011-02-24,2310,2320,2275,2310,3000,0.0
2011-02-25,2300,2420,2295,2360,14360,0.02164502164502169
2011-02-28,2350,2350,2260,2265,3841,-0.0402542372881356
2011-03-02,2345,2345,2260,2270,3470,0.002207505518763808
2011-03-03,2270,2390,2255,2360,1870,0.0396475770925111
2011-03-04,2390,2390,2315,2360,1731,0.0
2011-03-07,2360,2365,2275,2335,3300,-0.010593220338983023
2011-03-08,2335,2475,2280,2365,11250,0.012847965738758127
2011-03-09,2350,2360,2320,2350,2520,-0.006342494714587699
2011-03-10,2335,2445,2320,2415,6580,0.027659574468085202
2011-03-11,2415,2660,2415,2445,45170,0.012422360248447228
2011-03-14,2460,2540,2410,2420,13040,-0.010224948875255602
2011-03-15,2450,2570,2300,2395,20510,-0.010330578512396715
2011-03-16,2450,2505,2415,2460,6160,0.02713987473903967
2011-03-17,2425,2500,2380,2500,7780,0.016260162601626105
2011-03-18,2530,2530,2450,2450,8922,-0.020000000000000018
2011-03-21,2450,2500,2440,2470,6250,0.008163265306122547
2011-03-22,2470,2500,2400,2410,5930,-0.02429149797570851
2011-03-23,2425,2440,2405,2420,2010,0.004149377593360981
2011-03-24,2410,2460,2405,2440,2432,0.008264462809917328
2011-03-25,2480,2695,2480,2560,20940,0.049180327868852514
2011-03-28,2629,2629,2500,2555,4770,-0.001953125
2011-03-29,2555,2570,2505,2550,6035,-0.00195694716242667
2011-03-30,2580,2615,2535,2570,11703,0.007843137254901933
2011-03-31,2350,2420,2280,2325,85892,-0.09533073929961089
2011-04-01,2325,2450,2310,2380,26910,0.023655913978494647
2011-04-04,2400,2415,2355,2380,4390,0.0
2011-04-05,2365,2370,2315,2355,8980,-0.010504201680672232
2011-04-06,2355,2355,2310,2330,13480,-0.010615711252653925
2011-04-07,2325,2340,2280,2300,6910,-0.012875536480686733
2011-04-08,2300,2330,2275,2275,7492,-0.010869565217391353
2011-04-11,2340,2380,2280,2300,8751,0.01098901098901095
2011-04-12,2280,2310,2275,2300,4760,0.0
2011-04-13,2315,2315,2250,2285,5630,-0.006521739130434745
2011-04-14,2255,2280,2175,2175,10420,-0.0481400437636762
2011-04-15,2195,2315,2185,2245,15281,0.03218390804597693
2011-04-18,2260,2260,2200,2215,3760,-0.013363028953229383
2011-04-19,2195,2265,2195,2210,9880,-0.0022573363431150906
2011-04-20,2250,2265,2200,2210,6220,0.0
2011-04-21,2185,2245,2185,2210,7380,0.0
2011-04-22,2210,2215,2155,2160,4840,-0.022624434389140302
2011-04-25,2190,2190,2080,2160,9670,0.0
2011-04-26,2125,2195,2100,2150,11582,-0.00462962962962965
2011-04-27,2190,2310,2185,2220,7910,0.032558139534883734
2011-04-28,2285,2285,2150,2230,4580,0.0045045045045044585
2011-04-29,2255,2485,2190,2420,27094,0.08520179372197312
2011-05-02,2420,2620,2345,2590,16110,0.07024793388429762
2011-05-03,2535,2590,2450,2450,5777,-0.05405405405405406
2011-05-04,2600,2750,2530,2670,61012,0.0897959183673469
2011-05-06,2750,2750,2545,2630,4420,-0.014981273408239737
2011-05-09,2630,2695,2560,2660,13069,0.011406844106463865
2011-05-11,2660,2750,2530,2650,13770,-0.003759398496240629
2011-05-12,2600,2740,2574,2670,10281,0.007547169811320753
2011-05-13,2710,3070,2710,2710,32620,0.014981273408239737
2011-05-16,2710,2775,2600,2605,9944,-0.03874538745387457
2011-05-17,2610,2980,2480,2880,24356,0.10556621880998085
2011-05-18,3100,3195,2760,2760,19013,-0.04166666666666663
2011-05-19,2790,2790,2670,2670,8821,-0.03260869565217395
2011-05-20,2790,2790,2670,2700,1550,0.011235955056179803
2011-05-23,2645,2950,2295,2680,13550,-0.007407407407407418
2011-05-24,2605,2810,2605,2720,21230,0.014925373134328401
2011-05-25,2745,2745,2625,2625,2440,-0.03492647058823528
2011-05-26,2640,2690,2560,2590,2920,-0.013333333333333308
2011-05-27,2590,2590,2495,2585,8200,-0.0019305019305019266
2011-05-30,2565,2695,2550,2640,2183,0.02127659574468077
2011-05-31,2675,2910,2620,2665,13890,0.009469696969697017
2011-06-01,2740,2785,2600,2715,14971,0.018761726078799335
2011-06-02,2670,2810,2670,2810,8790,0.03499079189686927
2011-06-03,2800,3090,2610,2610,20630,-0.07117437722419928
2011-06-07,2595,2710,2590,2685,3810,0.028735632183908066
2011-06-08,2685,2700,2685,2700,880,0.005586592178770999
2011-06-09,2640,2835,2640,2810,11480,0.040740740740740744
2011-06-10,2790,2940,2670,2700,5660,-0.039145907473309594
2011-06-13,2680,2680,2555,2600,6340,-0.03703703703703709
2011-06-14,2580,2645,2570,2580,2238,-0.007692307692307665
2011-06-15,2580,2629,2560,2615,720,0.013565891472868241
2011-06-16,2580,2615,2500,2500,2726,-0.04397705544933084
2011-06-17,2525,2570,2355,2390,7921,-0.04400000000000004
