Date,Open,High,Low,Close,Volume,Change
2011-01-03,963,1029,958,992,1577745,0.04201680672268915
2011-01-04,1006,1006,967,973,709746,-0.019153225806451624
2011-01-05,972,1063,963,1001,2201368,0.02877697841726623
2011-01-06,1039,1149,1020,1149,5517213,0.14785214785214795
2011-01-07,1235,1320,1201,1321,3250418,0.14969538729329845
2011-01-10,1516,1516,1516,1516,169803,0.14761544284632855
2011-01-11,1740,1740,1678,1740,8055314,0.14775725593667555
2011-01-12,1807,1955,1735,1822,43797981,0.047126436781609105
2011-01-13,1821,1859,1549,1550,14521309,-0.14928649835345775
2011-01-14,1544,1688,1425,1507,18619894,-0.02774193548387094
2011-01-17,1511,1559,1354,1435,12037152,-0.04777704047777043
2011-01-18,1425,1506,1387,1469,9491986,0.02369337979094066
2011-01-19,1497,1516,1397,1473,8853542,0.002722940776038074
2011-01-20,1468,1616,1420,1459,13681093,-0.00950441276306857
2011-01-21,1459,1478,1349,1373,3923067,-0.058944482522275576
2011-01-24,1401,1506,1373,1493,6130539,0.08739985433357611
2011-01-25,1497,1544,1382,1421,5653894,-0.04822505023442736
2011-01-26,1420,1630,1344,1631,10574190,0.14778325123152714
2011-01-27,1621,1773,1530,1583,22267667,-0.029429797670140978
2011-01-28,1602,1769,1506,1535,21801021,-0.03032217308907137
2011-01-31,1587,1640,1449,1488,6579302,-0.030618892508143314
2011-02-01,1506,1521,1268,1273,6386940,-0.144489247311828
2011-02-07,1358,1420,1316,1388,5591631,0.09033778476040855
2011-02-08,1387,1392,1292,1297,2355664,-0.06556195965417866
2011-02-09,1311,1487,1249,1373,9825406,0.05859676175790285
2011-02-10,1382,1425,1325,1330,2915735,-0.031318281136198056
2011-02-11,1344,1363,1273,1292,2065058,-0.02857142857142858
2011-02-14,1292,1330,1244,1326,2354143,0.026315789473684292
2011-02-15,1335,1420,1301,1345,3251249,0.014328808446455454
2011-02-16,1344,1487,1344,1369,6207990,0.01784386617100364
2011-02-17,1387,1420,1235,1259,2498165,-0.0803506208911614
2011-02-18,1258,1301,1235,1287,1622920,0.02223987291501195
2011-02-21,1287,1349,1254,1292,2651126,0.0038850038850037905
2011-02-22,1292,1344,1282,1292,2776986,0.0
2011-02-23,1292,1359,1287,1316,2541711,0.018575851393188847
2011-02-24,1325,1330,1168,1192,2166179,-0.0942249240121581
