Date,Open,High,Low,Close,Volume,Change
2011-01-03,52500,52900,51700,51800,95898,-0.011450381679389277
2011-01-04,52000,53500,51900,53500,157811,0.032818532818532864
2011-01-05,53400,54400,53000,53800,132173,0.005607476635514086
2011-01-06,53500,53700,52100,52300,141981,-0.027881040892193343
2011-01-07,51700,52200,51500,51500,176877,-0.015296367112810683
2011-01-10,51800,52700,51800,52500,140128,0.01941747572815533
2011-01-11,52500,52600,51500,52500,109691,0.0
2011-01-12,52500,52500,51800,51800,156830,-0.013333333333333308
2011-01-13,52000,52500,51800,52500,116536,0.013513513513513598
2011-01-14,53000,55000,52600,54900,337186,0.04571428571428582
2011-01-17,55400,55400,54300,54600,164547,-0.005464480874316946
2011-01-18,54400,56200,54000,55900,231989,0.023809523809523725
2011-01-19,56700,56800,55100,55900,157066,0.0
2011-01-20,55800,58200,55700,57900,296158,0.035778175313059046
2011-01-21,58100,58200,56800,57400,186284,-0.008635578583765069
2011-01-24,57000,58500,55400,58100,192028,0.012195121951219523
2011-01-25,58300,58400,56500,56600,132112,-0.025817555938037917
2011-01-26,56500,56500,55200,55200,107211,-0.02473498233215543
2011-01-27,55400,56300,54600,54600,94699,-0.010869565217391353
2011-01-28,55400,55400,53500,53500,146637,-0.020146520146520186
2011-01-31,52700,53000,51100,51500,155537,-0.03738317757009346
2011-02-01,51400,52200,49750,50300,196084,-0.023300970873786353
2011-02-07,50800,51400,50500,50500,69968,0.003976143141153132
2011-02-08,50600,51000,50400,50400,75919,-0.001980198019801982
2011-02-09,50400,51100,50100,50800,66881,0.007936507936507908
2011-02-10,50900,50900,48200,50300,105814,-0.009842519685039353
2011-02-11,50300,51000,48250,48300,115251,-0.03976143141153077
2011-02-14,48500,49000,45400,45400,226455,-0.06004140786749479
2011-02-15,45000,45200,43550,44050,225533,-0.029735682819383213
2011-02-16,43700,44000,42500,42500,209467,-0.03518728717366626
2011-02-17,42050,43300,41750,41900,197453,-0.014117647058823568
2011-02-18,41750,43650,41750,43250,272886,0.03221957040572798
2011-02-21,43800,43800,41000,41500,335754,-0.040462427745664775
2011-02-22,40900,40900,39000,39100,273460,-0.05783132530120483
2011-02-23,39100,39950,38550,38700,159512,-0.010230179028132946
2011-02-24,38550,42100,38550,40750,752706,0.05297157622739013
2011-02-25,41000,41050,38700,39450,338807,-0.031901840490797584
2011-02-28,39100,39450,38300,38750,168610,-0.017743979721166037
2011-03-02,39200,40250,38750,38800,168193,0.001290322580645098
2011-03-03,39350,40500,39200,40000,113997,0.030927835051546282
2011-03-04,40700,40700,39550,40400,116292,0.010000000000000009
2011-03-07,40100,42050,40100,41400,214440,0.024752475247524774
2011-03-08,42100,42400,41000,41150,144818,-0.006038647342995196
2011-03-09,41350,43150,41350,41800,289381,0.015795868772782606
2011-03-10,42200,42900,42000,42900,168625,0.026315789473684292
2011-03-11,42250,42750,41200,41350,158317,-0.036130536130536184
2011-03-14,37300,38950,35150,35250,666155,-0.1475211608222491
2011-03-15,34500,36050,31150,32450,581344,-0.07943262411347518
2011-03-16,33000,36200,32800,34900,463324,0.07550077041602465
2011-03-17,33150,34750,33100,34300,190494,-0.017191977077363862
2011-03-18,35400,36150,34700,35750,251481,0.042274052478134205
2011-03-21,36800,40900,36800,40100,627562,0.12167832167832171
2011-03-22,40650,42550,38900,39050,508314,-0.026184538653366562
2011-03-23,40000,41000,39300,39600,129229,0.014084507042253502
2011-03-24,40400,40450,39400,40100,114352,0.012626262626262541
2011-03-25,40000,40100,39300,39700,125364,-0.009975062344139696
2011-03-28,38200,38800,37300,37350,249887,-0.05919395465994959
2011-03-29,36850,37800,36250,37800,186317,0.012048192771084265
2011-03-30,38050,40100,37800,38500,247475,0.0185185185185186
2011-03-31,38850,39350,38400,38700,111891,0.0051948051948051965
2011-04-01,38850,39800,38500,39800,126403,0.028423772609819098
2011-04-04,40150,40150,38900,39150,108989,-0.01633165829145733
2011-04-05,39400,39500,38550,39100,98835,-0.0012771392081737387
2011-04-06,39100,39500,38150,38350,139284,-0.019181585677749413
2011-04-07,38400,38500,37700,37850,136671,-0.013037809647979182
2011-04-08,37950,38450,37850,38200,115576,0.009247027741083214
2011-04-11,39250,39850,38250,38250,140927,0.0013089005235602524
2011-04-12,38050,38600,37300,37400,86209,-0.022222222222222254
2011-04-13,37500,37550,36150,36200,154409,-0.03208556149732622
2011-04-14,36100,36550,35300,35650,125333,-0.015193370165745845
2011-04-15,35500,36650,35400,35850,95994,0.005610098176718203
2011-04-18,35700,36000,34250,34900,156840,-0.02649930264993028
2011-04-19,34300,35000,34150,34500,87207,-0.011461318051575908
2011-04-20,35000,35000,34100,34150,93977,-0.010144927536231862
2011-04-21,34200,34200,33100,33200,173961,-0.027818448023426035
2011-04-22,33050,33600,32300,33600,137065,0.012048192771084265
2011-04-25,33600,33750,32950,33100,108915,-0.014880952380952328
2011-04-26,32600,32800,31250,31350,220357,-0.052870090634441036
2011-04-27,31400,33550,31400,33450,185573,0.06698564593301426
2011-04-28,33700,33950,32400,32400,120503,-0.03139013452914796
2011-04-29,32850,33050,32000,32800,63019,0.012345679012345734
2011-05-02,33000,33900,32950,33850,105904,0.03201219512195119
2011-05-03,34200,34750,33750,33800,117101,-0.001477104874446078
2011-05-04,34450,35850,34100,35800,292793,0.059171597633136175
2011-05-06,35900,37000,35300,36550,192196,0.020949720670391025
2011-05-09,37000,37700,35250,35400,142160,-0.03146374829001364
2011-05-11,35400,35550,33950,33950,126579,-0.04096045197740117
2011-05-12,33750,33900,33100,33400,82482,-0.016200294550810068
2011-05-13,33400,33650,32600,32850,100487,-0.01646706586826352
2011-05-16,32850,33200,32650,32800,59670,-0.0015220700152207556
2011-05-17,32800,33300,32650,33200,34221,0.012195121951219523
2011-05-18,33000,34150,33000,33300,66095,0.003012048192771122
2011-05-19,33400,33500,32700,32700,62033,-0.018018018018018056
2011-05-20,32550,32750,32050,32350,70521,-0.010703363914373099
2011-05-23,32300,32550,31500,31600,73332,-0.023183925811437356
2011-05-24,31100,31700,30650,30750,108007,-0.026898734177215222
2011-05-25,30650,32000,30650,31350,73397,0.019512195121951237
2011-05-26,31400,31800,31100,31750,244259,0.012759170653907415
2011-05-27,31850,33000,31750,33000,97410,0.03937007874015741
2011-05-30,33250,33250,31700,31700,56544,-0.039393939393939426
2011-05-31,31200,33700,30650,33700,208978,0.06309148264984232
2011-06-01,33100,33350,32500,32650,74504,-0.03115727002967361
2011-06-02,32100,33550,31800,33200,76402,0.016845329249617125
2011-06-03,33400,34650,32950,34200,113558,0.030120481927710774
2011-06-07,34200,34200,32700,32900,57932,-0.03801169590643272
2011-06-08,32900,33850,32650,32650,44483,-0.0075987841945288626
2011-06-09,32400,33400,32400,33400,39453,0.02297090352220521
2011-06-10,33400,33650,32650,33200,34844,-0.005988023952095856
2011-06-13,32500,32800,32300,32350,36802,-0.025602409638554202
2011-06-14,32000,32350,31550,31900,57889,-0.01391035548686248
2011-06-15,32000,33300,31900,32400,62997,0.01567398119122254
2011-06-16,32000,32300,31700,31700,55739,-0.021604938271604923
2011-06-17,31700,32000,30650,30650,75470,-0.03312302839116721
2011-06-20,30750,32450,30700,31000,65931,0.011419249592169667
2011-06-21,31400,31600,30800,31000,62300,0.0
2011-06-22,31000,31500,30950,31200,57174,0.006451612903225712
2011-06-23,31500,31550,30950,31550,56823,0.011217948717948678
2011-06-24,31250,31950,31100,31800,130455,0.007923930269413626
2011-06-27,31700,31700,31100,31300,65481,-0.01572327044025157
2011-06-28,31600,32300,31550,31550,138936,0.007987220447284393
2011-06-29,31800,31850,31450,31550,68284,0.0
2011-06-30,31800,31800,31100,31550,67832,0.0
2011-07-01,31600,32950,31450,32900,292895,0.04278922345483349
2011-07-04,32900,33550,32450,33350,192379,0.013677811550151908
2011-07-05,33300,35700,32900,34850,388985,0.044977511244377766
2011-07-06,34800,35650,34800,35650,185755,0.022955523672883782
2011-07-07,36150,38050,35800,37700,360845,0.057503506311360475
2011-07-08,37600,38150,36500,37100,168981,-0.01591511936339518
2011-07-11,37000,37700,36750,37000,94970,-0.0026954177897574594
2011-07-12,36450,36450,35050,35600,176420,-0.037837837837837784
2011-07-13,35600,36650,35600,36300,105466,0.0196629213483146
2011-07-14,36300,36750,36000,36750,72803,0.012396694214876103
2011-07-15,36900,37950,36750,37700,96041,0.02585034013605436
2011-07-18,38000,38150,36950,38150,88181,0.011936339522546469
2011-07-19,38050,38350,37600,38300,102826,0.003931847968545288
2011-07-20,38500,39350,38150,39050,216235,0.019582245430809442
2011-07-21,39000,39000,38500,38500,796079,-0.014084507042253502
2011-07-22,37500,41050,37300,40900,478692,0.06233766233766236
2011-07-25,41150,42550,40500,41700,494390,0.019559902200489088
2011-07-26,41650,42000,40050,41950,194690,0.005995203836930418
2011-07-27,41500,42400,40950,42300,176143,0.008343265792610355
2011-07-28,41500,42300,40700,41300,107562,-0.023640661938534313
2011-07-29,41050,41500,40200,40200,125223,-0.0266343825665859
2011-08-01,40300,41400,40300,41000,88210,0.01990049751243772
2011-08-02,41600,41750,40250,41100,159496,0.0024390243902439046
2011-08-03,40500,40500,39550,39650,167215,-0.035279805352798066
2011-08-04,39950,40050,37900,38250,123670,-0.035308953341740223
2011-08-05,36150,36850,35450,35800,152889,-0.06405228758169934
2011-08-08,35500,36700,32500,34000,154893,-0.05027932960893855
2011-08-09,32250,33000,30750,32850,206274,-0.0338235294117647
2011-08-10,34700,37750,34350,37750,253009,0.14916286149162872
2011-08-11,36050,40650,36000,39500,363239,0.04635761589403975
2011-08-12,40700,40700,38000,38000,193654,-0.03797468354430378
2011-08-16,39600,39700,38400,39000,143738,0.026315789473684292
2011-08-17,38950,40900,38500,39700,247837,0.017948717948717885
2011-08-18,39500,40300,38200,38750,116402,-0.023929471032745564
2011-08-19,37000,37900,36500,36500,103413,-0.058064516129032295
2011-08-22,36500,38400,35950,38400,119930,0.05205479452054784
2011-08-23,38550,40100,38550,40000,150990,0.04166666666666674
2011-08-24,40500,40750,37500,39300,86783,-0.01749999999999996
2011-08-25,39500,40350,38200,38200,83695,-0.027989821882951627
2011-08-26,38200,38750,37500,38450,47936,0.00654450261780104
2011-08-29,39000,39100,38400,38900,50494,0.011703511053315907
2011-08-30,38900,39300,38150,38150,65860,-0.019280205655527016
2011-08-31,38400,38800,38100,38400,52361,0.006553079947575258
2011-09-01,39000,39000,37900,38000,68955,-0.01041666666666663
2011-09-02,38050,38150,37450,37600,41434,-0.010526315789473717
2011-09-05,37000,37400,35900,36300,73465,-0.034574468085106336
2011-09-06,36000,37100,35850,36150,50774,-0.004132231404958664
2011-09-07,37100,37250,36400,37100,34734,0.026279391424619547
2011-09-08,37500,37500,36150,36150,38798,-0.025606469002695365
2011-09-09,36150,36700,35500,35500,38323,-0.017980636237897696
2011-09-14,35500,35500,32700,32750,147191,-0.07746478873239437
2011-09-15,34000,34200,31800,32150,165829,-0.018320610687022953
2011-09-16,33600,33700,32450,33200,147850,0.03265940902021769
2011-09-19,32800,32950,32150,32300,126048,-0.027108433734939763
2011-09-20,32300,33550,32250,33350,148284,0.03250773993808043
2011-09-21,33850,34200,33500,34150,151953,0.02398800599700146
2011-09-22,33300,33700,32900,33300,80589,-0.024890190336749662
2011-09-23,32000,32500,31500,31500,95870,-0.05405405405405406
2011-09-26,31800,31950,27550,27550,168631,-0.1253968253968254
2011-09-27,28500,29500,28000,28300,136142,0.02722323049001818
2011-09-28,28500,29300,28100,28100,130353,-0.007067137809187329
2011-09-29,28100,29250,28050,29000,94649,0.03202846975088969
2011-09-30,29300,30500,29100,30400,119039,0.048275862068965614
2011-10-04,28850,29150,28400,28950,112920,-0.047697368421052655
2011-10-05,30000,30000,28550,28850,56393,-0.003454231433506094
2011-10-06,30000,31000,29600,31000,78882,0.07452339688041598
2011-10-07,31750,32250,31300,31700,56422,0.022580645161290214
2011-10-10,31750,31950,31050,31600,48560,-0.003154574132492094
2011-10-11,32400,32700,31200,31200,90613,-0.012658227848101222
2011-10-12,30850,32150,30850,31000,72590,-0.0064102564102563875
2011-10-13,31650,32950,31300,32950,120066,0.06290322580645169
2011-10-14,32900,32950,31500,32650,101989,-0.009104704097116834
2011-10-17,32700,33000,32350,32600,46706,-0.0015313935681470214
2011-10-18,31800,32450,31550,32200,53088,-0.012269938650306789
2011-10-19,32400,32600,31600,31750,58742,-0.013975155279503104
2011-10-20,31750,32100,31000,31100,40099,-0.020472440944881876
2011-10-21,31800,31800,30750,31150,37474,0.001607717041800738
2011-10-24,31600,33000,31600,32950,93441,0.057784911717496
2011-10-25,32950,33000,32650,32900,47259,-0.0015174506828528056
2011-10-26,31950,32600,31950,32300,89601,-0.018237082066869248
2011-10-27,32850,32900,32000,32400,122783,0.003095975232198178
2011-10-28,33100,33200,31750,31850,149951,-0.016975308641975273
2011-10-31,32050,32050,30600,30950,147444,-0.028257456828885363
2011-11-01,30950,33100,30150,33000,207547,0.06623586429725359
2011-11-02,32300,37900,32000,35600,694653,0.07878787878787885
2011-11-03,35200,37400,34100,35200,407746,-0.011235955056179803
2011-11-04,36200,38000,35850,37450,205855,0.06392045454545459
2011-11-07,41200,42900,39850,40000,1359463,0.06809078771695587
2011-11-08,40000,40000,38150,38150,384880,-0.04625000000000001
2011-11-09,38250,38400,35200,36950,495662,-0.03145478374836175
2011-11-10,35750,36700,35050,36100,170561,-0.023004059539918797
2011-11-11,36750,36750,34900,35050,169187,-0.02908587257617734
2011-11-14,35350,36500,35300,35600,104414,0.015691868758915817
2011-11-15,35200,37250,34950,35350,403725,-0.0070224719101124045
2011-11-16,35550,36400,34500,34500,138805,-0.0240452616690241
2011-11-17,34500,37000,34200,36800,240276,0.06666666666666665
2011-11-18,36400,36700,35200,35750,121994,-0.028532608695652217
2011-11-21,35400,36200,34800,34800,100086,-0.02657342657342654
2011-11-22,35800,37300,35400,37100,231827,0.06609195402298851
2011-11-23,37050,37050,35650,36200,108126,-0.02425876010781669
2011-11-24,36150,36500,35300,35600,73927,-0.016574585635359074
2011-11-25,34800,36400,34700,36400,98231,0.022471910112359605
2011-11-28,36900,37100,36000,36750,73723,0.009615384615384581
2011-11-29,36850,36950,35600,36000,72494,-0.020408163265306145
2011-11-30,36100,36500,35100,35300,72381,-0.019444444444444486
2011-12-01,36100,36450,35600,36350,85563,0.02974504249291776
2011-12-02,36700,36750,36000,36350,49682,0.0
2011-12-05,36350,37850,35900,37750,91286,0.038514442916093516
2011-12-06,37500,39200,37300,38600,192673,0.02251655629139071
2011-12-07,38900,40850,38100,40800,290105,0.05699481865284972
2011-12-08,40500,41450,40050,41000,516521,0.004901960784313708
2011-12-09,40500,42450,40150,42050,662896,0.025609756097561
2011-12-12,42050,45600,41300,44700,442035,0.06302021403091551
2011-12-13,44100,45600,44100,44800,225640,0.0022371364653244186
2011-12-14,44500,45300,42600,44400,204057,-0.008928571428571397
2011-12-15,44000,44900,41150,41400,228485,-0.06756756756756754
2011-12-16,41250,44500,41050,43800,183023,0.05797101449275366
2011-12-19,43400,44000,40100,41800,123759,-0.045662100456621
2011-12-20,41150,42400,41150,41500,74759,-0.0071770334928229484
2011-12-21,42500,43250,41700,42600,103743,0.026506024096385472
