Date,Open,High,Low,Close,Volume,Change
2011-01-03,3200,3200,3155,3165,10668,-0.009389671361502372
2011-01-04,3155,3220,3150,3200,8411,0.011058451816745585
2011-01-05,3155,3220,3140,3220,12339,0.006250000000000089
2011-01-06,3195,3230,3160,3230,989,0.0031055900621117516
2011-01-07,3220,3220,3150,3195,12667,-0.010835913312693513
2011-01-10,3200,3200,3175,3200,64,0.0015649452269170805
2011-01-11,3210,3210,3150,3175,14074,-0.0078125
2011-01-12,3155,3190,3155,3185,2053,0.0031496062992126816
2011-01-13,3195,3195,3155,3170,3023,-0.004709576138147598
2011-01-14,3155,3180,3145,3160,3096,-0.003154574132492094
2011-01-17,3200,3200,3140,3165,11093,0.0015822784810126667
2011-01-18,3165,3165,3140,3150,7083,-0.004739336492891044
2011-01-19,3130,3220,3130,3155,2041,0.0015873015873015817
2011-01-20,3170,3255,3140,3165,690,0.0031695721077653616
2011-01-21,3165,3170,3120,3150,6357,-0.004739336492891044
2011-01-24,3145,3145,3120,3145,9422,-0.0015873015873015817
2011-01-25,3125,3190,3100,3180,13336,0.0111287758346581
2011-01-26,3125,3170,3070,3090,4760,-0.028301886792452824
2011-01-27,3110,3200,3090,3125,6100,0.01132686084142387
2011-01-28,3265,3265,3090,3100,1461,-0.008000000000000007
2011-01-31,3080,3150,3015,3080,1689,-0.006451612903225823
2011-02-01,3170,3170,3080,3150,3260,0.022727272727272707
2011-02-07,3180,3180,3160,3160,530,0.0031746031746031633
2011-02-08,3140,3170,3140,3145,235,-0.004746835443038
2011-02-09,3200,3200,2970,3000,10772,-0.04610492845786962
2011-02-10,3000,3050,2990,3025,6782,0.008333333333333304
2011-02-11,3010,3080,3010,3065,2044,0.013223140495867813
2011-02-14,3015,3070,3015,3070,262,0.0016313213703098572
2011-02-15,3015,3060,3015,3060,440,-0.0032573289902280145
2011-02-16,3100,3100,3005,3085,1016,0.008169934640522847
2011-02-17,3090,3090,2995,3020,6343,-0.021069692058346856
2011-02-18,3025,3150,2955,3070,9266,0.01655629139072845
2011-02-21,3110,3110,3025,3085,438,0.004885993485342022
2011-02-22,3080,3080,3030,3080,3335,-0.0016207455429497752
2011-02-23,3120,3200,3050,3100,7278,0.006493506493506551
2011-02-24,3180,3180,3080,3120,5235,0.006451612903225712
2011-02-25,3120,3120,3100,3100,2974,-0.0064102564102563875
2011-02-28,3200,3200,3050,3115,5205,0.004838709677419395
2011-03-02,3060,3090,3040,3080,4745,-0.011235955056179803
2011-03-03,3080,3120,3060,3115,1839,0.011363636363636465
2011-03-04,3120,3120,3105,3110,2210,-0.0016051364365970988
2011-03-07,3090,3090,3040,3080,5802,-0.009646302250803873
2011-03-08,3040,3080,3040,3045,5920,-0.011363636363636354
2011-03-09,3065,3150,3050,3145,2899,0.03284072249589487
2011-03-10,3145,3175,3035,3130,4127,-0.004769475357710662
2011-03-11,3200,3200,3050,3110,325,-0.006389776357827448
2011-03-14,3135,3135,2990,3120,2619,0.003215434083601254
2011-03-15,3120,3120,3045,3095,2025,-0.008012820512820484
2011-03-16,3035,3090,3030,3090,415,-0.001615508885298822
2011-03-17,3050,3080,3005,3080,1507,-0.003236245954692518
2011-03-18,3085,3120,2940,3080,3958,0.0
2011-03-21,3010,3095,3010,3095,1565,0.004870129870129913
2011-03-22,3095,3095,3095,3095,252,0.0
2011-03-23,3095,3095,3035,3095,4460,0.0
2011-03-24,3055,3130,3055,3070,1648,-0.008077544426494332
2011-03-25,3050,3130,3050,3100,172,0.009771986970684043
2011-03-28,3125,3125,3050,3125,5865,0.008064516129032251
2011-03-29,3130,3130,3070,3130,801,0.0016000000000000458
2011-03-30,3080,3140,3080,3140,7060,0.0031948881789136685
2011-03-31,3140,3160,3100,3160,8312,0.006369426751592355
2011-04-01,3160,3295,3110,3200,33608,0.012658227848101333
2011-04-04,3240,3390,3230,3265,14915,0.020312499999999956
2011-04-05,3295,3295,3200,3260,7193,-0.0015313935681470214
2011-04-06,3225,3295,3225,3275,3953,0.004601226993865115
2011-04-07,3240,3275,3200,3210,8076,-0.01984732824427482
2011-04-08,3240,3240,3195,3225,1036,0.004672897196261738
2011-04-11,3250,3250,3200,3240,662,0.0046511627906977715
2011-04-12,3240,3240,3185,3195,5611,-0.01388888888888884
2011-04-13,3160,3235,3150,3195,7572,0.0
2011-04-14,3225,3225,3170,3205,1117,0.003129890453834161
2011-04-15,3235,3235,3175,3205,343,0.0
2011-04-18,3240,3260,3200,3215,5173,0.0031201248049921304
2011-04-19,3230,3400,3230,3350,11998,0.04199066874028001
2011-04-20,3400,3490,3315,3350,27168,0.0
2011-04-21,3305,3360,3290,3340,5409,-0.0029850746268657025
2011-04-22,3300,3340,3295,3335,3728,-0.0014970059880239361
2011-04-25,3370,3420,3310,3340,2671,0.0014992503748125774
2011-04-26,3300,3330,3250,3285,2395,-0.01646706586826352
2011-04-27,3215,3285,3215,3260,3811,-0.007610350076103556
2011-04-28,3210,3310,3210,3295,269,0.010736196319018454
2011-04-29,3290,3290,3205,3230,6367,-0.019726858877086473
2011-05-02,3165,3265,3150,3180,5285,-0.015479876160990669
2011-05-03,3220,3255,3160,3255,2553,0.02358490566037741
2011-05-04,3255,3255,3185,3200,116,-0.016897081413210446
2011-05-06,3160,3170,3160,3165,1570,-0.010937500000000044
2011-05-09,3120,3280,3120,3260,127,0.03001579778830954
2011-05-11,3180,3255,3175,3175,1426,-0.0260736196319018
2011-05-12,3175,3300,3175,3230,2650,0.017322834645669305
2011-05-13,3200,3240,3185,3220,324,-0.003095975232198178
2011-05-16,3175,3230,3175,3185,1243,-0.010869565217391353
2011-05-17,3250,3250,3170,3170,2376,-0.004709576138147598
2011-05-18,3130,3290,3130,3200,3338,0.009463722397476282
2011-05-19,3200,3200,3150,3200,5860,0.0
2011-05-20,3060,3245,3060,3235,406,0.010937500000000044
2011-05-23,3250,3250,3240,3240,97,0.0015455950540959051
2011-05-24,3235,3235,3180,3235,50,-0.0015432098765432167
2011-05-25,3210,3210,3115,3155,762,-0.02472952086553326
2011-05-26,3235,3235,3155,3220,1509,0.020602218700475516
2011-05-27,3370,3370,3150,3185,3835,-0.010869565217391353
2011-05-30,3150,3200,3150,3200,14396,0.0047095761381474865
2011-05-31,3160,3160,3160,3160,200,-0.012499999999999956
2011-06-01,3130,3220,3130,3215,287,0.017405063291139333
2011-06-02,3125,3190,3125,3160,1858,-0.017107309486780742
2011-06-03,3200,3200,3180,3180,196,0.006329113924050667
2011-06-07,3180,3210,3150,3185,2444,0.0015723270440251014
2011-06-08,3210,3210,3195,3195,16,0.0031397174254317317
2011-06-09,3195,3195,3100,3180,475,-0.0046948356807511304
2011-06-10,3190,3190,3150,3175,1536,-0.0015723270440252124
2011-06-13,3170,3175,3100,3110,893,-0.020472440944881876
2011-06-14,3170,3275,3080,3170,5618,0.019292604501607746
2011-06-15,3100,3185,3005,3185,3442,0.004731861198738141
2011-06-16,3070,3250,3060,3195,192,0.0031397174254317317
2011-06-17,3105,3250,3070,3090,1440,-0.032863849765258246
2011-06-20,3180,3180,3180,3180,10,0.029126213592232997
2011-06-21,3175,3180,3105,3175,225,-0.0015723270440252124
2011-06-22,3195,3195,3070,3155,2046,-0.006299212598425252
2011-06-23,3080,3145,3060,3145,1769,-0.0031695721077654726
2011-06-24,3075,3130,3065,3080,2152,-0.020667726550079535
2011-06-27,3080,3440,3045,3065,3736,-0.004870129870129913
2011-06-28,3050,3100,3045,3100,2492,0.011419249592169667
2011-06-29,3160,3160,3070,3080,3757,-0.006451612903225823
2011-06-30,3160,3160,3080,3100,2656,0.006493506493506551
2011-07-01,3100,3270,3080,3110,3864,0.003225806451612856
2011-07-04,3130,3180,3095,3125,560,0.004823151125401992
2011-07-05,3140,3140,3100,3140,688,0.0047999999999999154
2011-07-06,3140,3175,3095,3175,1600,0.011146496815286566
2011-07-07,3110,3200,3100,3100,7294,-0.023622047244094446
2011-07-08,3115,3380,3115,3120,7392,0.006451612903225712
2011-07-11,3135,3135,3120,3120,1679,0.0
2011-07-12,3270,3270,3120,3120,1100,0.0
2011-07-13,3135,3175,3110,3175,568,0.017628205128205066
2011-07-14,3195,3200,3140,3140,711,-0.011023622047244053
2011-07-15,3255,3255,3140,3175,2764,0.011146496815286566
2011-07-18,3175,3205,3175,3180,3528,0.0015748031496063408
2011-07-19,3180,3205,3150,3205,564,0.007861635220125729
2011-07-20,3275,3275,3205,3205,52,0.0
2011-07-21,3205,3205,3140,3180,4564,-0.007800312012480548
2011-07-22,3150,3195,3150,3190,38,0.003144654088050425
2011-07-25,3170,3230,3170,3200,216,0.0031347962382444194
2011-07-26,3200,3245,3155,3230,4836,0.009374999999999911
2011-07-27,3200,3475,3200,3225,8690,-0.001547987616099089
2011-07-28,3255,3265,3215,3260,582,0.010852713178294504
2011-07-29,3240,3295,3215,3230,2927,-0.009202453987730008
2011-08-01,3290,3290,3235,3240,834,0.003095975232198178
2011-08-02,3240,3240,3205,3205,2627,-0.010802469135802517
2011-08-03,3180,3245,3175,3230,1305,0.007800312012480548
2011-08-04,3230,3400,3190,3200,3343,-0.009287925696594423
2011-08-05,3190,3190,3050,3155,4459,-0.014062499999999978
2011-08-08,3410,3410,2950,3135,1518,-0.006339144215530945
2011-08-09,2670,3190,2670,3045,1472,-0.028708133971291905
2011-08-10,3045,3190,3040,3135,3807,0.029556650246305383
2011-08-11,3100,3135,3100,3135,1867,0.0
2011-08-12,3100,3135,3100,3100,807,-0.011164274322169043
2011-08-16,3190,3190,3065,3130,1770,0.00967741935483879
2011-08-17,2975,3125,2975,3060,13033,-0.022364217252396124
2011-08-18,3075,3075,3000,3000,2016,-0.019607843137254943
2011-08-19,3090,3090,2910,2965,328,-0.011666666666666714
2011-08-22,3100,3100,2970,3045,104,0.026981450252951067
2011-08-23,3045,3145,3040,3120,1370,0.024630541871921263
2011-08-24,3110,3120,3110,3115,181,-0.0016025641025640969
2011-08-25,3115,3195,3055,3140,622,0.008025682182985605
2011-08-26,3095,3135,3045,3135,432,-0.0015923566878981443
