Date,Open,High,Low,Close,Volume,Change
2016-06-24,16700,19150,13800,14600,7602009,
2016-06-27,15050,16750,14050,15350,2675136,0.051369863013698724
2016-06-28,15150,15650,14800,15000,662129,-0.0228013029315961
2016-06-29,15500,15750,14800,14800,583610,-0.013333333333333308
2016-06-30,14900,15150,14050,14250,507869,-0.03716216216216217
2016-07-01,14350,14600,14200,14250,412458,0.0
2016-07-04,14450,14600,14200,14200,318599,-0.0035087719298245723
2016-07-05,14300,14600,14050,14200,251936,0.0
2016-07-06,14250,14450,13950,14000,208087,-0.014084507042253502
2016-07-07,14100,14200,14000,14100,124169,0.0071428571428571175
2016-07-08,14150,14250,13600,13750,229843,-0.024822695035460973
2016-07-11,13650,13750,13150,13250,295488,-0.036363636363636376
2016-07-12,13350,14250,12900,14250,680550,0.07547169811320753
2016-07-13,14850,15050,13950,14000,551209,-0.01754385964912286
2016-07-14,14000,14000,13350,13550,250127,-0.03214285714285714
2016-07-15,13650,14200,13650,13900,223867,0.02583025830258312
2016-07-18,13900,14200,13800,14050,97454,0.010791366906474753
2016-07-19,14050,14650,14050,14300,235154,0.017793594306049876
2016-07-20,14400,14750,14350,14650,230851,0.02447552447552437
2016-07-21,14800,15850,14700,15200,545782,0.03754266211604085
2016-07-22,15200,15400,14750,15400,135970,0.013157894736842035
2016-07-25,15400,15400,14800,14800,202482,-0.038961038961038974
2016-07-26,14750,14800,14150,14500,143308,-0.020270270270270285
2016-07-27,14500,15000,14350,14750,143587,0.01724137931034475
2016-07-28,14750,14850,14550,14750,77981,0.0
2016-07-29,14800,15400,14500,15350,210991,0.04067796610169494
2016-08-01,15550,16300,15350,16150,367533,0.05211726384364823
2016-08-02,16000,16500,15850,16450,263720,0.018575851393188847
2016-08-03,16300,16500,15850,15850,152739,-0.03647416413373861
2016-08-04,16100,16350,15700,16350,159429,0.03154574132492116
2016-08-05,16500,16500,16100,16250,146141,-0.006116207951070374
2016-08-08,16300,16300,15350,15700,182945,-0.03384615384615386
2016-08-09,15700,15950,15450,15700,84449,0.0
2016-08-10,15700,16000,15550,15750,89600,0.0031847133757962887
2016-08-11,15750,16100,15400,16100,127320,0.022222222222222143
2016-08-12,16100,16300,15950,16000,81255,-0.006211180124223614
2016-08-16,15850,16000,15000,15000,219360,-0.0625
2016-08-17,15050,15250,14600,15000,108325,0.0
2016-08-18,15350,15450,15000,15050,80783,0.0033333333333334103
2016-08-19,14850,15000,14500,14500,134502,-0.03654485049833889
2016-08-22,14500,14500,14200,14400,49078,-0.006896551724137945
2016-08-23,14400,14650,14050,14050,79585,-0.02430555555555558
2016-08-24,14050,14600,14050,14350,63670,0.021352313167259718
2016-08-25,14350,14400,14100,14300,35056,-0.0034843205574912606
2016-08-26,14300,14300,14000,14300,47221,0.0
2016-08-29,14250,14300,13600,13750,74949,-0.038461538461538436
2016-08-30,13800,14100,13700,13750,60022,0.0
2016-08-31,13850,13950,13500,13900,79423,0.01090909090909098
2016-09-01,13800,14200,13700,14150,43076,0.017985611510791477
2016-09-02,14150,14200,13950,14100,27289,-0.0035335689045936647
2016-09-05,14100,14100,13850,13900,54754,-0.014184397163120588
2016-09-06,13950,14050,13750,14050,62970,0.010791366906474753
2016-09-07,14150,14500,14050,14350,84856,0.021352313167259718
2016-09-08,14400,14400,13800,13850,155407,-0.03484320557491294
2016-09-09,13800,14000,13550,13650,79653,-0.014440433212996373
2016-09-12,13300,13450,13200,13250,52496,-0.02930402930402931
2016-09-13,13450,13450,13150,13250,42015,0.0
2016-09-19,13100,13750,13100,13400,67957,0.01132075471698113
2016-09-20,13300,13550,13300,13450,27400,0.003731343283582156
2016-09-21,13500,14050,13450,13950,95219,0.037174721189590976
2016-09-22,14050,14150,13800,13850,74322,-0.007168458781361964
2016-09-23,13800,14150,13650,13700,60571,-0.010830324909747335
2016-09-26,13700,13750,13300,13450,48890,-0.018248175182481785
2016-09-27,13450,13600,13250,13500,92716,0.0037174721189590088
2016-09-28,13500,13600,13200,13200,69041,-0.022222222222222254
2016-09-29,13300,13500,13200,13300,65610,0.007575757575757569
2016-09-30,13300,13350,13100,13150,51639,-0.011278195488721776
2016-10-04,13200,13400,13150,13250,72126,0.0076045627376426506
2016-10-05,13250,13400,13200,13250,51815,0.0
2016-10-06,13300,13400,13200,13250,62719,0.0
2016-10-07,13250,13750,13200,13400,66706,0.01132075471698113
2016-10-10,13550,13850,13450,13550,64634,0.011194029850746245
2016-10-11,13550,13800,13450,13600,61992,0.0036900369003689537
2016-10-12,13400,13550,13250,13300,68755,-0.022058823529411797
2016-10-13,13350,13400,13150,13150,48487,-0.011278195488721776
2016-10-14,13200,13200,12950,12950,62177,-0.01520912547528519
2016-10-17,13000,13050,12550,12550,83884,-0.030888030888030937
2016-10-18,12550,12650,12200,12350,88231,-0.015936254980079667
2016-10-19,12350,12600,12000,12100,169658,-0.020242914979757054
2016-10-20,12200,12350,11600,11850,109742,-0.02066115702479343
2016-10-21,11900,12150,11850,11950,67950,0.00843881856540074
2016-10-24,11850,12150,11850,11950,56052,0.0
