Date,Open,High,Low,Close,Volume,Change
2018-06-01,13200,17150,13200,17150,426760,
2018-06-04,19950,22250,19900,22250,1318127,0.2973760932944607
2018-06-05,27200,28900,26300,28900,2449058,0.29887640449438213
2018-06-07,31300,36450,29150,31000,3238345,0.0726643598615917
2018-06-08,31250,35450,31150,32000,1491069,0.032258064516129004
2018-06-11,34350,34500,29250,31500,1359270,-0.015625
2018-06-12,30850,31000,28000,28250,533335,-0.10317460317460314
2018-06-14,26800,27000,22350,23500,418751,-0.16814159292035402
2018-06-15,22900,30550,21800,30550,2495153,0.30000000000000004
2018-06-18,29000,37850,28750,33500,4757184,0.09656301145662849
2018-06-19,33350,39350,33250,34200,2004043,0.020895522388059806
2018-06-20,35800,37000,33600,33700,677335,-0.014619883040935644
2018-06-21,35400,38450,33400,34200,1582150,0.014836795252225476
2018-06-22,36800,37500,30600,32200,1076335,-0.05847953216374269
2018-06-25,31800,34100,30100,30100,537883,-0.06521739130434778
2018-06-26,29200,30000,27450,27500,425901,-0.08637873754152825
2018-06-27,27800,28500,23600,24800,506095,-0.09818181818181815
2018-06-28,24750,32200,24550,32200,2401475,0.2983870967741935
2018-06-29,35400,36250,30200,31400,2773533,-0.024844720496894457
2018-07-02,29350,33250,28700,28700,1251621,-0.0859872611464968
2018-07-03,30350,32350,29300,32050,1637771,0.11672473867595823
2018-07-04,31150,32600,30800,31300,712068,-0.023400936037441533
2018-07-05,31750,33050,29750,29850,766990,-0.04632587859424919
2018-07-06,31150,31550,28400,30300,665941,0.015075376884422065
2018-07-09,28500,29500,26800,27600,329965,-0.08910891089108908
2018-07-10,28500,28750,27300,27450,161285,-0.005434782608695676
2018-07-11,27300,30450,26200,28500,692967,0.03825136612021862
2018-07-12,28300,28950,27400,27400,241891,-0.038596491228070184
2018-07-13,28300,28700,27250,27600,243111,0.007299270072992803
2018-07-16,27900,27900,26800,26900,120715,-0.025362318840579712
2018-07-17,26650,27050,25850,25950,119713,-0.03531598513011147
2018-07-18,25650,26450,23750,24250,190420,-0.06551059730250486
2018-07-19,23950,24300,22750,23000,208283,-0.05154639175257736
2018-07-20,23500,27250,23250,23800,576422,0.034782608695652195
2018-07-23,24150,24300,22350,22350,126905,-0.060924369747899165
2018-07-24,22750,25850,22600,24050,762974,0.07606263982102912
2018-07-25,24100,25400,23200,23700,304827,-0.014553014553014498
2018-07-26,23800,30150,23750,28200,2367109,0.1898734177215189
2018-07-27,28050,29550,26700,26850,984209,-0.0478723404255319
2018-07-30,27300,28800,26850,28500,528044,0.06145251396648055
2018-07-31,28750,28950,26800,27250,312482,-0.04385964912280704
2018-08-01,27100,27700,26100,26750,250118,-0.01834862385321101
2018-08-02,26800,27650,26150,26700,182526,-0.0018691588785046953
2018-08-03,27800,28800,27000,27000,353345,0.011235955056179803
2018-08-06,26850,27900,26100,26700,188052,-0.011111111111111072
2018-08-07,27250,27500,26300,26300,119211,-0.014981273408239737
2018-08-08,26350,28650,26250,26950,731744,0.024714828897338448
2018-08-09,26950,27000,26300,26500,154222,-0.016697588126159513
2018-08-10,27800,28050,27050,27150,399161,0.02452830188679256
2018-08-13,27500,29250,24800,25250,505594,-0.06998158379373853
2018-08-14,25550,27000,24950,26200,255901,0.03762376237623766
2018-08-16,26700,27400,26250,26450,186035,0.009541984732824416
2018-08-17,25950,27100,25950,26700,130679,0.00945179584120992
2018-08-20,26700,27200,26300,26400,79076,-0.011235955056179803
2018-08-21,26500,27050,26250,27000,114932,0.022727272727272707
2018-08-22,27500,27650,26350,26550,126043,-0.01666666666666672
2018-08-23,26600,26950,26150,26150,109673,-0.015065913370998163
2018-08-24,26400,26450,26000,26200,59633,0.0019120458891013214
2018-08-27,24800,25000,24250,24650,133249,-0.059160305343511466
2018-08-28,25150,25150,24100,24100,64151,-0.022312373225152116
2018-08-29,23750,24400,23400,24200,61678,0.004149377593360981
2018-08-30,24400,25200,24150,24600,90831,0.016528925619834656
2018-08-31,24200,24450,24000,24150,51510,-0.018292682926829285
2018-09-03,24000,24150,23200,23500,241006,-0.026915113871635588
2018-09-04,23300,24900,23300,24000,340556,0.02127659574468077
2018-09-05,24400,24600,23700,23750,100761,-0.01041666666666663
2018-09-06,23950,24600,23200,23400,175471,-0.01473684210526316
2018-09-07,23700,23900,23400,23850,78823,0.019230769230769162
2018-09-10,24050,27350,23750,25350,1078316,0.06289308176100628
2018-09-11,26300,26600,25250,25950,322146,0.023668639053254337
2018-09-12,26050,26050,24900,25450,162134,-0.019267822736030782
2018-09-13,25350,25900,25100,25450,103061,0.0
2018-09-14,25500,26000,25050,25250,120969,-0.007858546168958758
2018-09-17,25350,25700,25250,25250,129954,0.0
2018-09-18,25200,25300,24100,24150,145963,-0.0435643564356436
2018-09-19,24600,24700,22900,22900,151290,-0.051759834368530044
2018-09-20,23400,23550,22600,22950,91109,0.0021834061135370675
2018-09-21,22900,25800,22550,23650,408668,0.030501089324618702
2018-09-27,24100,24100,23050,23050,68188,-0.025369978858350906
2018-09-28,23050,23350,22600,22800,60262,-0.010845986984815648
2018-10-01,22800,23500,22600,22800,31452,0.0
2018-10-02,22500,23350,22500,22500,58072,-0.013157894736842146
2018-10-04,23000,23300,22450,22500,52158,0.0
2018-10-05,22500,22700,21650,21650,56676,-0.0377777777777778
