Date,Open,High,Low,Close,Volume,Change
2011-01-03,1536,1551,1522,1542,90768,0.003253090435914041
2011-01-04,1541,1575,1541,1556,105863,0.009079118028534339
2011-01-05,1561,1566,1541,1561,107050,0.0032133676092545027
2011-01-06,1561,1595,1561,1586,186210,0.01601537475976933
2011-01-07,1585,1624,1570,1620,222403,0.021437578814627933
2011-01-10,1639,1673,1614,1629,218866,0.005555555555555536
2011-01-11,1629,1629,1590,1624,74546,-0.0030693677102516803
2011-01-12,1624,1668,1541,1668,380368,0.027093596059113212
2011-01-13,1668,1726,1619,1683,437920,0.008992805755395628
2011-01-14,1682,1707,1634,1654,231321,-0.01723113487819372
2011-01-17,1639,1653,1614,1629,124755,-0.015114873035066534
2011-01-18,1629,1629,1590,1590,64269,-0.023941068139963217
2011-01-19,1585,1600,1570,1586,82430,-0.002515723270440251
2011-01-20,1575,1614,1566,1615,128525,0.01828499369482972
2011-01-21,1648,1702,1570,1586,393126,-0.017956656346749256
2011-01-24,1600,1609,1570,1576,79030,-0.006305170239596425
2011-01-25,1575,1600,1575,1576,47390,0.0
2011-01-26,1580,1585,1561,1566,93161,-0.006345177664974666
2011-01-27,1566,1580,1536,1537,124381,-0.01851851851851849
2011-01-28,1541,1546,1512,1517,129770,-0.013012361743656498
2011-01-31,1517,1517,1498,1508,72680,-0.005932762030323002
2011-02-01,1512,1527,1483,1503,119156,-0.003315649867373982
2011-02-07,1502,1522,1483,1498,111260,-0.003326679973386537
2011-02-08,1507,1522,1498,1517,47414,0.012683578104138782
2011-02-09,1522,1522,1483,1483,110072,-0.022412656558998045
2011-02-10,1488,1493,1473,1483,36469,0.0
2011-02-11,1483,1517,1478,1493,75321,0.006743088334457248
2011-02-14,1488,1507,1478,1493,30739,0.0
2011-02-15,1502,1507,1478,1488,60030,-0.0033489618218351946
2011-02-16,1498,1498,1454,1464,103800,-0.016129032258064502
2011-02-17,1454,1478,1439,1440,106660,-0.016393442622950838
2011-02-18,1425,1434,1405,1425,65147,-0.01041666666666663
2011-02-21,1420,1420,1400,1415,84612,-0.007017543859649145
2011-02-22,1420,1420,1381,1391,49823,-0.016961130742049524
2011-02-23,1386,1420,1376,1401,122839,0.007189072609633307
2011-02-24,1400,1400,1366,1381,72400,-0.014275517487508882
2011-02-25,1381,1381,1361,1372,100379,-0.00651701665459814
2011-02-28,1371,1381,1332,1333,126471,-0.028425655976676345
2011-03-02,1318,1347,1318,1318,88397,-0.011252813203300849
2011-03-03,1322,1342,1318,1328,85627,0.007587253414264028
2011-03-04,1342,1371,1332,1367,128513,0.029367469879518104
2011-03-07,1376,1381,1352,1362,90100,-0.003657644476956823
2011-03-08,1366,1371,1347,1357,62050,-0.0036710719530103075
2011-03-09,1356,1371,1356,1367,71432,0.00736919675755332
2011-03-10,1371,1381,1361,1372,111640,0.003657644476956934
2011-03-11,1371,1376,1352,1376,136323,0.00291545189504383
2011-03-14,1352,1352,1332,1347,170920,-0.02107558139534882
2011-03-15,1347,1352,1259,1284,250720,-0.04677060133630284
2011-03-16,1269,1322,1269,1294,183814,0.007788161993769416
2011-03-17,1288,1318,1279,1299,70170,0.003863987635239541
2011-03-18,1298,1322,1293,1318,79110,0.014626635873749017
2011-03-21,1318,1347,1313,1347,132651,0.022003034901365792
2011-03-22,1352,1386,1313,1376,97650,0.021529324424647278
2011-03-23,1366,1376,1347,1372,45133,-0.0029069767441860517
2011-03-24,1366,1376,1352,1367,49110,-0.0036443148688046767
2011-03-25,1366,1371,1356,1362,67410,-0.003657644476956823
2011-03-28,1361,1371,1347,1357,75589,-0.0036710719530103075
2011-03-29,1332,1352,1327,1347,73959,-0.007369196757553431
2011-03-30,1352,1356,1332,1352,59665,0.0037119524870081744
2011-03-31,1352,1391,1352,1386,70923,0.025147928994082802
2011-04-01,1376,1405,1376,1401,58809,0.010822510822510845
2011-04-04,1405,1454,1386,1401,98659,0.0
2011-04-05,1410,1410,1376,1391,96371,-0.007137758743754441
2011-04-06,1400,1410,1386,1401,48071,0.007189072609633307
2011-04-07,1391,1410,1386,1401,86457,0.0
2011-04-08,1391,1405,1381,1396,33470,-0.0035688793718772205
2011-04-11,1395,1400,1361,1376,89979,-0.014326647564469885
2011-04-12,1366,1386,1361,1362,67942,-0.01017441860465118
2011-04-13,1361,1386,1347,1376,77661,0.010279001468428861
2011-04-14,1361,1381,1356,1372,86240,-0.0029069767441860517
2011-04-15,1361,1386,1361,1381,74085,0.006559766763848396
2011-04-18,1381,1405,1381,1401,75803,0.014482259232440287
2011-04-19,1400,1400,1376,1391,52308,-0.007137758743754441
2011-04-20,1400,1420,1391,1410,68963,0.013659237958303372
2011-04-21,1415,1429,1395,1406,75960,-0.0028368794326241176
2011-04-22,1405,1410,1386,1391,110101,-0.010668563300142209
2011-04-25,1386,1391,1361,1391,42251,0.0
2011-04-26,1400,1400,1347,1362,65000,-0.02084831056793679
2011-04-27,1361,1366,1347,1362,62156,0.0
2011-04-28,1366,1371,1347,1362,55211,0.0
2011-04-29,1361,1361,1347,1362,39405,0.0
2011-05-02,1356,1371,1356,1367,40740,0.0036710719530101965
2011-05-03,1376,1376,1356,1362,53440,-0.003657644476956823
2011-05-04,1361,1371,1322,1338,242825,-0.017621145374449365
2011-05-06,1352,1361,1293,1303,269397,-0.02615844544095669
2011-05-09,1313,1322,1303,1318,77239,0.011511895625479607
2011-05-11,1318,1327,1313,1323,37110,0.003793626707132125
2011-05-12,1318,1318,1293,1294,91310,-0.02191987906273618
2011-05-13,1313,1313,1288,1289,43981,-0.003863987635239541
2011-05-16,1288,1303,1288,1303,43102,0.010861132660977546
2011-05-17,1288,1327,1284,1308,89428,0.0038372985418264616
2011-05-18,1303,1318,1293,1318,77321,0.007645259938837912
2011-05-19,1318,1318,1293,1294,46690,-0.018209408194233667
2011-05-20,1293,1308,1293,1303,42927,0.006955177743431129
2011-05-23,1303,1303,1254,1255,137711,-0.03683806600153494
2011-05-24,1259,1279,1254,1265,25710,0.007968127490039834
2011-05-25,1279,1284,1259,1274,19110,0.007114624505928813
2011-05-26,1264,1279,1259,1279,53540,0.00392464678178972
2011-05-27,1279,1279,1254,1274,77340,-0.003909304143862369
2011-05-30,1264,1274,1254,1260,57611,-0.01098901098901095
2011-05-31,1269,1284,1259,1284,20422,0.01904761904761898
2011-06-01,1274,1293,1259,1260,127133,-0.01869158878504673
2011-06-02,1279,1361,1259,1323,303394,0.050000000000000044
2011-06-03,1337,1410,1308,1328,340388,0.0037792894935753107
2011-06-07,1322,1356,1322,1347,82829,0.014307228915662717
2011-06-08,1361,1361,1318,1333,86690,-0.010393466963622866
2011-06-09,1347,1352,1318,1333,53220,0.0
2011-06-10,1332,1342,1303,1308,65729,-0.018754688672168007
2011-06-13,1298,1318,1284,1289,53740,-0.014525993883792054
2011-06-14,1288,1303,1284,1303,81708,0.010861132660977546
2011-06-15,1303,1322,1288,1323,91924,0.01534919416730629
2011-06-16,1322,1391,1298,1313,306930,-0.0075585789871503994
2011-06-17,1322,1337,1308,1313,182510,0.0
2011-06-20,1313,1361,1313,1347,285350,0.025894897182025867
2011-06-21,1356,1405,1347,1357,527958,0.007423904974016349
2011-06-22,1361,1434,1361,1425,461106,0.05011053795136333
2011-06-23,1425,1454,1391,1420,266484,-0.0035087719298245723
2011-06-24,1410,1439,1400,1420,154277,0.0
2011-06-27,1415,1439,1376,1425,173016,0.0035211267605634866
2011-06-28,1429,1493,1425,1425,275200,0.0
2011-06-29,1454,1454,1410,1415,131033,-0.007017543859649145
2011-06-30,1429,1429,1410,1420,72981,0.0035335689045936647
2011-07-01,1420,1454,1415,1449,130750,0.02042253521126769
2011-07-04,1444,1478,1439,1474,165261,0.017253278122843385
2011-07-05,1473,1473,1434,1435,212251,-0.026458616010854863
2011-07-06,1439,1444,1420,1435,53759,0.0
2011-07-07,1425,1444,1415,1415,50713,-0.013937282229965153
2011-07-08,1425,1429,1400,1415,94930,0.0
2011-07-11,1410,1415,1395,1406,55310,-0.00636042402826853
2011-07-12,1405,1410,1371,1386,112793,-0.014224751066856278
2011-07-13,1405,1439,1386,1415,102914,0.02092352092352101
2011-07-14,1405,1468,1386,1454,197351,0.027561837455830407
2011-07-15,1459,1473,1439,1459,256654,0.003438789546079679
2011-07-18,1473,1546,1463,1527,637600,0.04660726525017145
2011-07-19,1527,1527,1498,1517,234238,-0.006548788474132317
2011-07-20,1517,1532,1498,1522,220903,0.003295978905734964
2011-07-21,1522,1527,1498,1527,264411,0.003285151116951379
2011-07-22,1541,1541,1512,1513,111909,-0.009168303863785199
2011-07-25,1522,1532,1488,1493,163917,-0.013218770654329193
2011-07-26,1493,1527,1478,1508,144760,0.010046885465505584
2011-07-27,1507,1546,1507,1537,154651,0.019230769230769162
2011-07-28,1517,1546,1512,1542,107471,0.003253090435914041
2011-07-29,1541,1721,1541,1571,790269,0.018806744487678273
2011-08-01,1580,1634,1570,1624,378203,0.033736473583704685
2011-08-02,1605,1619,1532,1552,190611,-0.044334975369458074
2011-08-03,1536,1536,1488,1503,205555,-0.03157216494845361
2011-08-04,1517,1561,1493,1517,243238,0.009314703925482393
2011-08-05,1420,1439,1327,1420,300540,-0.06394199077125906
2011-08-08,1391,1420,1220,1308,326370,-0.07887323943661972
2011-08-09,1230,1284,1118,1265,274882,-0.032874617737003065
2011-08-10,1332,1332,1249,1289,138535,0.018972332015810167
2011-08-11,1245,1318,1167,1299,95580,0.007757951900698279
2011-08-12,1318,1386,1313,1347,209613,0.036951501154734334
2011-08-16,1371,1386,1337,1367,284510,0.014847809948032697
2011-08-17,1361,1376,1318,1372,164502,0.003657644476956934
2011-08-18,1361,1376,1332,1352,163410,-0.014577259475218707
2011-08-19,1327,1327,1235,1235,163862,-0.08653846153846156
2011-08-22,1235,1259,1220,1226,124999,-0.0072874493927125306
2011-08-23,1235,1342,1230,1299,157770,0.05954323001631323
2011-08-24,1313,1313,1264,1279,155880,-0.015396458814472713
2011-08-25,1298,1308,1269,1269,123940,-0.007818608287724738
2011-08-26,1264,1308,1264,1279,41391,0.007880220646178104
2011-08-29,1293,1327,1269,1328,248209,0.0383111806098515
2011-08-30,1318,1327,1293,1299,128140,-0.02183734939759041
2011-08-31,1308,1332,1293,1308,126758,0.006928406466512715
2011-09-01,1318,1502,1318,1342,3028256,0.025993883792049033
2011-09-02,1371,1478,1327,1430,1475860,0.06557377049180335
2011-09-05,1429,1527,1410,1440,1118370,0.006993006993007089
2011-09-06,1429,1536,1391,1498,970616,0.04027777777777786
2011-09-07,1527,1590,1463,1474,578692,-0.01602136181575431
2011-09-08,1488,1507,1410,1415,384596,-0.0400271370420624
2011-09-09,1415,1473,1395,1396,342000,-0.01342756183745586
2011-09-14,1400,1425,1308,1313,272456,-0.05945558739255019
2011-09-15,1361,1376,1298,1308,215312,-0.0038080731150038627
2011-09-16,1327,1376,1322,1376,171833,0.051987767584097844
2011-09-19,1376,1400,1352,1357,143459,-0.01380813953488369
2011-09-20,1352,1361,1327,1338,222491,-0.014001473839351464
2011-09-21,1347,1400,1337,1386,265380,0.03587443946188351
2011-09-22,1366,1366,1337,1338,127174,-0.03463203463203468
2011-09-23,1274,1293,1245,1245,288520,-0.06950672645739908
2011-09-26,1249,1259,1138,1138,315928,-0.08594377510040163
2011-09-27,1147,1206,1147,1196,107961,0.05096660808435849
2011-09-28,1215,1230,1186,1187,104539,-0.007525083612040184
2011-09-29,1162,1206,1162,1196,63180,0.0075821398483570945
2011-09-30,1215,1220,1177,1216,73127,0.01672240802675584
2011-10-04,1147,1191,1118,1187,97842,-0.023848684210526327
2011-10-05,1196,1196,1118,1133,185270,-0.04549283909014323
2011-10-06,1147,1172,1133,1158,126071,0.02206531332744932
2011-10-07,1167,1181,1167,1182,74517,0.020725388601036343
2011-10-10,1167,1215,1167,1187,63464,0.004230118443316444
2011-10-11,1211,1225,1196,1216,124236,0.024431339511373107
2011-10-12,1215,1230,1201,1221,69040,0.004111842105263053
2011-10-13,1225,1284,1215,1260,206732,0.03194103194103204
2011-10-14,1279,1284,1230,1240,195751,-0.015873015873015928
2011-10-17,1284,1284,1240,1255,183952,0.012096774193548487
2011-10-18,1225,1269,1215,1250,233546,-0.003984063745019917
2011-10-19,1259,1259,1240,1255,135108,0.0040000000000000036
2011-10-20,1245,1259,1211,1211,80722,-0.035059760956175245
2011-10-21,1220,1235,1206,1221,81244,0.008257638315441795
2011-10-24,1240,1249,1220,1231,182570,0.008190008190008147
2011-10-25,1235,1245,1220,1221,97317,-0.008123476848091005
2011-10-26,1220,1220,1196,1216,113130,-0.004095004095004073
2011-10-27,1220,1240,1215,1240,195020,0.019736842105263053
2011-10-28,1254,1259,1235,1255,255930,0.012096774193548487
2011-10-31,1254,1264,1240,1240,118986,-0.01195219123505975
2011-11-01,1230,1245,1215,1216,72023,-0.01935483870967747
2011-11-02,1186,1201,1167,1192,77480,-0.019736842105263164
2011-11-03,1191,1201,1167,1187,92103,-0.004194630872483174
2011-11-04,1201,1220,1196,1206,87730,0.0160067396798651
2011-11-07,1201,1220,1191,1221,148181,0.01243781094527363
2011-11-08,1220,1249,1220,1240,136883,0.015561015561015523
2011-11-09,1249,1279,1230,1260,145062,0.016129032258064502
2011-11-10,1245,1245,1206,1211,110160,-0.03888888888888886
2011-11-11,1215,1245,1215,1245,78961,0.02807597027250197
2011-11-14,1254,1264,1240,1240,126768,-0.004016064257028162
2011-11-15,1240,1249,1225,1235,64179,-0.0040322580645161255
2011-11-16,1240,1249,1215,1221,155170,-0.011336032388663986
2011-11-17,1220,1235,1220,1231,58380,0.008190008190008147
2011-11-18,1220,1264,1220,1226,147970,-0.004061738424045447
2011-11-21,1230,1259,1230,1255,108471,0.023654159869494373
2011-11-22,1240,1249,1230,1231,155511,-0.01912350597609558
2011-11-23,1235,1240,1172,1182,249013,-0.03980503655564582
2011-11-24,1181,1186,1167,1172,99809,-0.008460236886632777
2011-11-25,1186,1186,1162,1172,52389,0.0
2011-11-28,1167,1191,1167,1177,103010,0.00426621160409546
2011-11-29,1181,1181,1167,1177,99090,0.0
2011-11-30,1177,1177,1157,1158,84580,-0.016142735768904015
2011-12-01,1177,1181,1162,1162,106766,0.003454231433505983
2011-12-02,1167,1172,1152,1172,81481,0.008605851979345935
2011-12-05,1172,1230,1172,1196,195030,0.020477815699658786
2011-12-06,1196,1215,1186,1196,114818,0.0
2011-12-07,1206,1225,1196,1216,115460,0.01672240802675584
2011-12-08,1215,1249,1201,1235,142860,0.015625
2011-12-09,1225,1274,1215,1255,165080,0.0161943319838056
2011-12-12,1249,1284,1249,1269,136148,0.011155378486055856
2011-12-13,1264,1264,1240,1255,131740,-0.011032308904649346
2011-12-14,1259,1264,1245,1265,70030,0.007968127490039834
2011-12-15,1249,1254,1230,1245,66490,-0.015810276679841917
2011-12-16,1245,1254,1230,1250,50280,0.004016064257028162
2011-12-19,1254,1318,1211,1235,298360,-0.01200000000000001
2011-12-20,1235,1303,1235,1299,258800,0.051821862348178094
2011-12-21,1332,1332,1279,1284,339300,-0.011547344110854452
2011-12-22,1293,1415,1284,1372,832670,0.06853582554517135
2011-12-23,1415,1522,1332,1347,1215018,-0.018221574344023272
2011-12-26,1366,1439,1332,1410,767377,0.04677060133630295
2011-12-27,1415,1434,1366,1367,502063,-0.03049645390070921
2011-12-28,1381,1391,1342,1372,268007,0.003657644476956934
2011-12-29,1381,1386,1332,1338,146983,-0.02478134110787167
2012-01-02,1337,1483,1332,1459,660945,0.0904334828101645
2012-01-03,1439,1459,1415,1454,235370,-0.0034270047978066653
2012-01-04,1454,1551,1420,1479,643718,0.01719394773039884
2012-01-05,1493,1532,1444,1469,926968,-0.006761325219743042
2012-01-06,1478,1478,1410,1430,370250,-0.026548672566371723
2012-01-09,1449,1493,1434,1479,430840,0.034265734265734205
2012-01-10,1488,1502,1444,1449,408304,-0.020283975659229236
2012-01-11,1468,1663,1463,1663,2717684,0.14768806073153895
2012-01-12,1731,1770,1493,1532,4433729,-0.07877330126277815
2012-01-13,1522,1541,1483,1503,658892,-0.018929503916449097
2012-01-16,1493,1498,1395,1396,811469,-0.07119095143047238
2012-01-17,1415,1420,1386,1391,485749,-0.003581661891117527
2012-01-18,1405,1585,1405,1474,3153185,0.05966930265995685
2012-01-19,1468,1478,1410,1430,963379,-0.02985074626865669
2012-01-20,1439,1473,1395,1420,563399,-0.006993006993006978
2012-01-25,1415,1434,1371,1381,582528,-0.02746478873239433
2012-01-26,1391,1415,1361,1410,422136,0.020999275887038316
2012-01-27,1420,1420,1386,1401,226703,-0.006382978723404209
2012-01-30,1391,1420,1371,1381,374861,-0.014275517487508882
2012-01-31,1381,1527,1371,1454,1154331,0.0528602461984069
2012-02-01,1473,1507,1454,1464,495725,0.00687757909215958
