Date,Open,High,Low,Close,Volume,Change
2011-01-03,2410,2650,2320,2650,2599270,0.09958506224066399
2011-01-04,2590,2685,2255,2255,1684840,-0.14905660377358487
2011-01-05,2260,2350,2200,2250,680152,-0.0022172949002217113
2011-01-06,2300,2305,2095,2175,421236,-0.033333333333333326
2011-01-07,2195,2240,2135,2160,396334,-0.006896551724137945
2011-01-10,2190,2480,2190,2480,2467042,0.14814814814814814
2011-01-11,2445,2470,2215,2260,1142844,-0.08870967741935487
2011-01-12,2270,2415,2155,2240,1010981,-0.008849557522123908
2011-01-13,2240,2330,2180,2320,324139,0.03571428571428581
2011-01-14,2340,2360,2150,2190,308283,-0.05603448275862066
2011-01-17,2160,2240,2105,2105,173550,-0.038812785388127824
2011-01-18,2080,2345,2075,2100,593596,-0.002375296912114022
2011-01-19,2135,2390,2090,2250,1212284,0.0714285714285714
2011-01-20,2235,2515,2200,2320,1060068,0.03111111111111109
2011-01-21,2375,2665,2320,2665,1422017,0.1487068965517242
2011-01-24,2750,3060,2745,3060,2681334,0.14821763602251403
2011-01-25,3515,3515,3065,3150,6161330,0.02941176470588225
2011-01-26,3165,3620,3020,3620,6290508,0.14920634920634912
2011-01-27,3795,4000,3350,3460,6386340,-0.04419889502762431
2011-01-28,3510,3810,3160,3185,3758792,-0.07947976878612717
2011-01-31,3130,3385,3060,3165,1908297,-0.006279434850863463
2011-02-01,3190,3335,3060,3160,1166690,-0.0015797788309637184
2011-02-07,3165,3430,3150,3210,1566566,0.015822784810126667
2011-02-08,3255,3575,3250,3435,2225790,0.07009345794392519
2011-02-09,3540,3835,3445,3605,2308095,0.04949053857350805
2011-02-10,3630,3735,3150,3305,954248,-0.0832177531206657
2011-02-11,3255,3620,3125,3200,2173480,-0.0317700453857791
2011-02-14,3200,3450,3175,3245,850477,0.014062500000000089
2011-02-15,3300,3385,3210,3370,1075041,0.03852080123266566
2011-02-16,3350,3470,3160,3205,859635,-0.04896142433234418
2011-02-17,3180,3245,2725,2735,1207355,-0.14664586583463335
2011-02-18,2735,2865,2735,2770,419231,0.01279707495429605
2011-02-21,2775,2930,2745,2850,484954,0.028880866425992746
2011-02-22,2860,3010,2780,2810,605351,-0.01403508771929829
2011-02-23,2770,2870,2620,2710,312227,-0.03558718861209964
2011-02-24,2670,2840,2525,2530,391411,-0.06642066420664205
2011-02-25,2585,2705,2540,2575,335479,0.01778656126482203
2011-02-28,2600,2740,2530,2530,587455,-0.01747572815533982
2011-03-02,2480,2670,2465,2500,355241,-0.011857707509881465
2011-03-03,2550,2625,2490,2610,356075,0.04400000000000004
2011-03-04,2610,2785,2590,2655,717231,0.01724137931034475
2011-03-07,2695,2760,2610,2630,308211,-0.00941619585687381
2011-03-08,2570,2595,2300,2395,417295,-0.08935361216730042
