Date,Open,High,Low,Close,Volume,Change
2011-02-21,76500,76500,70000,70200,2335275,
2011-02-22,68000,70600,65800,69900,862076,-0.004273504273504258
2011-02-23,69500,72600,69200,71600,441504,0.024320457796852546
2011-02-24,71200,72600,71200,71300,215507,-0.0041899441340782495
2011-02-25,71500,71700,69700,70800,175787,-0.007012622720897643
2011-02-28,70000,70000,67100,67500,394760,-0.04661016949152541
2011-03-02,66700,68100,66100,66300,196862,-0.01777777777777778
2011-03-03,66800,69800,66300,69500,363268,0.04826546003016596
2011-03-04,70000,70800,68200,69000,230771,-0.007194244604316502
2011-03-07,68600,72500,68300,72200,507726,0.04637681159420293
2011-03-08,72200,75300,71800,74300,469300,0.02908587257617734
2011-03-09,74600,74900,72900,73300,218451,-0.013458950201884257
2011-03-10,73300,74400,72200,73900,182397,0.008185538881309684
2011-03-11,72800,75600,71500,74900,245314,0.013531799729364025
2011-03-14,75800,75900,72700,73500,212813,-0.01869158878504673
2011-03-15,73500,73900,67000,70800,251682,-0.03673469387755102
2011-03-16,70600,71900,69400,70800,126781,0.0
2011-03-17,68400,70000,68300,69400,187319,-0.019774011299435013
2011-03-18,69900,71600,69500,70500,160801,0.015850144092218965
2011-03-21,70000,70700,69300,70000,402010,-0.007092198581560294
2011-03-22,70600,70600,68800,69000,407412,-0.014285714285714235
2011-03-23,69200,75100,69200,74600,745943,0.08115942028985512
2011-03-24,75300,77300,74600,76500,687119,0.025469168900804195
2011-03-25,77000,77400,74700,75400,268996,-0.01437908496732021
2011-03-28,75800,78900,74600,77800,337829,0.03183023872679036
2011-03-29,77800,79700,77300,77900,351791,0.0012853470437017567
2011-03-30,77500,79200,76800,77800,310478,-0.0012836970474967568
2011-03-31,78500,78600,77200,77300,190636,-0.006426735218509005
2011-04-01,77300,77400,76000,76400,213434,-0.011642949547218673
2011-04-04,77000,78000,76300,76700,122437,0.003926701570680535
2011-04-05,76900,77000,74400,75700,237967,-0.013037809647979182
2011-04-06,76300,80000,75700,79000,518298,0.04359313077939242
2011-04-07,79900,82900,78900,82900,477569,0.04936708860759498
2011-04-08,82800,85900,81900,84200,360461,0.01568154402895061
2011-04-11,84000,85700,83400,84200,209438,0.0
2011-04-12,85200,88400,84800,87800,347292,0.04275534441805218
2011-04-13,88000,94500,87100,94500,650373,0.07630979498861046
2011-04-14,97300,108500,97200,108500,1271165,0.14814814814814814
2011-04-15,106000,115500,102000,110000,1659745,0.01382488479262678
