Date,Open,High,Low,Close,Volume,Change
2011-01-03,174000,177000,173500,177000,556135,0.020172910662824117
2011-01-04,177000,179000,175000,178000,861467,0.005649717514124353
2011-01-05,177500,190000,177000,189000,2107997,0.061797752808988804
2011-01-06,193000,194500,189000,194000,1574227,0.02645502645502651
2011-01-07,193000,198500,192000,198000,1042749,0.020618556701030855
2011-01-10,196000,201500,195000,198000,837898,0.0
2011-01-11,197000,197000,192000,196000,726141,-0.010101010101010055
2011-01-12,196000,197000,192500,193500,692473,-0.012755102040816313
2011-01-13,193500,195500,190500,192000,1110012,-0.007751937984496138
2011-01-14,193000,203000,191500,200500,1350290,0.04427083333333326
2011-01-17,199000,200500,196500,198000,582443,-0.012468827930174564
2011-01-18,196500,199500,193000,193500,1087361,-0.022727272727272707
2011-01-19,193000,194500,187000,193000,1708093,-0.0025839793281653423
2011-01-20,192500,195500,191500,194000,841436,0.005181347150259086
2011-01-21,192000,193500,185500,185500,1074398,-0.04381443298969068
2011-01-24,185500,187500,181000,187500,816132,0.010781671159029615
2011-01-25,190000,193000,188000,189500,798539,0.010666666666666602
2011-01-26,192500,197500,191000,197500,923322,0.04221635883905006
2011-01-27,197500,200500,195500,196000,967776,-0.0075949367088608
2011-01-28,197000,198500,187000,188000,1951964,-0.04081632653061229
2011-01-31,182500,184000,178500,179000,1679241,-0.0478723404255319
2011-02-01,179000,185000,179000,181000,922873,0.011173184357541999
2011-02-07,183500,186500,182500,185000,961195,0.022099447513812098
2011-02-08,187500,189000,181000,181000,874886,-0.021621621621621623
2011-02-09,177500,180000,173500,176000,1416639,-0.027624309392265234
2011-02-10,173500,178500,173500,175000,1017769,-0.005681818181818232
2011-02-11,176000,179500,174000,175500,761518,0.0028571428571428914
2011-02-14,178000,183500,177000,182500,791579,0.03988603988603989
2011-02-15,183000,183000,177500,180000,625282,-0.013698630136986356
2011-02-16,180000,181000,175000,175000,559136,-0.02777777777777779
2011-02-17,176000,180000,175500,178000,768063,0.017142857142857126
2011-02-18,177000,181000,176000,179500,787097,0.008426966292134797
2011-02-21,180500,180500,176500,178500,575140,-0.005571030640668551
2011-02-22,176500,176500,172500,173500,585825,-0.02801120448179273
