Date,Open,High,Low,Close,Volume,Change
2011-01-03,22648,22736,22165,22385,120143,-0.007801072647489082
2011-01-04,22648,22648,21945,22341,130457,-0.0019656019656019152
2011-01-05,22121,23572,22121,23528,372691,0.053131014726288006
2011-01-06,23748,23748,23044,23045,180116,-0.02052873172390346
2011-01-07,22868,24144,22780,23924,320852,0.03814276415708395
2011-01-10,24100,24364,23572,23836,222420,-0.0036783146630998687
2011-01-11,23836,24100,23308,24056,202990,0.00922973653297543
2011-01-12,24144,24276,23352,23353,216664,-0.02922347855004992
2011-01-13,23528,24056,23088,23748,143228,0.016914315077291908
2011-01-14,23880,24364,23528,24188,141611,0.018527876031665835
2011-01-17,23968,24539,23880,24408,177469,0.009095419216140321
2011-01-18,24364,25331,24364,25200,528204,0.032448377581120846
2011-01-19,25419,26474,25331,26387,674861,0.0471031746031747
2011-01-20,26650,27134,26211,26783,358917,0.015007390002652832
2011-01-21,26474,26694,25815,26079,320233,-0.026285330246798355
2011-01-24,25947,26035,25067,25595,310184,-0.01855899382645043
2011-01-25,25639,25859,25111,25727,342638,0.005157257276811933
2011-01-26,25507,25815,24935,25376,269488,-0.013643254168772101
2011-01-27,25243,25639,24979,25551,234819,0.006896279949558659
2011-01-28,25595,26167,25243,25947,208345,0.01549841493483628
2011-01-31,25595,26035,25331,25332,130594,-0.023702162099664692
2011-02-01,25507,25947,25067,25947,148036,0.024277593557555655
2011-02-07,26518,26826,26167,26343,186430,0.015261879986125493
2011-02-08,26255,26738,25859,26299,368403,-0.0016702729377823244
2011-02-09,26035,26387,25551,25991,118477,-0.011711471919084393
2011-02-10,25991,26299,24891,26211,266630,0.008464468469854936
2011-02-11,26035,26123,25023,25200,197395,-0.03857159207966121
2011-02-14,25243,25375,24715,25332,122637,0.005238095238095264
2011-02-15,25375,25419,24803,24804,123198,-0.020843202273803874
2011-02-16,24627,25067,24188,24848,160070,0.0017739074342848493
2011-02-17,24759,24979,23660,24100,168084,-0.030103026400515098
2011-02-18,23880,24495,23880,24408,114319,0.012780082987551955
2011-02-21,24539,25331,24276,25156,100296,0.03064568993772543
2011-02-22,25155,25375,24715,25200,108975,0.0017490857051996045
2011-02-23,25199,26387,25067,26035,206573,0.03313492063492074
2011-02-24,26387,26562,25155,25156,157756,-0.033762243134242365
2011-02-25,25331,26123,24891,26079,93310,0.03669104786134514
2011-02-28,26035,26079,25243,25288,88978,-0.030330917596533613
2011-03-02,25287,25595,24232,24584,121901,-0.027839291363492613
2011-03-03,25023,25331,24451,25332,154211,0.03042629352424342
2011-03-04,25507,25947,25023,25595,111423,0.010382125375019813
2011-03-07,25507,25683,25287,25332,57106,-0.010275444422738866
2011-03-08,25639,25991,25199,25244,122591,-0.003473867045634016
2011-03-09,25507,25507,25111,25244,46867,0.0
2011-03-10,25507,28541,25463,28190,651289,0.11670099825701152
2011-03-11,28146,28761,27662,27882,275511,-0.010925860234125562
2011-03-14,27354,27750,26079,27267,192407,-0.022057241230901692
2011-03-15,26826,27706,24188,26343,265352,-0.03388711629442187
2011-03-16,26343,26870,25903,26739,123128,0.015032456440041031
2011-03-17,25507,26694,25507,26695,134390,-0.0016455364822918206
2011-03-18,26826,29685,26782,28806,440503,0.07907847911593935
2011-03-21,29201,29421,28453,28938,235539,0.00458237867111011
2011-03-22,29201,29553,28497,29378,279585,0.015204920865298233
2011-03-23,29025,29641,28585,28718,224065,-0.022465790727755452
2011-03-24,29025,29333,28673,29202,218147,0.016853541332961797
2011-03-25,29289,29905,28322,28498,187565,-0.024107937812478553
2011-03-28,28497,29201,28322,28630,105306,0.004631903993262743
2011-03-29,27838,29641,27838,29597,275335,0.033775759692630025
2011-03-30,29861,29905,29025,29026,216885,-0.01929249586106696
2011-03-31,29113,29729,28673,28850,170424,-0.0060635292496382664
2011-04-01,28541,29421,28541,28850,284356,0.0
2011-04-04,29025,29333,28322,28674,116052,-0.006100519930675952
2011-04-05,28497,29685,28497,29553,166549,0.03065494873404484
2011-04-06,29729,30564,29377,29949,210823,0.013399654857374932
2011-04-07,30345,30345,29069,29905,205897,-0.0014691642458847243
2011-04-08,29553,29905,28893,29378,261990,-0.017622471158669106
2011-04-11,29289,29993,29201,29422,132919,0.001497719381850393
2011-04-12,29465,29685,28058,28146,239593,-0.04336890762014822
2011-04-13,28058,29069,28014,28938,178360,0.02813898955446592
2011-04-14,28761,29509,28322,29465,125974,0.018211348400027694
2011-04-15,29069,29905,28717,29685,205481,0.007466485660953648
2011-04-18,29553,30257,28058,28234,265615,-0.04887990567626743
2011-04-19,27794,27970,26518,26695,408654,-0.054508748317631195
2011-04-20,26782,27794,26782,27662,263422,0.03622401198726344
2011-04-21,27794,28322,26562,27530,256366,-0.004771889234328697
2011-04-22,27266,27882,26474,27574,298728,0.001598256447511881
2011-04-25,27618,28937,27442,28102,319646,0.019148473199390725
2011-04-26,27838,28541,27090,27223,200917,-0.031278912532915815
2011-04-27,27750,27838,26782,26783,160179,-0.01616280351173638
2011-04-28,27178,27178,26255,27047,153332,0.009856998842549425
2011-04-29,26694,26826,25815,25991,226222,-0.039043147114282584
2011-05-02,26299,26606,25815,26387,128273,0.015236043245739017
2011-05-03,26650,26650,25551,25771,101374,-0.02334482889301548
2011-05-04,25859,25903,24583,24804,334719,-0.03752279694229943
2011-05-06,24583,24583,23528,24144,250131,-0.02660861151427185
2011-05-09,24056,25287,23968,24980,160675,0.03462557985420811
2011-05-11,25287,25507,24583,25507,175465,0.02109687750200151
2011-05-12,25287,25331,24627,25156,120130,-0.013760928372603565
2011-05-13,25419,25507,24100,24496,159596,-0.02623628557799329
2011-05-16,24451,25243,24144,25244,63337,0.030535597648595703
2011-05-17,25375,25595,25111,25507,76497,0.010418317223894746
2011-05-18,25551,25903,25287,25507,137321,0.0
2011-05-19,25683,25903,25331,25419,115327,-0.0034500333241854753
2011-05-20,25375,25947,25155,25639,110718,0.00865494315275983
2011-05-23,25331,25771,24627,24628,70293,-0.03943211513709588
2011-05-24,24979,25067,24451,24628,92399,0.0
2011-05-25,24979,25155,24188,24540,95081,-0.003573168751015099
2011-05-26,24671,25815,24364,25771,101532,0.05016299918500411
2011-05-27,25771,26474,25551,26299,115294,0.020488145590004336
2011-05-30,26606,26606,25947,26123,98749,-0.006692269668048256
2011-05-31,26343,26738,25903,26563,109147,0.01684339470964291
2011-06-01,26606,28410,26606,27882,355082,0.049655535895794856
2011-06-02,27310,27926,27002,27047,185553,-0.02994763646797216
2011-06-03,27310,27530,26826,27530,103173,0.01785780308352125
2011-06-07,27090,27706,26782,27135,88058,-0.014347984017435533
2011-06-08,27266,27266,25991,26475,99792,-0.024322830292979547
