Date,Open,High,Low,Close,Volume,Change
2011-01-03,2814,2911,2814,2883,26059,0.013356766256590547
2011-01-04,2919,2941,2877,2879,34946,-0.0013874436351023478
2011-01-05,2881,2881,2814,2883,24747,0.0013893713094823568
2011-01-06,2881,2927,2833,2905,9973,0.007630939993062746
2011-01-07,2927,2927,2863,2913,9991,0.002753872633390664
2011-01-10,2919,2987,2889,2927,11573,0.004806041881222134
2011-01-11,2949,2949,2844,2901,11894,-0.008882815169115155
2011-01-12,2901,2901,2799,2883,18539,-0.006204756980351611
2011-01-13,2881,2897,2784,2785,19064,-0.03399236906000691
2011-01-14,2784,2851,2765,2829,43992,0.01579892280071804
2011-01-17,2829,2881,2803,2833,4399,0.0014139271827500188
2011-01-18,2837,2871,2739,2829,11166,-0.001411930815390039
2011-01-19,2837,2837,2667,2672,32504,-0.055496641922941015
2011-01-20,2693,2803,2679,2729,17426,0.021332335329341312
2011-01-21,2727,2727,2667,2672,20458,-0.02088677171124953
2011-01-24,2739,2765,2679,2743,13562,0.02657185628742509
2011-01-25,2750,2807,2731,2759,11072,0.005833029529711986
2011-01-26,2761,2814,2723,2777,5874,0.0065241029358462654
2011-01-27,2777,2777,2667,2669,25731,-0.03889088944904573
2011-01-28,2630,2769,2630,2755,10596,0.03222180591982027
2011-01-31,2777,2777,2653,2683,6084,-0.02613430127041738
2011-02-01,2697,2743,2626,2695,9212,0.004472605292582976
2011-02-07,2701,2731,2607,2683,15993,-0.0044526901669759145
2011-02-08,2683,2723,2589,2653,17776,-0.01118151323145733
2011-02-09,2649,2663,2641,2642,1383,-0.004146249528835244
2011-02-10,2649,2727,2551,2642,16208,0.0
2011-02-11,2637,2671,2573,2669,7757,0.010219530658591935
2011-02-14,2671,2671,2589,2627,6862,-0.015736230798051754
2011-02-15,2626,2709,2525,2526,5036,-0.03844689760182718
2011-02-16,2483,2559,2439,2473,19709,-0.020981789390340455
2011-02-17,2472,2491,2363,2428,36854,-0.018196522442377683
2011-02-18,2469,2495,2431,2496,10216,0.028006589785831926
2011-02-21,2499,2551,2483,2545,9158,0.019631410256410353
2011-02-22,2551,2559,2442,2541,4218,-0.001571709233791796
2011-02-23,2551,2551,2416,2428,10914,-0.044470680834317156
2011-02-24,2423,2513,2386,2499,3302,0.029242174629324547
2011-02-25,2499,2551,2409,2526,4898,0.010804321728691502
2011-02-28,2551,2611,2491,2571,2285,0.017814726840855055
2011-03-02,2570,2649,2506,2571,5119,0.0
2011-03-03,2573,2619,2499,2571,4484,0.0
2011-03-04,2566,2653,2543,2575,2121,0.001555814858031912
2011-03-07,2566,2581,2476,2578,6971,0.0011650485436893732
2011-03-08,2577,2615,2476,2597,11983,0.007370054305663398
