Date,Open,High,Low,Close,Volume,Change
2011-01-03,3750,3765,3706,3721,511511,0.00269469145782808
2011-01-04,3716,3740,3682,3692,516645,-0.007793603869927446
2011-01-05,3686,3755,3682,3741,757487,0.013271939328277416
2011-01-06,3770,3784,3682,3687,839390,-0.014434643143544479
2011-01-07,3686,3907,3672,3785,1754166,0.026579875237320305
2011-01-10,3789,3824,3731,3760,743156,-0.006605019815059454
2011-01-11,3794,4235,3750,4074,5010200,0.08351063829787231
2011-01-12,4063,4156,3951,4098,2808656,0.00589101620029453
2011-01-13,4152,4235,4015,4015,2190278,-0.02025378233284525
2011-01-14,3975,4132,3956,4108,1384886,0.023163138231631297
2011-01-17,4152,4152,3995,4005,1276059,-0.02507302823758517
2011-01-18,3985,4005,3882,3883,1230393,-0.030461922596754065
2011-01-19,4098,4171,4015,4093,3228536,0.05408189544166886
2011-01-20,4137,4210,4059,4196,2531918,0.025164915709748437
2011-01-21,4235,4783,4225,4603,14344333,0.09699714013346039
2011-01-24,4773,4842,4494,4505,5509506,-0.02129046274169022
2011-01-25,4573,4656,4347,4451,3892061,-0.011986681465038895
2011-01-26,4455,4739,4411,4730,4977654,0.06268254324870814
2011-01-27,4690,4744,4553,4554,3356495,-0.037209302325581395
2011-01-28,4514,4671,4436,4607,2213059,0.01163812033377254
2011-01-31,4524,4597,4465,4475,1562906,-0.02865205122639458
2011-02-01,4504,4842,4504,4813,6168070,0.07553072625698332
2011-02-07,4896,5082,4891,5014,6395254,0.041761894868065585
2011-02-08,5190,5190,4906,4994,4472654,-0.00398883127243721
2011-02-09,4945,4974,4641,4652,4268876,-0.06848217861433725
2011-02-10,4602,4803,4587,4661,2093727,0.0019346517626828152
2011-02-11,4700,4764,4352,4426,2703687,-0.05041836515769149
2011-02-14,4519,4602,4455,4495,1370288,0.01558969724356074
2011-02-15,4504,4695,4328,4661,3764007,0.03692992213570645
2011-02-16,4568,4724,4436,4485,1795910,-0.03776013730959027
2011-02-17,4455,4857,4455,4857,4534249,0.08294314381270906
2011-02-18,4935,4964,4764,4798,3769919,-0.01214741610047354
2011-02-21,4925,5121,4862,5112,5694719,0.06544393497290546
2011-02-22,5043,5082,4891,4994,3586579,-0.02308294209702655
2011-02-23,4945,4994,4749,4798,2503916,-0.039247096515819035
2011-02-24,4773,4994,4754,4798,2948305,0.0
2011-02-25,4837,5180,4813,5161,4259661,0.07565652355147989
2011-02-28,5209,5356,5033,5278,6192378,0.02267002518891692
2011-03-02,5337,5376,5199,5259,3109910,-0.00359984842743466
2011-03-03,5376,5454,5268,5357,4035998,0.018634721429929613
2011-03-04,5376,5376,5170,5357,3792535,0.0
2011-03-07,5307,5327,5170,5239,2800089,-0.022027254060108303
2011-03-08,5288,5444,5190,5406,3282966,0.03187631227333454
2011-03-09,5454,5699,5425,5660,5665090,0.046984831668516414
2011-03-10,5738,5816,5523,5709,3593868,0.008657243816254434
2011-03-11,5581,5748,5552,5690,2291714,-0.0033280784725870927
2011-03-14,5679,6061,5630,5905,5495202,0.03778558875219673
2011-03-15,5944,5973,5209,5690,4829835,-0.036409822184589324
2011-03-16,5895,6110,5709,5709,6598405,0.0033391915641476366
2011-03-17,5464,5767,5454,5739,3569105,0.005254860746190193
2011-03-18,5895,5904,5738,5739,3020914,0.0
2011-03-21,5934,6277,5895,6267,5653341,0.0920020909566126
2011-03-22,6306,6570,6188,6297,5940288,0.00478697941598849
2011-03-23,6365,6541,6257,6375,3730151,0.012386850881372036
2011-03-24,6502,6688,6463,6561,3929925,0.02917647058823536
2011-03-25,6668,6678,6512,6581,2215815,0.003048315805517454
2011-03-28,6541,6570,6286,6326,3106709,-0.03874791065187666
2011-03-29,6267,6502,6257,6444,2947035,0.018653177363262774
2011-03-30,6482,7403,6472,7403,11659633,0.14882060831781496
2011-03-31,7638,7941,7344,7540,12341167,0.018506011076590667
2011-04-01,7442,8421,7285,8030,10838580,0.0649867374005304
2011-04-04,8030,8265,7902,8001,6265346,-0.0036114570361145404
2011-04-05,7990,8216,7785,8138,5899601,0.017122859642544785
2011-04-06,8176,8176,7932,7952,3128100,-0.02285573851069056
2011-04-07,7932,8010,7638,7736,4449224,-0.02716297786720323
2011-04-08,7706,8059,7687,7981,4205434,0.03167011375387796
2011-04-11,8010,8010,7736,7746,2321577,-0.029444931712817923
2011-04-12,7648,7687,7236,7266,4119345,-0.06196746707978307
2011-04-13,7403,8313,7403,8275,10361613,0.13886595100467924
2011-04-14,8294,8568,8030,8275,6939431,0.0
2011-04-15,8225,8911,8186,8353,8065549,0.009425981873111722
2011-04-18,8411,8568,8294,8334,3281926,-0.0022746318687896228
2011-04-19,8333,8549,8078,8089,3110566,-0.029397648188144943
2011-04-20,8421,8940,8323,8451,8592533,0.04475213252565213
2011-04-21,8637,8646,8333,8412,3313670,-0.004614838480653138
2011-04-22,8480,8823,8421,8559,3327756,0.01747503566333819
2011-04-25,8637,8695,8362,8451,2346068,-0.012618296529968487
2011-04-26,8372,8470,8078,8177,3766095,-0.03242219855638384
2011-04-27,8382,8460,8137,8226,3265415,0.005992417757123558
2011-04-28,8294,8323,7706,7775,4395705,-0.054826160953075576
2011-04-29,8039,8294,7932,8108,3798267,0.04282958199356912
2011-05-02,8323,8460,8088,8148,3166717,0.0049333991119882015
2011-05-03,8059,8470,7892,8471,3546236,0.039641629847815496
2011-05-04,8578,8881,8284,8304,5185185,-0.019714319442804884
2011-05-06,8206,8607,8127,8608,2644033,0.03660886319845846
2011-05-09,8519,8695,8382,8549,3102318,-0.006854089219330839
2011-05-11,8549,8911,8470,8588,5654524,0.004561937068662925
2011-05-12,8509,8676,8411,8529,2258701,-0.0068700512342804165
2011-05-13,8695,8872,8509,8598,3317767,0.008090045726345307
2011-05-16,8695,8940,8480,8667,5826597,0.008025122121423589
2011-05-17,8833,8911,8372,8402,3172759,-0.030575747086650562
2011-05-18,8411,8519,8176,8412,2453179,0.0011901928112354465
2011-05-19,8519,8539,7892,7991,2928651,-0.050047551117451294
2011-05-20,7990,8059,7716,7844,2227415,-0.01839569515705164
2011-05-23,7794,7814,7520,7609,1683733,-0.02995920448750633
2011-05-24,7589,7843,7579,7697,1409291,0.011565251675647259
2011-05-25,7638,7765,7236,7256,2375977,-0.05729505001948809
2011-05-26,7344,7530,7021,7521,3418504,0.036521499448732175
2011-05-27,7569,7843,7471,7668,2018229,0.01954527323494215
2011-05-30,7697,7765,7530,7668,1404547,0.0
2011-05-31,7667,8069,7608,8001,2368188,0.04342723004694826
2011-06-01,8078,8216,7961,8128,1844021,0.015873015873015817
2011-06-02,7902,8030,7657,7736,1820261,-0.04822834645669294
2011-06-03,7765,7853,7510,7795,1400904,0.0076266804550155776
