Date,Open,High,Low,Close,Volume,Change
2014-12-26,31223,35879,28072,28073,2300324,
2014-12-29,27570,29611,26640,29183,552849,0.039539771310511895
2014-12-30,29935,33228,29684,30974,646913,0.06137134633176844
2015-01-02,32261,34517,31940,33911,327742,0.0948214631626525
2015-01-05,34875,34875,32296,32800,194010,-0.032762230544660986
2015-01-06,32370,33264,31187,31798,149959,-0.03054878048780485
2015-01-07,31617,32906,30471,32873,211636,0.033807157682873124
2015-01-08,33372,34375,32046,33660,198148,0.02394061996167074
2015-01-09,34195,37454,33372,34268,422083,0.0180629827688652
2015-01-12,35377,35377,33658,34376,174589,0.0031516283413097756
2015-01-13,34088,35234,33336,34412,153720,0.0010472422620433353
2015-01-14,34446,37454,34446,37241,378140,0.08220969429268865
2015-01-15,37740,42539,36810,41181,543753,0.10579737386214116
2015-01-16,41177,41895,39601,40965,255382,-0.00524513732060905
2015-01-19,47050,47050,47050,47053,105696,0.1486146710606615
2015-01-20,54068,54068,50345,51708,1203535,0.09893099271034789
2015-01-21,50918,58652,49844,55146,969300,0.06648874448828024
2015-01-22,55787,60156,54069,58869,830706,0.06751169622456743
2015-01-23,60227,67676,59583,67678,751546,0.14963733034364446
2015-01-26,66101,70756,63881,65529,885383,-0.03175330240255325
2015-01-27,66243,68965,63523,67821,552571,0.03497688046513758
2015-01-28,65743,67319,65026,66818,284807,-0.014788929682546748
2015-01-29,65170,65528,59010,59442,661561,-0.1103894160256218
2015-01-30,58080,61732,55501,58726,799011,-0.012045355136099056
2015-02-02,59512,63594,58867,61877,582469,0.053655961584306855
2015-02-03,64454,66243,63093,65243,455105,0.05439824167299645
2015-02-04,64811,65885,63308,65673,307796,0.006590745367319073
2015-02-05,66387,68321,64883,65316,316909,-0.0054360239367776675
2015-02-06,65528,66387,64024,65243,216147,-0.0011176434564271753
2015-02-09,65599,66745,59870,62021,336513,-0.04938460831047009
2015-02-10,62520,65670,60945,63883,353851,0.030022089292336407
2015-02-11,64596,65599,61088,61089,252349,-0.04373620525022304
2015-02-12,60872,60872,55142,55861,503966,-0.08558005532910995
2015-02-13,57077,60514,56575,59586,355500,0.06668337480532038
2015-02-16,56934,57507,53783,53784,416309,-0.09737186587453428
2015-02-17,53496,55645,51563,54573,240995,0.014669790272199945
2015-02-23,54499,55071,50058,50562,417283,-0.07349788356879772
2015-02-24,50489,52922,50489,51564,278706,0.019817254064317114
2015-02-25,52493,53639,52207,52424,174296,0.016678302691800484
2015-02-26,52207,53425,50631,52568,154279,0.0027468335113687292
2015-02-27,53067,53281,51634,51708,92091,-0.01635976259321259
2015-03-02,52278,56575,51919,54788,345677,0.05956525102498644
2015-03-03,55787,56575,54427,54930,116780,0.0025918084252025686
2015-03-04,55142,57005,54786,54859,143055,-0.0012925541598397539
2015-03-05,55000,63021,53496,63023,332576,0.14881787856140294
2015-03-06,64454,66960,61159,62593,726836,-0.006822905923234424
2015-03-09,63021,64311,59583,59586,304125,-0.04804051571261958
2015-03-10,59440,60585,56289,56506,253979,-0.051689994293961705
2015-03-11,55287,58080,54713,56578,177888,0.00127420096980857
2015-03-12,57149,59153,55860,57293,212513,0.012637420905652341
2015-03-13,57650,60300,57650,58296,169494,0.01750650166687029
2015-03-16,57866,61230,56504,58942,354351,0.011081377796075209
2015-03-17,59512,60585,58365,58726,140905,-0.0036646194564148304
2015-03-18,58867,59870,56718,57365,146829,-0.0231754248544086
2015-03-19,57650,57935,54786,56148,191050,-0.021215026584154084
2015-03-20,56218,59870,55860,59084,246780,0.05229037543634685
2015-03-23,60014,61230,58724,58726,247225,-0.006059169995261016
2015-03-24,58365,59010,57220,57866,111300,-0.014644280216599137
2015-03-25,57866,58223,56145,56936,180211,-0.016071613728268708
2015-03-26,54499,56218,53925,54070,332453,-0.05033722073907543
2015-03-27,55142,55215,53925,54429,101888,0.006639541335305976
2015-03-30,55215,56003,54069,55361,117765,0.01712322475151118
2015-03-31,55716,55716,54427,54930,103392,-0.00778526399450874
2015-04-01,54427,56003,54068,55146,129919,0.003932277444019583
2015-04-02,55357,55430,53353,53355,166928,-0.03247742356653249
2015-04-03,53137,53998,52637,52926,104681,-0.008040483553556355
2015-04-06,52851,52922,51347,52209,125620,-0.013547216868835754
2015-04-07,52637,55860,52350,55073,254913,0.054856442375835535
2015-04-08,55142,55357,53137,53213,130807,-0.03377335536469772
2015-04-09,53639,56648,52781,56004,251207,0.052449589386052375
2015-04-10,56934,58581,56289,56290,228923,0.005106778087279551
2015-04-13,55430,57650,54570,57653,184231,0.024213892343222687
2015-04-14,58796,60156,56575,58153,353144,0.008672575581496256
2015-04-15,59010,61230,58151,60158,374969,0.034478014891751174
2015-04-16,61374,61661,59798,60158,273540,0.0
2015-04-17,60945,67175,60443,66962,765448,0.11310216430067488
2015-04-20,67032,76916,65958,76630,1372891,0.1443803948508109
2015-04-21,77344,78778,73477,78207,604183,0.020579407542737904
2015-04-22,80066,85939,69539,76344,1480024,-0.0238213970616441
2015-04-23,74480,75483,68751,70185,678917,-0.08067431625275068
2015-04-24,71042,73477,69969,72334,386351,0.03061907815060194
2015-04-27,71328,73191,70613,71618,195628,-0.00989852628086374
2015-04-28,72689,74767,66316,66747,431771,-0.06801362785891818
2015-04-29,66745,68464,64740,66032,314616,-0.010712091929225287
2015-04-30,65528,67103,60872,61877,391058,-0.06292403683062753
2015-05-04,62447,62879,60014,60301,176700,-0.02546988380173565
2015-05-06,58939,63021,58867,62809,226845,0.04159135006052961
2015-05-07,61588,63594,59583,62880,215499,0.0011304112467958038
2015-05-08,62447,64024,61661,63454,181266,0.009128498727735357
2015-05-11,63809,72117,63093,70544,692027,0.11173448482365167
2015-05-12,71973,73549,65312,66389,577742,-0.05889941029711954
2015-05-13,66530,67246,63164,63883,296335,-0.03774721715946916
2015-05-14,64454,65885,62376,63524,208706,-0.005619648419767365
2015-05-15,64596,67246,63379,64241,282871,0.011287072602480963
2015-05-18,64955,71973,64381,70472,719777,0.09699413147366953
2015-05-19,72045,72404,69969,72118,407705,0.023356794187762597
2015-05-20,72546,76485,70039,72405,548864,0.003979589006905426
2015-05-21,73406,75411,70899,70901,288659,-0.02077204612941097
2015-05-22,70255,70684,66602,66603,363470,-0.060619737380290806
2015-05-26,66173,68392,64740,65602,195225,-0.015029353032145698
2015-05-27,65312,66602,63737,65171,209792,-0.00656992164873027
2015-05-28,62663,67319,61732,65100,507324,-0.001089441622807663
2015-05-29,66243,70684,65885,68824,478880,0.05720430107526875
2015-06-01,68822,70110,67460,69756,178711,0.013541787748459821
2015-06-02,70039,71042,64095,64599,322505,-0.07392912437639776
2015-06-03,63665,66173,63093,63095,161066,-0.023282094150064214
2015-06-04,63737,64667,62734,63454,104138,0.005689832791821781
2015-06-05,63021,63952,62376,63167,91761,-0.004522961515428525
2015-06-08,63665,63737,61302,61376,136531,-0.028353412383048116
2015-06-09,61661,62018,58438,59586,217421,-0.02916449426485923
2015-06-10,59583,63450,58939,61089,204790,0.025224045916826032
2015-06-11,62306,64811,61517,63739,220591,0.043379331794594744
2015-06-12,64095,66816,63236,63811,230271,0.0011296066772306101
