Date,Open,High,Low,Close,Volume,Change
2015-08-07,8004,10406,8004,10406,521728,
2015-08-10,10726,13347,9845,12467,3345454,0.19805881222371702
2015-08-11,12807,14268,11926,12287,1134585,-0.014438116627897624
2015-08-12,12527,13387,11386,13388,738210,0.08960690160332052
2015-08-13,13167,13367,12407,12407,358711,-0.07327457424559303
2015-08-17,11666,13127,11106,12107,429421,-0.024179898444426584
2015-08-18,12127,13007,11967,12087,191563,-0.0016519368960106195
2015-08-19,11926,12387,10286,11907,216008,-0.014892032762472085
2015-08-20,11906,12847,11606,11607,225885,-0.02519526329050137
2015-08-21,10606,12107,10506,11367,115182,-0.020677177565262328
2015-08-24,11466,11786,10706,10706,81934,-0.05815078736693935
2015-08-25,10986,11306,10306,10506,103550,-0.018681113394358295
2015-08-26,10246,10306,9725,9926,465229,-0.055206548638872976
2015-08-27,10125,10606,9925,10566,295010,0.0644771307676808
2015-08-28,10826,10906,10326,10386,158875,-0.017035775127768327
2015-08-31,10406,10766,10225,10226,79463,-0.015405353360292695
2015-09-01,10286,10506,10005,10086,77466,-0.013690592607079943
2015-09-02,9905,10326,9875,10206,47976,0.011897679952409312
2015-09-03,10205,10205,9405,9406,373821,-0.07838526357044873
2015-09-04,9505,9635,8535,8545,102230,-0.09153731660642139
2015-09-07,7474,8264,7374,8045,479097,-0.05851375073142184
2015-09-08,7984,8044,6944,7344,330635,-0.08713486637663148
2015-09-09,7584,8545,7464,8045,378942,0.09545206971677556
2015-09-10,7974,8234,7624,8165,107217,0.014916096954630254
2015-09-11,8064,8214,7544,7644,152395,-0.06380894060012243
2015-09-14,7694,8004,7264,7765,207905,0.015829408686551583
2015-09-15,7834,8124,7724,7775,141944,0.0012878300064391723
2015-09-16,7794,7944,7544,7745,102738,-0.0038585209003215715
2015-09-17,7884,8234,7774,7935,128654,0.02453195610071024
2015-09-18,7864,8054,7854,8005,154186,0.008821676118462518
2015-09-21,7944,7944,7664,7805,81534,-0.024984384759525247
2015-09-22,7804,8484,7714,8445,217271,0.0819987187700193
2015-09-23,8374,8444,8134,8175,80829,-0.03197158081705154
2015-09-24,8344,8545,8124,8405,107522,0.028134556574923586
2015-09-25,8334,8525,8034,8265,53161,-0.016656751933373015
2015-09-30,8004,8024,7574,7685,92336,-0.07017543859649122
2015-10-01,7684,7904,7664,7805,39569,0.015614834092387841
2015-10-02,7804,7894,7574,7614,36611,-0.024471492632927583
2015-10-05,7734,7764,7514,7514,56474,-0.013133701076963433
2015-10-06,7554,7694,7104,7154,108780,-0.04791056694170881
2015-10-07,7154,7154,6583,6604,117465,-0.07688006709533124
2015-10-08,6603,7104,6523,6564,101597,-0.006056935190793422
2015-10-12,6603,6884,6453,6674,97080,0.01675807434491161
2015-10-13,6633,6733,6533,6604,37445,-0.010488462691039868
2015-10-14,6533,6633,6513,6564,20615,-0.006056935190793422
2015-10-15,6533,6663,6453,6504,31412,-0.009140767824497242
2015-10-16,6523,6964,6523,6764,85518,0.039975399753997554
2015-10-19,6834,7024,6813,6934,49296,0.025133057362507483
2015-10-20,6934,6984,6743,6984,34967,0.007210845111047082
2015-10-21,6984,6984,6824,6844,29746,-0.02004581901489122
2015-10-22,6844,6934,6593,6644,40075,-0.02922267679719459
2015-10-23,6733,6733,6603,6664,29930,0.003010234798314304
2015-10-26,6753,7094,6673,7034,62459,0.055522208883553414
2015-10-27,7154,7664,7044,7564,172933,0.0753483082172306
2015-10-28,7484,7764,7284,7604,94198,0.005288207297726055
2015-10-29,7654,7874,7424,7644,67309,0.005260389268805898
2015-10-30,7644,7644,7414,7554,32500,-0.011773940345368938
2015-11-02,7484,7544,7004,7324,85691,-0.030447445062218748
2015-11-03,7494,7674,7154,7174,69873,-0.0204806116876024
2015-11-04,7204,7364,7034,7194,45927,0.0027878449958183005
2015-11-05,6543,6904,6523,6744,541389,-0.06255212677231026
2015-11-06,6733,6803,6503,6764,170425,0.0029655990510082386
2015-11-09,6763,6763,6243,6464,164655,-0.044352454169130695
2015-11-10,6363,6373,5863,6164,162317,-0.0464108910891089
2015-11-11,6083,6393,6083,6394,71388,0.03731343283582089
2015-11-12,6423,6533,6303,6464,44171,0.01094776352830773
2015-11-13,6383,6463,6133,6204,64812,-0.0402227722772277
2015-11-16,6113,6143,5943,6144,69468,-0.009671179883945835
2015-11-17,6183,6433,6093,6324,54681,0.029296875
2015-11-18,6383,6523,6223,6464,56478,0.0221378874130298
2015-11-19,6493,6563,6333,6534,58996,0.010829207920792117
2015-11-20,6533,6563,6413,6434,17382,-0.015304560759106245
2015-11-23,6473,6523,6223,6394,31792,-0.006216972334473159
2015-11-24,6393,6393,6283,6334,15162,-0.00938379730997807
2015-11-25,6283,6373,6193,6324,40561,-0.001578781180928357
2015-11-26,6323,6353,6193,6284,58146,-0.006325110689437086
2015-11-27,6283,6283,6093,6174,74453,-0.017504774029280745
2015-11-30,6253,6583,6153,6174,113754,0.0
2015-12-01,6263,6303,5973,6104,82719,-0.0113378684807256
2015-12-02,6113,6333,6043,6304,73873,0.03276539973787673
2015-12-03,6203,6613,6183,6594,95593,0.046002538071066024
2015-12-04,6493,6563,6363,6464,52326,-0.01971489232635726
2015-12-07,6463,6493,6163,6264,61497,-0.030940594059405968
2015-12-08,6263,6273,6103,6124,36977,-0.022349936143039595
2015-12-09,6213,6433,6103,6324,86924,0.032658393207054104
2015-12-10,6283,6643,6143,6644,108544,0.05060088551549646
2015-12-11,6683,6824,6583,6804,178357,0.02408187838651421
2015-12-14,6703,6984,6643,6654,153505,-0.022045855379188684
2015-12-15,6683,6813,6373,6534,113910,-0.01803426510369699
2015-12-16,6593,6673,6473,6474,71081,-0.009182736455463747
2015-12-17,6483,6904,6363,6904,162331,0.06641952425084963
2015-12-18,6874,7254,6854,7254,215406,0.05069524913093848
2015-12-21,7264,7404,7164,7204,142073,-0.006892748828232653
2015-12-22,7294,7294,6864,6944,127439,-0.03609106052193223
2015-12-23,7054,7054,6824,6924,78325,-0.002880184331797264
2015-12-24,6984,7014,6824,6904,77714,-0.002888503755054894
2015-12-28,6904,6914,6663,6664,71528,-0.03476245654692933
2015-12-29,6673,7134,6673,7104,83138,0.06602641056422565
2015-12-30,7104,7234,6924,7174,85196,0.009853603603603656
2016-01-04,7154,7154,6753,6804,94186,-0.05157513242263734
2016-01-05,6663,7154,6533,7094,145207,0.0426219870664315
2016-01-06,7064,7254,6944,7104,118557,0.0014096419509443958
2016-01-07,7064,7544,7054,7274,235137,0.023930180180180116
2016-01-08,7104,7244,6994,7244,98088,-0.004124278251306013
2016-01-11,7204,7214,6964,6964,86310,-0.038652678078409664
2016-01-12,7004,7074,6934,6964,78577,0.0
2016-01-13,7024,7054,6813,6834,94624,-0.01866743251005165
2016-01-14,6683,6844,6443,6654,134666,-0.026338893766461813
2016-01-15,6733,6743,6493,6564,73981,-0.01352569882777277
2016-01-18,6473,6904,6353,6744,135920,0.027422303473491727
2016-01-19,6743,6743,6603,6614,100709,-0.019276393831553995
2016-01-20,6643,6723,6253,6294,172189,-0.04838221953432109
2016-01-21,6283,6383,6023,6114,147629,-0.028598665395614842
2016-01-22,6133,6263,6073,6164,102456,0.008177952240759012
2016-01-25,6243,6393,6243,6344,132115,0.029201817001946795
2016-01-26,6303,6463,6263,6404,70019,0.009457755359394637
2016-01-27,6423,6683,6383,6654,119843,0.03903810118675821
2016-01-28,6633,6723,6513,6664,67298,0.0015028554253080362
2016-01-29,6653,6713,6563,6644,43774,-0.0030012004801920344
2016-02-01,6673,6703,6233,6234,110726,-0.061709813365442456
2016-02-02,6233,6373,6143,6284,63522,0.008020532563362215
2016-02-03,6243,6253,6113,6144,49098,-0.022278803309993656
2016-02-04,6173,6323,6123,6134,68739,-0.0016276041666666297
2016-02-05,6133,6133,5963,6074,71533,-0.009781545484186527
2016-02-11,5903,6153,5903,6004,52575,-0.011524530786960807
2016-02-12,5913,6013,5183,5543,112190,-0.07678214523650895
2016-02-15,5573,5933,5543,5913,69121,0.06675085693667682
2016-02-16,5893,6223,5893,6174,75390,0.04414003044140036
2016-02-17,6143,6213,5903,6134,70921,-0.006478781988986104
2016-02-18,6133,6213,6113,6144,30511,0.0016302575806976805
2016-02-19,6133,6163,5973,6144,39423,0.0
2016-02-22,6163,6193,5993,6004,58869,-0.02278645833333337
